,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
166,　　880　廃棄物処理業,平成26年度,227,232,-,-,80,492,682,3884,4188,7681,4709,4489,11787,38224
167,　　900　機械等修理業,平成26年度,263,620,-,186,-,-,94,16242,15783,34033,8509,2272,22810,100549
168,　　911　職業紹介業,平成26年度,13,-,-,-,-,-,-,262,2659,-,-,420,2899,6240
169,　　912　労働者派遣業,平成26年度,400,600,341,223,676,1284,11375,165778,153869,63706,100382,18929,25320,542483
170,　　927　ディスプレイ業,平成26年度,27,-,-,-,-,57,127,564,712,3938,1156,59,369,6982
171,　　928　テレマーケティング業,平成26年度,48,194,-,-,489,-,8664,29422,19820,15058,4418,25676,7375,111116
172,　　929　その他の事業サービス業,平成26年度,493,648,-,1283,2080,2215,4587,67163,92144,33435,18407,23055,26402,271419
173,サービス業（その他のサービス業）,平成22年度,498,1505,-,1424,2125,8694,31439,60509,60131,32744,14328,22944,61737,297580
174,サービス業（その他のサービス業）,平成23年度,503,976,157,773,1992,4070,29184,61831,58240,36252,17547,18353,70477,299852
175,サービス業（その他のサービス業）,平成24年度,512,1022,148,441,1789,2420,11234,77749,90471,39868,18968,29353,60549,334012
176,サービス業（その他のサービス業）,平成25年度,497,691,93,157,1466,1322,8711,71603,86822,57755,13728,23181,66650,332179
177,サービス業（その他のサービス業）,平成26年度,482,634,571,1015,845,1311,20927,64151,73430,46917,39637,10748,78200,338386
178,その他の産業,平成22年度,740,1760,958,801,2124,3454,27182,95232,69973,72890,12350,17587,42494,346805
179,その他の産業,平成23年度,768,2169,545,622,1601,4379,20797,90694,87603,41180,26430,9559,40737,326316
180,その他の産業,平成24年度,924,2101,843,639,3156,3256,30481,74830,81563,56356,29621,11826,54878,349550
181,その他の産業,平成25年度,932,946,1702,1126,1537,3099,20068,57488,77676,69177,28702,34060,49616,345197
182,その他の産業,平成26年度,940,1049,466,138,2818,2322,8742,94816,73509,70497,34287,18156,59917,366717
