,産業,年度,企業数,経常利益率<-10%,－10%≦経常利益率<-8%,－8%≦経常利益率<-6%,－6%≦経常利益率<-4%,－4%≦経常利益率<-2%,－2%≦経常利益率<0%,0%≦経常利益率≦2%,2%<経常利益率≦4%,4%<経常利益率≦6%,6%<経常利益率≦8%,8%<経常利益率≦10%,10%<経常利益率,合計
63,新聞業,2019年度,77,243,***,***,104,2469,1370,10858,9483,5129,4859,2109,1021,37645
64,出版業,2019年度,98,439,***,114,711,725,1006,2554,3648,2513,3019,1586,3550,19865
65,卸売業,2015年度,5767,6668,2908,2862,7397,20617,59769,683808,363006,187484,85104,43030,86046,1548699
66,卸売業,2016年度,5710,8908,3357,3609,6013,14588,46929,645104,396450,199058,85711,49449,87080,1546256
67,卸売業,2017年度,5611,5504,1248,2910,2683,10064,46080,591773,371586,217978,92992,56162,131948,1530928
68,卸売業,2018年度,5539,15232,1224,3358,13915,13276,43706,598187,373149,193348,102022,55785,114547,1527749
69,卸売業,2019年度,5517,8066,2813,5807,12622,24942,46986,600659,379810,171753,120607,55295,103618,1532978
70,繊維品卸売業,2019年度,55,179,***,187,65,293,362,3669,3552,2597,134,76,401,11515
71,衣服・身の回り品卸売業,2019年度,248,3420,568,982,4058,2441,4064,22998,11191,9256,307,845,5765,65895
72,農畜産物・水産物卸売業,2019年度,467,221,227,128,223,1018,10497,57673,18541,1109,3906,109,463,94115
73,食料・飲料卸売業,2019年度,555,125,***,1245,115,2363,8028,121640,22980,12154,9255,3169,6714,187788
74,建築材料卸売業,2019年度,470,193,***,66,***,54,1202,33762,25832,7411,12876,711,3497,85604
75,化学製品卸売業,2019年度,329,154,***,***,***,68,433,17921,21389,8068,12345,2731,819,63928
76,石油・鉱物卸売業,2019年度,163,***,***,***,***,11221,1885,20012,22956,1508,1334,476,8056,67448
77,鉄鋼製品卸売業,2019年度,257,***,***,***,***,66,1218,25021,12983,14023,1270,352,459,55392
78,非鉄金属卸売業,2019年度,66,***,***,***,***,***,504,6949,6074,1195,56,***,94,14872
79,再生資源卸売業,2019年度,79,153,108,91,1105,833,111,4382,3568,1172,899,735,803,13960
80,産業機械器具卸売業,2019年度,481,54,343,***,67,308,1713,27636,43518,16567,22893,4673,15559,133331
81,自動車卸売業,2019年度,327,60,***,325,***,170,760,23074,39644,14525,5855,2509,1655,88577
82,電気機械器具卸売業,2019年度,616,1607,***,998,1502,1567,4495,57595,62956,45122,16510,4668,17879,214899
83,その他の機械器具卸売業,2019年度,337,519,233,***,51,199,413,29503,21049,10430,8631,5986,7715,84729
84,家具・建具・じゅう器等卸売業,2019年度,152,300,55,88,55,1442,1764,9534,8899,2686,298,1758,973,27852
85,医薬品・化粧品等卸売業,2019年度,235,968,***,***,***,238,2421,77688,22437,8829,9829,19940,20938,163288
86,紙、紙製品卸売業,2019年度,90,***,***,***,***,340,1384,9116,5074,1056,334,114,237,17655
87,その他の卸売業,2019年度,590,113,1279,1697,5381,2321,5732,52486,27167,14045,13875,6443,11591,142130
88,小売業,2015年度,3558,8543,4671,15973,13119,28683,147634,1157400,1090477,491045,188011,98274,119767,3363597
89,小売業,2016年度,3556,12083,6843,10283,11464,50571,105468,1253882,959511,512821,174378,88022,133765,3319091
90,小売業,2017年度,3503,12314,1655,4829,27221,57847,102790,1378028,879940,498502,213820,55324,148555,3380825
91,小売業,2018年度,3599,9549,892,9989,26497,53426,159105,1407798,787928,580081,173248,63874,161240,3433627
92,小売業,2019年度,3444,7797,4602,8119,27072,63923,322000,1260118,772073,556571,155568,64077,130134,3372054
93,織物・衣服・身の回り品小売業,2019年度,319,1803,1284,4794,12747,21009,27661,83871,45115,72446,10481,2405,31575,315191
94,飲食料品小売業,2019年度,887,2138,852,1617,8993,22814,243096,719072,369321,217884,18488,14431,10123,1628829
95,自動車・自転車小売業,2019年度,812,***,197,150,768,2904,19112,114115,101192,29226,8986,515,849,278014
96,機械器具小売業,2019年度,198,155,***,***,69,129,3166,51284,31848,27984,9993,7355,4215,136198
97,家具・建具・じゅう器小売業,2019年度,50,58,132,***,240,138,5376,8298,4293,1026,7198,1616,19834,48209
98,医薬品・化粧品小売業,2019年度,233,813,651,268,358,1572,3439,42197,99069,92986,58335,9701,3012,312401
99,燃料小売業,2019年度,379,***,***,***,128,129,1701,78980,18718,8029,5165,1589,3107,117546
100,その他の小売業,2019年度,448,2471,1486,1178,3411,13979,15954,101774,94060,105438,35420,25408,52383,452962
101,無店舗小売業,2019年度,118,359,***,112,358,1249,2495,60527,8457,1552,1502,1057,5036,82704
102,クレジットカード業、割賦金融業,2015年度,80,1254,***,5159,***,***,***,7346,2163,437,785,3849,35536,56529
103,クレジットカード業、割賦金融業,2016年度,83,437,***,***,***,5329,***,1009,2555,7502,600,4724,36320,58476
104,クレジットカード業、割賦金融業,2017年度,79,481,***,***,***,140,129,13135,1849,2110,799,4909,32185,55737
105,クレジットカード業、割賦金融業,2018年度,78,***,***,***,***,4638,821,1427,9065,423,1992,9880,27475,55721
106,クレジットカード業、割賦金融業,2019年度,77,307,650,***,349,***,7285,299,5013,1566,3200,1975,36649,57293
107,物品賃貸業,2015年度,311,231,***,967,427,443,***,11687,16999,27091,9844,12574,19838,100101
108,物品賃貸業,2016年度,313,123,***,1314,72,122,688,11387,18092,22660,23179,9940,16158,103735
109,物品賃貸業,2017年度,306,242,440,975,***,638,710,12614,19374,26687,27180,9572,14282,112714
