,産業,年度,企業数,経常利益率<-10%,－10%≦経常利益率<-8%,－8%≦経常利益率<-6%,－6%≦経常利益率<-4%,－4%≦経常利益率<-2%,－2%≦経常利益率<0%,0%≦経常利益率≦2%,2%<経常利益率≦4%,4%<経常利益率≦6%,6%<経常利益率≦8%,8%<経常利益率≦10%,10%<経常利益率,合計
3,総合計,2016年度,30151,83650,27321,44985,60609,165550,424227,3754856,3454044,2668775,1469932,897393,2088641,15139983
4,総合計,2017年度,29530,76549,18998,35020,75641,155220,452852,3622057,3128649,2676197,1761478,787581,2362377,15152619
5,総合計,2018年度,29780,85674,17469,50094,107515,185799,505794,3801199,3120867,2660768,1560029,893542,2413369,15402119
6,総合計,2019年度,29295,116289,38058,56487,121787,323376,817801,3606890,3123952,2480078,1332252,929381,2138668,15085019
7,総合計,2020年度,29574,595108,105449,182889,240006,405989,801552,2865261,3048593,2508664,1380397,919033,2275762,15328703
8,合計,2016年度,28715,80459,24777,43700,59756,158843,417315,3611900,3306542,2531022,1353960,865287,1923232,14376793
9,合計,2017年度,28160,75698,16350,34794,75038,152318,441177,3484634,2994643,2584696,1697662,725760,2178740,14461510
10,合計,2018年度,28405,79938,16587,49350,102501,179015,494050,3647655,3005523,2545246,1473912,860697,2206052,14660526
11,合計,2019年度,27945,101931,31287,52267,113909,318910,805167,3491706,2986125,2357196,1260131,893767,1936945,14349341
12,合計,2020年度,28144,517977,99559,173159,232522,389403,785307,2739821,2950760,2386441,1311014,862993,2106681,14555637
13,鉱業、採石業、砂利採取業,2016年度,35,1062,***,***,308,59,259,307,274,584,360,258,3102,6573
14,鉱業、採石業、砂利採取業,2017年度,38,363,***,***,***,***,195,448,169,674,440,***,4070,6359
15,鉱業、採石業、砂利採取業,2018年度,39,845,***,***,126,***,***,525,275,367,627,104,3449,6318
16,鉱業、採石業、砂利採取業,2019年度,32,429,***,***,***,***,***,504,267,278,560,434,1342,3814
17,鉱業、採石業、砂利採取業,2020年度,36,642,***,***,64,60,***,738,503,539,351,323,1111,4331
18,製造業,2016年度,12870,43042,10374,16475,32082,60986,167276,820875,1044391,880688,635635,412780,1140967,5265571
19,製造業,2017年度,12705,41185,8828,19155,36939,46298,163147,786956,892826,806079,818838,394210,1292284,5306745
20,製造業,2018年度,12826,38058,11453,27169,42155,68513,190066,901560,957117,830415,585226,426637,1249182,5327551
21,製造業,2019年度,12712,60875,17157,23835,52824,180100,305275,959783,981148,772790,481817,365587,1072399,5273590
22,製造業,2020年度,12771,103258,33214,66194,84798,161764,369153,862981,961407,718635,524925,327895,1131108,5345332
23,食料品製造業,2020年度,1591,14673,5603,6136,11715,23966,44003,174769,164041,82030,38875,39918,57031,662760
24,飲料・たばこ・飼料製造業,2020年度,195,1249,604,1829,1853,629,15596,12896,10913,21805,1517,6584,11419,86894
25,繊維工業,2020年度,419,4015,1772,2966,1765,3197,5687,15467,13191,5111,5025,3339,12367,73902
26,木材・木製品製造業（家具を除く）,2020年度,145,470,59,199,***,560,1484,5776,7800,5139,4952,415,2061,28915
27,家具・装備品製造業,2020年度,123,325,***,310,294,635,1177,6437,5844,9841,6311,1270,4547,36991
28,パルプ・紙・紙加工品製造業,2020年度,377,708,394,455,1401,2249,6268,27185,19536,20360,8231,6924,10049,103760
29,印刷・同関連業,2020年度,502,2027,691,1684,4583,4965,7784,33417,41803,24251,9985,3526,7449,142165
30,化学工業,2020年度,913,3211,615,2064,4670,5181,10957,29280,53290,63124,52553,42972,220553,488470
31,石油製品・石炭製品製造業,2020年度,52,283,***,344,384,***,1154,1784,4092,7485,1988,1937,1990,21441
32,プラスチック製品製造業,2020年度,787,1143,709,1271,3249,4477,8478,27300,31822,28641,35397,21497,39501,203485
33,ゴム製品製造業,2020年度,161,318,68,633,2086,1894,2623,6751,5518,10930,11894,12150,25447,80312
34,なめし革・同製品・毛皮製造業,2020年度,20,437,***,73,113,637,83,725,59,105,***,***,445,2677
35,窯業・土石製品製造業,2020年度,449,4386,1253,2333,1150,2064,2922,11508,16515,14226,13957,13510,16472,100296
36,鉄鋼業,2020年度,434,1948,1245,18949,4283,2827,62411,36813,23192,12360,8590,4439,7972,185029
