産業__産業分類名称_総合計,__時間軸コード_2015100000,列見出し4_列見出し5_単位（列）_年度_2015年度,_社_8527,_百万円_356508776,_百万円_14504871,_百万円_12079769,_百万円_2425102,うち、関係会社への委託_国内_百万円_961675,うち、関係会社への委託_海外_百万円_462589,_％_4.07,_百万円_1156934,国内_百万円_89187,海外_百万円_16646,_社_1924,_百万円_644839,_社_8971,_百万円_212407
非鉄金属加工品製造業,2019100000,2019年度,134,4971200,97169,91914,5255,1761,100,1.95,4425,1083,***,24,9013,100,1721
金属製品製造業,2019100000,2019年度,451,6619739,86311,82847,3464,2139,442,1.3,507,78,***,61,2877,307,2400
建設用・建築用金属製品製造業,2019100000,2019年度,137,3281726,33853,32816,1037,344,9,1.03,158,69,***,21,1516,84,858
その他の金属製品製造業,2019100000,2019年度,314,3338013,52458,50031,2427,1795,433,1.57,349,9,***,40,1361,223,1542
はん用機械器具製造業,2019100000,2019年度,281,5473746,159139,148495,10644,2638,2904,2.91,5419,19,***,55,9071,204,2748
ボイラ・原動機製造業,2019100000,2019年度,16,1363453,50679,45026,5653,1871,1624,3.72,5167,4,***,5,2585,15,315
ポンプ・圧縮機器製造業,2019100000,2019年度,77,1112789,28966,28151,815,231,346,2.6,76,***,***,14,1226,43,363
一般産業用機械・装置製造業,2019100000,2019年度,99,1615781,36729,35599,1130,59,741,2.27,115,15,***,23,1994,79,1192
その他のはん用機械・同部品製造業,2019100000,2019年度,89,1381723,42765,39719,3046,477,193,3.1,61,***,***,13,3266,67,878
生産用機械器具製造業,2019100000,2019年度,565,11907472,612563,579825,32738,16724,8059,5.14,15104,659,13080,99,28480,339,6774
金属加工機械製造業,2019100000,2019年度,147,2123436,67962,64203,3759,510,334,3.2,10,***,***,23,1505,77,914
特殊産業用機械製造業,2019100000,2019年度,418,9784036,544601,515622,28979,16214,7725,5.57,15094,659,13080,76,26975,262,5860
業務用機械器具製造業,2019100000,2019年度,271,10054725,994637,905499,89138,12329,11778,9.89,44131,5141,2386,77,50417,144,3209
事務用・サービス用機械器具製造業,2019100000,2019年度,63,4737293,546874,515816,31058,5439,3418,11.54,2301,1012,901,20,29890,33,969
