産業,,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
542自動車卸売業,,26,1989693,70497,64674,5823,286,1351,3.54,105,,,7,3101,115,1652
543電気機械器具卸売業,,132,7972377,315411,268228,47183,478,26076,3.96,35512,406,20920,26,4351,209,3664
549その他の機械器具卸売業,,73,1793723,65492,54360,11132,3830,3725,3.65,179,,,16,2775,121,1448
551家具・建具・じゅう器等卸売業,,36,600643,2354,1736,618,311,,0.39,,,,4,80,36,347
552医薬品・化粧品等卸売業,,66,5813199,481998,250971,231027,8937,82272,8.29,1163,,,11,6584,90,3809
553紙、紙製品卸売業,,11,538382,3202,3172,30,,,0.59,,,,,,25,162
559その他の卸売業,,145,8363931,66556,36303,30253,702,80,0.8,6886,1144,5509,20,1306,151,2237
小売業,,143,4479745,14739,11259,3480,1501,,0.33,150,3,,8,110,1021,20925
570織物・衣服・身の回り品小売業,,20,1220813,2237,2096,141,16,,0.18,,,,1,,85,2548
580飲食料品小売業,,52,1573398,1396,893,503,168,,0.09,3,3,,1,,211,6314
591自動車・自転車小売業,,6,,,,5,,,,115,,,1,,316,3750
593機械器具小売業,,8,106162,627,617,10,,,0.59,,,,,,66,2495
602家具・建具・じゅう器小売業,,1,,,,,,,,,,,,,13,99
603医薬品・化粧品小売業,,19,682886,3937,2052,1885,1235,,0.58,27,,,1,,77,1417
605燃料小売業,,1,,,,,,,,,,,1,,96,684
609その他の小売業,,22,368128,1445,1077,368,21,,0.39,5,,,2,,115,1616
610無店舗小売業,,14,337118,2590,2022,568,61,,0.77,,,,1,,42,2002
クレジットカード業、割賦金融業,,2,,,,,,,,,,,1,,36,1075
物品賃貸業,,16,367022,1619,1567,52,,,0.44,,,,1,,100,1216
702産業用機械器具賃貸業（レンタルを含む）,,14,,,,52,,,,,,,,,57,639
703事務用機械器具賃貸業（レンタルを含む）,,,,,,,,,,,,,,,11,94
704自動車賃貸業（レンタルを除く）,,,,,,,,,,,,,,,18,201
708その他の物品賃貸業（レンタルを含む）,,2,,,,,,,,,,,1,,14,282
学術研究、専門・技術サービス業,,139,5053243,859057,848271,10786,1970,,17,802259,27575,179,33,29017,262,6253
710学術・開発研究機関,,34,1023859,819792,813000,6792,1093,212,80.07,778120,21642,102,15,27623,40,873
726デザイン業,,,,,,,,,,,,,,,1,
728エンジニアリング業,,56,2606240,32248,30541,1707,532,,1.24,17240,4121,77,13,1304,89,2777
730広告業,,12,1125274,596,241,355,341,,0.05,,,,,,66,1360
743機械設計業,,12,124941,5519,3667,1852,,168,4.42,6899,1812,,1,,29,649
744商品・非破壊検査業,,12,,,,4,4,,,,,,1,,15,
745計量証明業,,12,92461,353,277,76,,,0.38,,,,3,,21,190
746写真業,,1,,,,,,,,,,,,,1,
飲食サービス業,,63,766178,971,951,20,10,,0.13,,,,2,,110,1687
760一般飲食店,,55,577322,799,779,20,10,,0.14,,,,1,,97,1421
770持ち帰り・配達飲食サービス業,,8,188856,172,172,,,,0.09,,,,1,,13,266
生活関連サービス業、娯楽業,,14,100882,328,306,22,,,0.33,,,,2,,119,1212
781洗濯業,,2,,,,,,,,,,,,,29,397
789その他の洗濯・理容・美容業・浴場業,,5,32899,82,82,,,,0.25,,,,1,,7,131
796冠婚葬祭業（冠婚葬祭互助会を含む）,,1,,,,,,,,,,,,,41,281
"797写真プリント,現像・焼付業",,2,,,,,,,,,,,,,2,
798その他の生活関連サービス業,,1,,,,,,,,,,,1,,7,15
801映画館,,,,,,,,,,,,,,,4,
803ゴルフ場,,,,,,,,,,,,,,,10,28
804スポーツ施設提供業（注）,,3,51767,182,,,,,0.35,,,,,,10,109
805公園、遊園地・テーマパーク,,,,,,,,,,,,,,,9,201
個人教授所,,1,,,,,,,,,,,,,3,17
サービス業（その他のサービス業を除く）,,115,2133061,22019,15425,6594,574,,1.03,17734,712,,12,353,456,9063
880廃棄物処理業,,28,247979,690,468,222,119,,0.28,49,,,1,,57,309
900機械等修理業,,43,1481022,17154,13754,3400,125,,1.16,199,199,,8,220,102,3048
911職業紹介業,,1,,,,,,,,,,,,,9,669
912労働者派遣業,,9,79493,2572,67,2505,179,,3.24,17415,505,,,,106,2570
927ディスプレイ業,,2,,,,,,,,,,,,,4,133
928テレマーケティング業,,,,,,,,,,,,,,,15,221
929その他の事業サービス業,,32,290936,1544,,,151,,0.53,71,8,,3,,163,2113
サービス業（その他のサービス業）,,47,2524792,170396,167971,2425,377,,6.75,10189,,,8,7189,164,5171
その他の産業,,157,8077274,17551,15387,2164,498,6,0.22,223,,,17,555,304,6987
