産業,,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
総合計,,8524,379239845,14995840,12410847,2584993,1095466,355623,3.95,1289173,138904,77151,1747,706720,9419,222478
合計,,8320,368637779,14807893,12227489,2580404,1094591,355617,4.02,1278761,138904,77151,1722,698976,8951,210320
鉱業、採石業、砂利採取業,,10,181617,1140,,,3,,0.63,,,,1,,11,242
製造業,,6160,247835361,11972955,9884650,2088305,1060416,237265,4.83,375248,103333,49363,1441,613682,4037,91692
090食料品製造業,,686,14718347,138903,129170,9733,1929,101,0.94,498,103,,100,11310,450,5578
091畜産食料品製造業,,100,4669363,31446,30067,1379,317,,0.67,10,8,,11,4044,89,1186
092水産食料品製造業,,73,702316,3533,3438,95,1,,0.5,14,,,8,93,34,218
093精穀・製粉業,,20,332646,1866,1614,252,,,0.56,,,,4,101,15,121
099その他の食料品製造業,,493,9014022,102058,94051,8007,1611,101,1.13,474,95,,77,7072,312,4053
100飲料・たばこ・飼料製造業,,119,6344552,84064,80261,3803,92,,1.32,50,,,29,6559,66,1213
101清涼飲料・酒類・茶・たばこ製造業,,91,5495821,79992,76280,3712,17,,1.46,45,,,23,6432,53,1052
102飼料・有機質肥料製造業,,28,848731,4072,3981,91,75,,0.48,5,,,6,127,13,161
110繊維工業,,157,1316794,38579,37710,869,237,,2.93,481,100,,24,3071,72,898
111製糸，紡績，ねん糸等製造業,,22,265960,21790,21396,394,20,,8.19,359,48,,7,2413,9,536
112織物・ニット生地製造業,,27,219063,5134,4969,165,20,,2.34,36,,,5,219,10,97
113染色整理業,,29,150157,2319,2283,36,14,,1.54,12,,,3,19,13,49
114その他の繊維工業,,38,302923,4667,4501,166,104,,1.54,52,52,,6,218,16,75
115織物・ニット製衣服製造業,,16,204298,3170,3081,89,71,,1.55,,,,1,,15,117
119身の回り品・その他の繊維製品製造業,,25,174393,1499,1480,19,8,,0.86,22,,,2,,9,24
120木材・木製品製造業（家具を除く）,,34,811348,3775,3717,58,10,,0.47,,,,3,70,34,229
121製材・合板製造業,,33,,,,58,10,,,,,,3,70,32,
129その他の木製品製造業（家具を除く）,,1,,,,,,,,,,,,,2,
130家具・装備品製造業,,62,1006635,13114,12431,683,4,,1.3,,,,4,930,28,
140パルプ・紙・紙加工品製造業,,108,3926787,30863,28932,1931,1277,,0.79,637,460,,18,1804,85,744
141パルプ・紙製造業,,40,2378927,16627,15338,1289,1131,,0.7,129,10,,8,1245,32,306
142紙加工品製造業,,68,1547860,14236,13594,642,146,,0.92,508,450,,10,559,53,438
150印刷・同関連業,,72,2890572,33058,32397,661,203,,1.14,40,,,11,7068,149,2061
160化学工業,,758,27593098,1882641,1454841,427800,14550,26151,6.82,56788,4453,23554,368,123145,416,13767
161化学肥料・無機化学工業製品製造業,,71,1699153,48967,43516,5451,306,,2.88,377,,,38,4421,37,636
162有機化学工業製品製造業,,147,11342686,444418,416789,27629,3973,7421,3.92,5075,684,,77,53309,89,3140
163油脂加工製品等（注）,,92,1745594,46718,44001,2717,2495,7,2.68,201,192,,39,2248,52,635
164医薬品製造業,,192,7482152,1089218,720863,368355,1212,14364,14.56,48276,1540,23550,100,44718,117,6457
169その他の化学工業製品製造業,,256,5323513,253320,229672,23648,6564,4359,4.76,2859,2037,4,114,18449,121,2899
170石油製品・石炭製品製造業,,30,10067162,31039,29044,1995,11,28,0.31,517,109,,11,4446,17,830
171石油精製業,,10,9530345,21705,19802,1903,11,,0.23,433,109,,4,3555,10,675
179その他の石油製品・石炭製品製造業,,20,536817,9334,9242,92,,28,1.74,84,,,7,891,7,155
180プラスチック製品製造業,,339,5962374,191229,180099,11130,2272,6433,3.21,2231,512,,66,20586,209,2469
190ゴム製品製造業,,78,2663341,158177,153130,5047,812,899,5.94,36,,,14,18910,32,858
191タイヤ・チューブ製造業,,7,1975013,139274,135920,3354,,41,7.05,17,,,1,,2,
199その他のゴム製品製造業,,71,688328,18903,17210,1693,812,858,2.75,19,,,13,,30,
200なめし革・同製品・毛皮製造業,,6,28358,104,104,,,,0.37,,,,,,1,
210窯業・土石製品製造業,,224,3702067,76595,72759,3836,2512,75,2.07,3500,4,2624,59,9231,111,1210
211ガラス・同製品製造業,,40,818351,31644,28912,2732,2497,5,3.87,2689,,2624,11,4270,24,390
212セメント・同製品製造業,,57,1077309,11431,10822,609,,,1.06,175,,,9,1285,33,355
219その他の窯業・土石製品製造業,,127,1806407,33520,33025,495,15,70,1.86,636,4,,39,3676,54,465
220鉄鋼業,,149,12219004,162311,156625,5686,2448,127,1.33,5226,137,36,29,17763,167,3750
221銑鉄・粗鋼・鋼材製造業,,86,11455165,157633,152123,5510,2433,50,1.38,5213,137,36,21,17651,95,3321
222鋳鍛造品・その他の鉄鋼製品製造業,,63,763839,4678,4502,176,15,77,0.61,13,,,8,112,72,429
230非鉄金属製造業,,184,8157445,124319,117153,7166,1326,1316,1.52,4758,1870,73,36,13469,130,2964
231非鉄金属製錬・精製業,,42,3075920,33335,32220,1115,287,81,1.08,167,,,11,4972,30,651
232非鉄金属加工品製造業,,142,5081525,90984,84933,6051,1039,1235,1.79,4591,1870,73,25,8497,100,2313
240金属製品製造業,,457,6933852,83095,79518,3577,2264,424,1.2,651,139,,60,5285,309,2424
241建設用・建築用金属製品製造業,,131,3244078,32543,31784,759,110,,1,342,139,,17,1413,86,848
249その他の金属製品製造業,,326,3689774,50552,47734,2818,2154,424,1.37,309,,,43,3872,223,1576
250はん用機械器具製造業,,284,5733385,167008,160252,6756,840,2581,2.91,1924,,12,55,7212,212,2583
251ボイラ・原動機製造業,,19,1396892,54186,50321,3865,58,1301,3.88,1423,,,5,2390,17,331
252ポンプ・圧縮機器製造業,,73,1190463,29203,28349,854,225,322,2.45,12,,12,14,390,41,355
253一般産業用機械・装置製造業,,100,1669599,41190,39923,1267,61,791,2.47,276,,,24,1748,88,1238
259その他のはん用機械・同部品製造業,,92,1476431,42429,41659,770,496,167,2.87,213,,,12,2684,66,659
260生産用機械器具製造業,,557,12364866,620837,591760,29077,11589,10235,5.02,60553,31792,,98,30752,327,5877
261金属加工機械製造業,,153,2482770,70640,66565,4075,530,620,2.85,42,,,23,1141,77,895
262特殊産業用機械製造業,,404,9882096,550197,525195,25002,11059,9615,5.57,60511,31792,,75,29611,250,4982
270業務用機械器具製造業,,269,11249198,1059737,997914,61823,16155,10242,9.42,67494,4280,2577,82,71257,143,3639
271事務用・サービス用機械器具製造業,,60,5106378,593724,571807,21917,4876,2306,11.63,2186,841,1093,22,43595,28,875
273計量器・測定器等（注）,,106,1732959,108196,96789,11407,5254,67,6.24,4095,610,1484,24,9326,56,1458
274医療用機械器具・医療用品製造業,,72,2750505,252285,232184,20101,6000,7869,9.17,3604,2829,,30,9150,44,1195
275光学機械器具・レンズ製造業,,26,731279,85642,77340,8302,25,,11.71,215,,,5,,13,
276武器製造業,,5,928077,19890,19794,96,,,2.14,57394,,,1,,2,
280電子部品・デバイス・電子回路製造業,,305,14356817,848411,804217,44194,32646,3418,5.91,18357,11882,3,86,52652,202,3800
290電気機械器具製造業,,427,17593108,1047108,979947,67161,3697,13004,5.95,39433,13890,,90,20264,260,9226
291産業用電気機械器具製造業,,204,7837383,423940,401773,22167,370,5040,5.41,20846,3673,,40,2319,149,7205
292民生用電気機械器具製造業,,55,6310526,381556,374130,7426,2457,5,6.05,4541,,,10,9362,30,550
293電子応用装置製造業,,36,615050,60118,47620,12498,396,7657,9.77,815,51,,7,1015,15,200
299その他の電気機械器具製造業,,132,2830149,181494,156424,25070,474,302,6.41,13231,10166,,33,7568,66,1271
300情報通信機械器具製造業,,145,7201705,486435,454742,31693,3088,10240,6.75,54635,28884,18779,36,26624,98,9486
301通信機械器具・同関連機械器具製造業,,111,2494909,217031,202235,14796,2930,2542,8.7,1801,57,,24,2153,72,1119
302電子計算機・同附属装置製造業,,34,4706796,269404,252507,16897,158,7698,5.72,52834,28827,18779,12,24471,26,8367
310輸送用機械器具製造業,,536,67890890,4546784,3222470,1324314,955315,137442,6.7,57006,4670,1705,133,159472,432,16581
311自動車・同附属品製造業,,414,62055914,4394566,3079399,1315167,954810,137017,7.08,47564,4588,1680,111,150784,335,14881
319その他の輸送用機械器具製造業,,122,5834976,152218,143071,9147,505,425,2.61,9442,82,25,22,8688,97,1700
320その他の製造業,,174,3103656,144769,105457,39312,7139,14549,4.66,433,48,,29,1802,87,1196
電気・ガス業,,39,22536355,130109,58309,71800,4135,,0.58,7876,,,17,4052,84,13072
331電気業,,25,18664045,113065,43056,70009,4135,,0.61,7870,,,10,1962,34,10286
341ガス業,,14,3872310,17044,15253,1791,,,0.44,6,,,7,2090,50,2786
情報通信業,,615,17638855,499743,443943,55800,7145,4305,2.83,27965,4151,407,37,13930,1165,35706
391ソフトウェア業,,433,11637346,447408,396565,50843,5848,4248,3.84,21381,3950,407,27,13646,745,22865
392情報処理・提供サービス業,,109,3872980,29978,27531,2447,642,,0.77,6560,201,,6,166,291,10067
401インターネット附随サービス業,,48,1644523,20633,18377,2256,529,55,1.25,,,,3,,70,1441
411映画・ビデオ制作業（※）,,11,117152,501,480,21,14,2,0.43,,,,,,20,267
413新聞業,,3,149738,508,495,13,,,0.34,,,,1,,16,738
414出版業,,11,217116,715,495,220,112,,0.33,24,,,,,23,328
卸売業,,1003,66893768,1304628,961256,343372,18837,113661,1.95,47108,3130,27202,167,37625,1547,28160
511繊維品卸売業,,21,736136,2061,1187,874,22,3,0.28,49,,,,,14,362
512衣服・身の回り品卸売業,,55,897493,3945,3163,782,544,47,0.44,,,,4,37,52,519
521農畜産物・水産物卸売業,,36,3060209,4132,4027,105,11,,0.14,2,,,5,406,77,805
522食料・飲料卸売業,,90,4156100,25784,24111,1673,850,,0.62,29,,,13,2282,139,2894
531建築材料卸売業,,57,2619908,30381,29214,1167,168,,1.16,34,20,,6,4554,92,938
532化学製品卸売業,,90,2779876,23159,18714,4445,1925,68,0.83,1468,1449,,21,897,111,3032
533石油・鉱物卸売業,,20,15755013,14216,12485,1731,13,,0.09,1132,,773,5,901,67,1095
534鉄鋼製品卸売業,,26,1254598,719,652,67,58,,0.06,7,,,3,209,61,1978
535非鉄金属卸売業,,19,4916440,9960,9668,292,79,,0.2,119,111,,6,1392,22,621
536再生資源卸売業,,3,30343,62,46,16,10,,0.2,2,,,,,18,111
541産業機械器具卸売業,,97,3615704,184699,178545,6154,613,39,5.11,421,,,20,8750,147,2486
