産業__7809_7830,__388068055_361433981,計__12527980_12886297,自社研究開発費（百万円）__10730376_11039871,委託研究開発費（百万円）__1797604_1846426,委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）_-_-,委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）_-_-,__3.23_3.57,__403713_543439,_うち、関係会社からの受託_国内（百万円）_-_-,_うち、関係会社からの受託_海外（百万円）_-_-,__2293_2349,__822587_1292531,__-_-,__-_-
9,668935,1410,957,453,1,,0.21,,,,1,,11,
6344,227043531,10625781,9136913,1488868,728775,152169,4.68,225100,25826,21784,1545,484498,3729,106850
694,13587779,136251,124275,11976,6944,3264,1,1073,870,,117,6540,376,3656
98,3974367,22959,22419,540,257,,0.58,12,,,14,936,65,714
77,696569,3609,3538,71,3,10,0.52,28,28,,6,80,35,158
19,519129,4498,4497,1,,,0.87,6,,,4,23,12,112
500,8397714,105185,93821,11364,6684,3254,1.25,1027,842,,93,5501,264,2672
121,6092228,73497,72475,1022,77,,1.21,78,,,30,4632,64,922
89,5212807,68483,67618,865,15,,1.31,53,,,21,3716,51,835
32,879421,5014,4857,157,62,,0.57,25,,,9,916,13,87
160,1826157,74168,71060,3108,860,1448,4.06,1097,72,196,22,7011,73,781
28,848093,57505,55075,2430,732,1448,6.78,1044,72,196,9,6627,11,536
27,291934,6034,5896,138,,,2.07,6,,,3,37,15,77
28,125250,1736,1646,90,19,,1.39,4,,,1,,11,24
31,223557,4329,4135,194,83,,1.94,12,,,5,,10,35
19,231634,3672,3443,229,9,,1.59,,,,1,,20,97
27,105689,892,865,27,17,,0.84,31,,,3,117,6,12
33,540638,2145,1952,193,146,,0.4,29,,,5,20,24,168
28,469808,1792,1625,167,142,,0.38,29,,,4,,19,108
5,70830,353,327,26,4,,0.5,,,,1,,5,60
60,809966,6913,6877,36,5,3,0.85,234,232,,4,13,26,231
116,3674072,30006,28871,1135,870,,0.82,265,4,,15,1254,88,751
42,2266555,18096,17176,920,714,,0.8,212,4,,7,838,31,365
74,1407517,11910,11695,215,156,,0.85,53,,,8,416,57,386
82,2911435,55143,54080,1063,3,,1.89,190,,,15,5804,137,1521
747,25906010,2139600,1837194,302406,18547,59183,8.26,46156,1455,433,370,125543,387,36391
80,1969861,81913,76853,5060,234,119,4.16,998,526,67,41,11211,42,648
141,10235317,432894,402979,29915,11327,6502,4.23,2897,255,366,81,42958,75,2568
104,2197610,84625,83015,1610,5,1146,3.85,106,86,,41,6953,48,1405
193,7967040,1377422,1126744,250678,2504,51065,17.29,38012,465,,105,55449,118,29613
229,3536182,162746,147603,15143,4477,351,4.6,4143,123,,102,8972,104,2157
35,13154468,32415,29094,3321,1150,,0.25,1493,,,19,2660,18,532
10,12600792,24297,22023,2274,948,,0.19,1433,,,6,2188,10,448
25,553676,8118,7071,1047,202,,1.47,60,,,13,472,8,84
343,5484983,142070,137550,4520,620,13,2.59,4957,,20,71,7944,196,1707
79,2543690,155134,144395,10739,258,,6.1,61,,,21,23619,32,1048
10,1920324,141859,131384,10475,,,7.39,61,,,3,23121,3,855
69,623366,13275,13011,264,258,,2.13,,,,18,498,29,193
13,38970,454,444,10,,,1.16,,,,,,,
223,2888608,48700,47866,834,434,2,1.69,2476,56,1942,52,3967,105,851
41,875473,15763,15233,530,413,2,1.8,2130,56,1942,11,724,20,249
60,511052,3969,3919,50,21,,0.78,94,,,9,116,40,238
122,1502083,28968,28714,254,,,1.93,252,,,32,3127,45,364
144,12337072,157730,154373,3357,1413,,1.28,4407,162,,34,9511,136,2336
85,11547965,147856,144605,3251,1340,,1.28,3991,162,,24,8947,79,1853
59,789107,9874,9768,106,73,,1.25,416,,,10,564,57,483
178,7691207,128087,116663,11424,2134,125,1.67,12900,1223,,38,13445,124,2595
39,3382027,34576,33539,1037,645,31,1.02,1106,942,,9,1336,31,678
139,4309180,93511,83124,10387,1489,94,2.17,11794,281,,29,12109,93,1917
446,5470493,77751,74304,3447,2283,22,1.42,922,510,,56,6423,283,2103
126,2287713,24950,24468,482,16,,1.09,14,,,13,386,76,425
320,3182780,52801,49836,2965,2267,22,1.66,908,510,,43,6037,207,1678
301,6647826,159249,155553,3696,582,425,2.4,55491,176,,63,5312,203,2455
16,2526729,62973,61605,1368,444,,2.49,55162,174,,3,81,16,108
76,1513407,34127,33000,1127,1,131,2.25,80,,,15,213,50,775
102,1000586,25535,24517,1018,114,294,2.55,37,,,24,1177,59,911
107,1607104,36614,36431,183,23,,2.28,212,2,,21,3841,78,661
519,8444193,269006,252329,16677,6471,2896,3.19,4844,77,,109,13328,283,4545
143,1752417,54949,51523,3426,587,1039,3.14,66,,,21,1313,75,669
376,6691776,214057,200806,13251,5884,1857,3.2,4778,77,,88,12015,208,3876
322,9947396,1025782,917511,108271,9071,18580,10.31,5824,519,,94,45927,147,3816
82,6313526,750399,671836,78563,3088,8436,11.89,3651,500,,24,35841,34,1613
114,985953,59919,55987,3932,101,164,6.08,1320,,,28,1470,47,276
82,1538398,127667,103983,23684,5665,9980,8.3,265,13,,31,4895,47,1811
38,1009342,84120,82033,2087,217,,8.33,584,6,,9,,15,77
6,100177,3677,3672,5,,,3.67,4,,,2,,4,39
353,14973861,968918,924356,44562,9820,3984,6.47,16386,2004,3054,90,43783,193,7964
464,14539030,777336,746126,31210,4485,1156,5.35,9004,2116,4,106,32523,255,8186
209,5042020,270677,258278,12399,78,1156,5.37,2137,1445,,44,3331,132,5652
61,5772938,286517,277120,9397,3623,,4.96,2039,91,,11,14750,28,665
32,344572,24832,22977,1855,36,,7.21,97,,4,6,155,17,473
162,3379500,195310,187751,7559,748,,5.78,4731,580,,45,14287,78,1396
180,13752599,996912,947986,48926,6810,5038,7.25,23060,361,16076,44,33350,97,10588
136,9916884,701254,672776,28478,3972,2318,7.07,2541,211,96,32,22750,68,866
44,3835715,295658,275210,20448,2838,2720,7.71,20519,150,15980,12,10600,29,9722
517,50596578,3021181,2183340,837841,649350,46279,5.97,32082,15964,36,132,89368,373,12527
411,45963138,2902271,2071354,830917,648582,46182,6.31,28941,15905,36,115,80305,296,10818
106,4633440,118910,111986,6924,768,97,2.57,3141,59,,17,9063,77,1709
214,3184272,147333,108239,39094,6442,9751,4.63,2071,25,23,38,2521,109,1176
30,19566697,102621,38494,64127,2517,13,0.52,3235,1774,,14,3917,74,18737
15,15926602,80866,19320,61546,2517,13,0.51,3055,1774,,8,1660,26,15529
15,3640095,21755,19174,2581,,,0.6,180,,,6,2257,48,3208
509,10530020,271395,224400,46995,280,366,2.58,28862,199,8168,33,5733,963,23830
377,6626879,231992,190589,41403,257,291,3.5,22517,4,8168,26,5494,596,15341
80,2953048,30572,26156,4416,20,,1.04,6321,195,,7,239,262,7153
36,765339,6842,5729,1113,,75,0.89,,,,,,46,866
4,,,,,,,,24,,,,,16,93
2,,,,,,,,,,,,,16,173
10,83786,1594,1547,47,,,1.9,,,,,,27,204
907,52149963,513615,475578,38037,9049,1494,0.98,8570,936,1298,146,33087,1362,20225
18,307023,729,446,283,,,0.24,,,,,,17,75
66,888783,7335,6659,676,9,,0.83,15,,,5,816,68,496
34,1719865,2529,2269,260,179,41,0.15,40,2,,4,326,68,415
80,2266603,17694,15552,2142,1887,,0.78,9,9,,15,1992,130,1558
58,2614978,24084,23765,319,4,,0.92,63,,,12,1567,82,951
92,2071504,30173,27384,2789,1714,3,1.46,829,655,4,20,766,97,970
16,19532855,19998,18143,1855,42,68,0.1,214,,,4,66,54,2584
18,520745,542,497,45,32,,0.1,,,,1,,48,1219
15,4831535,5265,3340,1925,640,9,0.11,,,,,,15,910
4,72200,84,84,,,,0.12,,,,1,,13,87
76,1868837,42197,37833,4364,381,123,2.26,204,,,10,144,118,3039
20,1614507,30553,28000,2553,99,,1.89,294,,,7,1464,97,1177
112,4681435,210656,201441,9215,1838,965,4.5,1997,270,1294,19,18317,189,2098
60,828541,16126,13514,2612,41,11,1.95,2048,,,6,123,104,956
36,553769,1636,1564,72,,,0.3,,,,2,,23,110
62,5015631,39252,32457,6795,1816,1,0.78,2582,,,18,742,89,2444
10,437899,190,160,30,,,0.04,,,,,,19,104
130,2323253,64572,62470,2102,367,273,2.78,275,,,22,6707,131,1032
144,4144699,10661,7251,3410,1033,1286,0.26,223,,,10,385,978,13658
24,855226,3208,1507,1701,305,1286,0.38,,,,,,83,1131
43,925806,1630,1541,89,19,,0.18,11,,,1,,217,4650
4,37177,22,18,4,,,0.06,,,,1,,269,2057
11,640328,584,564,20,,,0.09,,,,1,,64,1251
5,24920,28,24,4,,,0.11,,,,,,16,190
16,486331,3053,1758,1295,647,,0.63,204,,,4,216,71,967
5,479051,184,180,4,,,0.04,,,,,,118,846
23,364176,940,914,26,25,,0.26,8,,,1,,104,2054
13,331684,1012,745,267,37,,0.31,,,,2,,36,512
1,,,,,,,,,,,,,36,718
15,125692,859,859,,,,0.68,,,,4,,75,517
12,119306,344,344,,,,0.29,,,,3,7,34,244
1,,,,,,,,,,,,,12,64
,,,,,,,,,,,,,22,147
1,,,,,,,,,,,,,,
1,,,,,,,,,,,1,,7,62
132,3414978,89510,81836,7674,691,795,2.62,623977,427656,74551,34,11416,225,2917
32,234436,60804,55618,5186,577,47,25.94,608910,417019,74551,15,9213,37,684
2,,,,,,,,,,,,,1,
56,1845483,18981,17939,1042,104,,1.03,2899,654,,13,1742,77,1345
7,1112250,1696,1650,46,,,0.15,,,,,,61,439
16,124338,6984,5703,1281,10,748,5.62,12046,9869,,3,254,20,316
5,36873,692,599,93,,,1.88,,,,2,,10,70
13,56328,337,311,26,,,0.6,122,114,,1,,17,56
1,,,,,,,,,,,,,2,
69,931100,787,766,21,2,,0.08,,,,,,124,1140
59,662204,596,577,19,,,0.09,,,,,,106,1013
10,268896,191,189,2,2,,0.07,,,,,,18,127
8,,,,1,,,,,,,1,,98,1111
3,36895,55,55,,,,0.15,,,,,,22,96
3,17532,19,18,1,,,0.11,,,,,,7,122
,,,,,,,,,,,,,32,363
,,,,,,,,,,,,,2,
,,,,,,,,,,,,,1,
,,,,,,,,,,,,,3,9
1,,,,,,,,,,,1,,9,28
,,,,,,,,,,,,,15,362
1,,,,,,,,,,,,,7,123
,,,,,,,,,,,,,2,
133,2019090,17553,16072,1481,637,,0.87,2274,187,,13,735,449,5585
24,188132,1084,1070,14,3,,0.58,78,66,,2,,44,213
50,1217521,11053,10834,219,8,,0.91,1967,121,,5,135,104,1966
1,,,,,,,,,,,,,6,32
10,40446,94,84,10,,,0.23,229,,,1,,100,1163
8,83625,126,126,,,,0.15,,,,,,1,
1,,,,,,,,,,,,,19,136
39,,,,,626,,,,,,5,504,175,
34,1033043,14347,14023,324,308,,1.39,1046,396,,5,828,140,2232
114,2902597,10011,9673,338,102,,0.34,256,40,,15,209,246,4435
