産業,,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
705スポーツ・娯楽用品賃貸業（レンタルを含む）,,,,,,,,,,,,,,,3,10
708その他の物品賃貸業（レンタルを含む）,,2,,,,,,,,,,,1,,9,152
学術研究、専門・技術サービス業,,144,4775493,828560,814711,13849,579,2536,17.35,765484,27543,239,41,29538,252,4582
710学術・開発研究機関,,41,1057277,788236,779059,9177,319,322,74.55,748875,20706,239,19,27189,47,779
726デザイン業,,2,,,,,,,,,,,,,1,
728エンジニアリング業,,63,2565890,27921,26548,1373,112,297,1.09,6324,4816,,16,2157,91,2164
730広告業,,4,874884,753,753,,,,0.09,,,,,,62,1018
743機械設計業,,13,120782,10439,7181,3258,147,1917,8.64,10272,2009,,2,,20,399
744商品・非破壊検査業,,9,59232,500,,,,,0.84,12,12,,1,,14,
745計量証明業,,11,86736,542,514,28,1,,0.62,1,,,3,44,16,69
746写真業,,1,,,,,,,,,,,,,1,
飲食サービス業,,51,669870,833,786,47,47,,0.12,,,,1,,117,1414
760一般飲食店,,46,535728,497,450,47,47,,0.09,,,,1,,101,1112
770持ち帰り・配達飲食サービス業,,5,134142,336,336,,,,0.25,,,,,,16,302
生活関連サービス業、娯楽業,,14,128946,352,350,2,,,0.27,,,,,,111,841
781洗濯業,,5,16276,71,70,1,,,0.44,,,,,,25,224
789その他の洗濯・理容・美容業・浴場業,,4,26807,16,15,1,,,0.06,,,,,,10,90
796冠婚葬祭業（冠婚葬祭互助会を含む）,,2,,,,,,,,,,,,,40,249
"797写真プリント,現像・焼付業",,1,,,,,,,,,,,,,1,
798その他の生活関連サービス業,,,,,,,,,,,,,,,3,18
801映画館,,,,,,,,,,,,,,,2,
803ゴルフ場,,,,,,,,,,,,,,,7,64
804スポーツ施設提供業（注）,,1,,,,,,,,,,,,,17,118
805公園、遊園地・テーマパーク,,1,,,,,,,,,,,,,6,73
個人教授所,,1,,,,,,,,,,,,,1,
サービス業（その他のサービス業を除く）,,115,2163110,26118,22090,4028,380,,1.21,823,7,,16,1119,463,6279
880廃棄物処理業,,19,106679,364,190,174,132,,0.34,2,,,,,52,300
900機械等修理業,,43,1322064,18005,15350,2655,23,,1.36,697,,,11,534,101,1594
911職業紹介業,,3,97179,1342,1318,24,,,1.38,,,,,,6,70
912労働者派遣業,,14,224087,236,228,8,,,0.11,,,,1,,111,1506
927ディスプレイ業,,3,25995,47,47,,,,0.18,,,,,,6,58
928テレマーケティング業,,2,,,,,,,,,,,,,17,167
929その他の事業サービス業,,31,,,4957,,,,,124,7,,4,,170,2584
サービス業（その他のサービス業）,,41,1372090,15946,15440,506,388,16,1.16,1620,381,,8,687,152,4430
その他の産業,,155,5066314,15562,13840,1722,102,,0.31,122,2,,17,904,328,5917
