産業__産業分類名称_総合計,__時間軸コード_2017100000,列見出し4_列見出し5_単位（列）_年度_2017年度,_社_8560,_百万円_362756964,_百万円_14880134,_百万円_12369036,_百万円_2511098,うち、関係会社への委託_国内_百万円_1017225,うち、関係会社への委託_海外_百万円_404116,_％_4.1,_百万円_1164230,国内_百万円_105744,海外_百万円_50892,_社_1818,_百万円_714182,_社_9207,_百万円_211570
合計,2021100000,2021年度,9199,381106404,15700501,12938413,2762088,395590,404161,4.12,820643,298843,96599,2655,988492,9962,197643
鉱業、採石業、砂利採取業,2021100000,2021年度,7,182959,3671,705,2966,,***,2.01,3,3,***,2,,9,92
製造業,2021100000,2021年度,6715,248837509,13035936,10939331,2096605,345475,336456,5.24,400524,93308,23729,2215,903851,4443,83550
食料品製造業,2021100000,2021年度,771,14749510,152405,142331,10074,1935,146,1.03,1467,24,***,169,12215,475,5374
畜産食料品製造業,2021100000,2021年度,94,3647733,23087,21608,1479,138,***,0.63,52,***,***,22,2080,91,822
水産食料品製造業,2021100000,2021年度,73,709942,3160,3054,106,66,***,0.45,31,1,***,9,98,39,144
精穀・製粉業,2021100000,2021年度,20,338583,2257,2243,14,***,***,0.67,1,***,***,8,155,18,163
その他の食料品製造業,2021100000,2021年度,584,10053252,123901,115426,8475,1731,146,1.23,1383,23,***,130,9882,327,4245
飲料・たばこ・飼料製造業,2021100000,2021年度,123,6000252,71796,68801,2995,147,***,1.2,66,***,***,45,6666,70,1088
清涼飲料・酒類・茶・たばこ製造業,2021100000,2021年度,93,4886813,67241,64810,2431,42,***,1.38,50,***,***,33,5431,50,934
飼料・有機質肥料製造業,2021100000,2021年度,30,1113439,4555,3991,564,105,***,0.41,16,***,***,12,1235,20,154
繊維工業,2021100000,2021年度,156,1073608,33365,31969,1396,290,***,3.11,990,52,223,36,1704,74,666
製糸，紡績，ねん糸等製造業,2021100000,2021年度,23,264811,16247,15373,874,***,***,6.14,877,36,223,10,1145,7,413
織物・ニット生地製造業,2021100000,2021年度,27,156296,6110,6075,35,15,***,3.91,21,16,***,4,186,13,59
染色整理業,2021100000,2021年度,28,128459,2400,2348,52,21,***,1.87,56,***,***,6,53,11,40
その他の繊維工業,2021100000,2021年度,39,269814,4893,4648,245,204,***,1.81,4,***,***,10,,22,59
織物・ニット製衣服製造業,2021100000,2021年度,18,161492,2786,2608,178,48,***,1.73,2,***,***,1,,12,83
身の回り品・その他の繊維製品製造業,2021100000,2021年度,21,92736,929,917,12,2,***,1,30,***,***,5,56,9,12
木材・木製品製造業（家具を除く）,2021100000,2021年度,42,1094083,4149,3913,236,87,***,0.38,76,***,***,9,159,43,192
製材・合板製造業,2021100000,2021年度,35,975187,3328,3124,204,87,***,0.34,59,***,***,6,128,36,181
その他の木製品製造業（家具を除く）,2021100000,2021年度,7,118896,821,789,32,***,***,0.69,17,***,***,3,31,7,11
家具・装備品製造業,2021100000,2021年度,66,1194351,11593,11130,463,43,***,0.97,31,***,***,11,609,35,452
パルプ・紙・紙加工品製造業,2021100000,2021年度,134,3955469,40631,38008,2623,1156,***,1.03,763,377,***,25,1760,99,577
パルプ・紙製造業,2021100000,2021年度,46,2333529,27634,26186,1448,899,***,1.18,743,376,***,14,1175,38,259
紙加工品製造業,2021100000,2021年度,88,1621940,12997,11822,1175,257,***,0.8,20,1,***,11,585,61,318
印刷・同関連業,2021100000,2021年度,83,2785702,31714,30743,971,324,***,1.14,29,***,***,19,2564,164,2426
化学工業,2021100000,2021年度,834,30825743,2293634,1766415,527219,40362,135467,7.44,83585,24948,5790,512,203812,453,13703
化学肥料・無機化学工業製品製造業,2021100000,2021年度,81,1732833,57724,53220,4504,175,***,3.33,629,***,33,45,7995,44,649
有機化学工業製品製造業,2021100000,2021年度,149,11345977,493334,466314,27020,3453,3198,4.35,8428,2289,332,103,78748,85,3169
油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,2021100000,2021年度,112,1659511,56343,53880,2463,1813,***,3.4,364,127,***,64,3821,53,400
医薬品製造業,2021100000,2021年度,204,9626822,1303916,866326,437590,20799,111649,13.54,62146,18158,5422,137,71693,126,6664
その他の化学工業製品製造業,2021100000,2021年度,288,6460600,382317,326675,55642,14122,20620,5.92,12018,4374,3,163,41555,145,2821
石油製品・石炭製品製造業,2021100000,2021年度,37,8877847,39095,36906,2189,310,17,0.44,623,106,***,19,8318,19,573
石油精製業,2021100000,2021年度,8,8186105,27104,25412,1692,4,***,0.33,533,106,***,3,7455,8,354
