産業,企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
個人教授所,,,,,,,,,,,,,,2,
サービス業（その他のサービス業を除く）,108,1622264,11757,10011,1746,230,535,0.72,2685,621,,18,236,318,4120
880廃棄物処理業,22,127309,913,807,106,,,0.72,58,,,6,82,29,115
900機械等修理業,39,918379,6624,6565,59,,,0.72,2009,3,,6,123,100,1504
911職業紹介業,1,,,,,,,,,,,,,5,
912労働者派遣業,13,70124,1005,460,545,,535,1.43,618,618,,,,73,1186
927ディスプレイ業,7,39378,81,81,,,,0.21,,,,,,2,
928テレマーケティング業,,,,,,,,,,,,,,10,102
929その他の事業サービス業,26,,,2098,,230,,,,,,6,31,99,1148
サービス業（その他のサービス業）,34,890312,10670,10200,470,243,,1.2,121,74,,5,3307,120,1857
その他の産業,125,8256263,35783,18535,17248,236,7,0.43,848,187,,16,186,219,3099
