産業__産業分類名称_総合計,__時間軸コード_2018100000,列見出し4_列見出し5_単位（列）_年度_2018年度,_社_8524,_百万円_379239845,_百万円_14995840,_百万円_12410847,_百万円_2584993,うち、関係会社への委託_国内_百万円_1095466,うち、関係会社への委託_海外_百万円_355623,_％_3.95,_百万円_1289173,国内_百万円_138904,海外_百万円_77151,_社_1747,_百万円_706720,_社_9419,_百万円_222478
紙加工品製造業,2022100000,2022年度,71,1541060,15718,14666,1052,35,***,1.02,6,***,***,12,809,67,486
印刷・同関連業,2022100000,2022年度,71,2675571,33595,32432,1163,461,***,1.26,24,24,***,15,2621,169,2545
化学工業,2022100000,2022年度,779,32605009,2353402,1729914,623488,26849,159082,7.22,73265,4221,568,468,186743,485,15176
化学肥料・無機化学工業製品製造業,2022100000,2022年度,81,2306866,69250,66699,2551,136,3,3,731,***,41,48,7528,50,812
有機化学工業製品製造業,2022100000,2022年度,144,12028438,476968,444923,32045,4364,3954,3.97,7924,1293,312,100,64077,94,3400
油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,2022100000,2022年度,98,1549277,43975,41575,2400,1743,8,2.84,716,431,***,59,3962,53,467
医薬品製造業,2022100000,2022年度,178,9836891,1310017,777116,532901,12166,149527,13.32,53064,646,129,105,81061,126,7013
その他の化学工業製品製造業,2022100000,2022年度,278,6883537,453192,399601,53591,8440,5590,6.58,10830,1851,86,156,30115,162,3484
石油製品・石炭製品製造業,2022100000,2022年度,37,12189800,38949,36080,2869,285,***,0.32,1083,128,***,18,6445,23,690
石油精製業,2022100000,2022年度,8,11372099,26169,23854,2315,22,***,0.23,1080,128,***,2,,9,438
その他の石油製品・石炭製品製造業,2022100000,2022年度,29,817701,12780,12226,554,263,***,1.56,3,***,***,16,,14,252
プラスチック製品製造業,2022100000,2022年度,384,6345772,403013,395383,7630,1749,1343,6.35,3935,3,336,116,17485,268,3094
ゴム製品製造業,2022100000,2022年度,99,3324819,170813,165733,5080,241,36,5.14,647,8,***,36,22333,53,1290
タイヤ・チューブ製造業,2022100000,2022年度,7,2231227,133426,129245,4181,***,***,5.98,613,***,***,3,19160,5,852
その他のゴム製品製造業,2022100000,2022年度,92,1093592,37387,36488,899,241,36,3.42,34,8,***,33,3173,48,438
なめし革・同製品・毛皮製造業,2022100000,2022年度,6,24256,109,108,1,***,***,0.45,***,***,***,1,,3,19
窯業・土石製品製造業,2022100000,2022年度,215,3703534,74659,73186,1473,95,96,2.02,3748,146,2043,73,6874,136,2078
ガラス・同製品製造業,2022100000,2022年度,37,712664,20339,19999,340,74,2,2.85,2645,***,2043,11,638,29,395
セメント・同製品製造業,2022100000,2022年度,55,1077751,13369,12980,389,2,***,1.24,798,146,***,16,1662,41,895
その他の窯業・土石製品製造業,2022100000,2022年度,123,1913119,40951,40207,744,19,94,2.14,305,***,***,46,4574,66,788
鉄鋼業,2022100000,2022年度,143,15662420,152906,147686,5220,1931,200,0.98,8161,214,***,37,11958,181,3406
銑鉄・粗鋼・鋼材製造業,2022100000,2022年度,83,14844873,149239,145044,4195,1006,200,1.01,7902,21,***,29,11668,86,2959
鋳鍛造品・その他の鉄鋼製品製造業,2022100000,2022年度,60,817547,3667,2642,1025,925,***,0.45,259,193,***,8,290,95,447
非鉄金属製造業,2022100000,2022年度,187,12709657,192551,180061,12490,1692,1752,1.51,7889,1272,***,58,15943,159,4203
非鉄金属製錬・精製業,2022100000,2022年度,39,5112362,49154,46141,3013,131,88,0.96,1214,***,***,19,8535,39,1208
非鉄金属加工品製造業,2022100000,2022年度,148,7597295,143397,133920,9477,1561,1664,1.89,6675,1272,***,39,7408,120,2995
金属製品製造業,2022100000,2022年度,489,7186347,103062,99394,3668,1181,29,1.43,616,114,***,80,5121,386,2540
建設用・建築用金属製品製造業,2022100000,2022年度,143,3467582,47229,45141,2088,130,***,1.36,175,4,***,24,2220,124,933
その他の金属製品製造業,2022100000,2022年度,346,3718765,55833,54253,1580,1051,29,1.5,441,110,***,56,2901,262,1607
はん用機械器具製造業,2022100000,2022年度,321,8303720,312624,300780,11844,3873,2031,3.76,54587,449,***,82,20702,257,3238
ボイラ・原動機製造業,2022100000,2022年度,14,2939795,164701,159027,5674,3589,***,5.6,53378,***,***,6,3896,17,683
ポンプ・圧縮機器製造業,2022100000,2022年度,82,1700481,51846,50029,1817,235,402,3.05,109,19,***,24,9402,56,526
一般産業用機械・装置製造業,2022100000,2022年度,127,2159207,56313,53951,2362,42,724,2.61,524,***,***,36,5318,101,1266
その他のはん用機械・同部分品製造業,2022100000,2022年度,98,1504237,39764,37773,1991,7,905,2.64,576,430,***,16,2086,83,763
生産用機械器具製造業,2022100000,2022年度,544,14963254,724035,664113,59922,35752,4295,4.84,15689,1867,12011,139,34174,370,6605
金属加工機械製造業,2022100000,2022年度,155,2468106,80260,75330,4930,1086,674,3.25,199,***,***,39,2044,105,1311
特殊産業用機械製造業,2022100000,2022年度,389,12495148,643775,588783,54992,34666,3621,5.15,15490,1867,12011,100,32130,265,5294
業務用機械器具製造業,2022100000,2022年度,303,10170684,899650,808513,91137,13704,11543,8.85,18064,1790,434,120,56318,172,3755
事務用・サービス用機械器具製造業,2022100000,2022年度,62,4536805,494627,450066,44561,8414,5176,10.9,5015,98,434,28,25748,30,735
計量器・測定器・分析機器・試験機・測量機製造業,2022100000,2022年度,108,1338758,80244,68589,11655,1203,3343,5.99,905,42,***,32,2857,56,1068
医療用機械器具・医療用品製造業,2022100000,2022年度,99,3633456,233307,210275,23032,4005,3024,6.42,11357,1650,***,51,12487,67,1882
光学機械器具・レンズ製造業,2022100000,2022年度,31,635772,90652,78763,11889,82,***,14.26,787,***,***,7,,18,
武器製造業,2022100000,2022年度,3,25893,820,820,***,***,***,3.17,***,***,***,2,,1,
電子部品・デバイス・電子回路製造業,2022100000,2022年度,347,17401114,1377199,1207886,169313,4899,4242,7.91,122337,13653,1434,128,163408,220,3856
電気機械器具製造業,2022100000,2022年度,484,15090986,855878,757258,98620,13794,61093,5.67,41411,21439,5,128,61109,333,9474
産業用電気機械器具製造業,2022100000,2022年度,222,8074535,409341,381208,28133,8508,10723,5.07,30700,15992,5,53,30352,182,6952
民生用電気機械器具製造業,2022100000,2022年度,58,2352032,100264,88063,12201,3050,1840,4.26,144,26,***,10,8111,35,875
電子応用装置製造業,2022100000,2022年度,40,829019,81403,67144,14259,602,11916,9.82,473,***,***,11,2299,22,423
その他の電気機械器具製造業,2022100000,2022年度,164,3835400,264870,220843,44027,1634,36614,6.91,10094,5421,***,54,20347,94,1224
情報通信機械器具製造業,2022100000,2022年度,121,7732572,505002,474070,30932,2565,5539,6.53,50305,41118,12,47,17472,85,9879
通信機械器具・同関連機械器具製造業,2022100000,2022年度,92,3709478,295545,282542,13003,2032,104,7.97,45066,40935,12,32,2682,64,1769
電子計算機・同附属装置製造業,2022100000,2022年度,29,4023094,209457,191528,17929,533,5435,5.21,5239,183,***,15,14790,21,8110
輸送用機械器具製造業,2022100000,2022年度,593,69292840,5458186,4372215,1085971,110356,88123,7.88,92294,13597,4299,195,278686,512,15509
自動車・同附属品製造業,2022100000,2022年度,451,65147223,5366873,4289011,1077862,107488,85443,8.24,80850,5692,4133,157,273420,393,13781
その他の輸送用機械器具製造業,2022100000,2022年度,142,4145617,91313,83204,8109,2868,2680,2.2,11444,7905,166,38,5266,119,1728
その他の製造業,2022100000,2022年度,224,2840434,73395,58846,14549,481,544,2.58,3770,313,***,55,,133,1097
電気・ガス業,2022100000,2022年度,47,38193511,132892,49537,83355,19542,103,0.35,22638,172,***,18,5962,110,11911
電気業,2022100000,2022年度,34,31537945,110458,33531,76927,19229,103,0.35,18411,172,***,12,1427,48,10000
ガス業,2022100000,2022年度,13,6655566,22434,16006,6428,313,***,0.34,4227,***,***,6,4535,62,1911
情報通信業,2022100000,2022年度,728,21400938,634783,446476,188307,3369,4985,2.97,42005,4431,6904,69,11836,1423,56761
ソフトウェア業,2022100000,2022年度,488,14556650,539675,364741,174934,2218,3100,3.71,33598,2885,758,50,10726,885,43764
情報処理・提供サービス業,2022100000,2022年度,159,3675703,43517,40725,2792,552,18,1.18,8206,1523,6146,11,713,373,10325
インターネット附随サービス業,2022100000,2022年度,57,2786755,49764,39323,10441,587,1867,1.79,184,23,***,4,358,93,1603
映画・ビデオ制作業（※）,2022100000,2022年度,9,101135,742,717,25,***,***,0.73,***,***,***,2,,16,153
新聞業,2022100000,2022年度,6,228873,483,471,12,12,***,0.21,***,***,***,2,,22,689
出版業,2022100000,2022年度,9,51822,602,499,103,***,***,1.16,17,***,***,***,***,34,227
卸売業,2022100000,2022年度,1048,76030774,1894563,1388246,506317,56492,101384,2.49,81417,2031,23138,211,68666,1808,26975
繊維品卸売業,2022100000,2022年度,19,387465,2358,1605,753,157,***,0.61,55,***,***,2,,16,318
衣服・身の回り品卸売業,2022100000,2022年度,56,838198,3395,2769,626,485,70,0.41,***,***,***,1,,59,557
農畜産物・水産物卸売業,2022100000,2022年度,42,2888550,5406,4167,1239,403,***,0.19,3,***,***,6,406,109,1234
食料・飲料卸売業,2022100000,2022年度,89,4399313,28326,25181,3145,2383,***,0.64,33,***,***,17,2541,156,1714
建築材料卸売業,2022100000,2022年度,59,2370627,24910,24423,487,398,***,1.05,64,46,***,7,593,122,699
化学製品卸売業,2022100000,2022年度,117,4335337,32751,28833,3918,1348,4,0.76,3134,740,***,42,3208,123,3043
石油・鉱物卸売業,2022100000,2022年度,20,22591197,29076,23832,5244,131,110,0.13,3565,24,***,4,8570,68,1533
鉄鋼製品卸売業,2022100000,2022年度,32,3417841,3315,3044,271,17,***,0.1,***,***,***,2,,72,2845
非鉄金属卸売業,2022100000,2022年度,23,3361816,9692,9373,319,273,***,0.29,244,***,***,7,587,24,794
再生資源卸売業,2022100000,2022年度,4,266205,234,197,37,***,***,0.09,***,***,***,***,***,24,85
産業機械器具卸売業,2022100000,2022年度,86,2571975,100989,96989,4000,1371,23,3.93,1375,***,***,24,6315,166,2669
自動車卸売業,2022100000,2022年度,27,1517231,15201,13696,1505,386,1031,1,48,***,***,7,624,107,1324
電気機械器具卸売業,2022100000,2022年度,130,10299171,616865,552019,64846,21917,225,5.99,59282,13,18426,35,22933,239,3832
その他の機械器具卸売業,2022100000,2022年度,76,1498472,37134,36100,1034,209,91,2.48,417,8,***,10,937,135,1086
家具・建具・じゅう器等卸売業,2022100000,2022年度,35,602222,2165,1498,667,96,***,0.36,***,***,***,***,***,48,420
医薬品・化粧品等卸売業,2022100000,2022年度,68,7969487,767620,470239,297381,7335,68948,9.63,13132,1177,4712,20,15563,112,2455
紙・紙製品卸売業,2022100000,2022年度,11,159544,271,263,8,***,***,0.17,4,***,***,2,,27,137
その他の卸売業,2022100000,2022年度,154,6556123,214855,94018,120837,19583,30882,3.28,61,23,***,25,5882,201,2230
小売業,2022100000,2022年度,187,11595059,33217,23956,9261,4502,32,0.29,955,15,157,21,566,1166,21065
織物・衣服・身の回り品小売業,2022100000,2022年度,26,1363050,1294,1005,289,230,***,0.09,***,***,***,1,,80,1293
飲食料品小売業,2022100000,2022年度,67,1403658,4464,2709,1755,494,***,0.32,752,***,***,5,273,252,5433
自動車・自転車小売業,2022100000,2022年度,3,49098,416,400,16,16,***,0.85,***,***,***,***,***,357,4799
機械器具小売業,2022100000,2022年度,19,208100,14819,13008,1811,***,32,7.12,13,***,***,4,179,80,4846
家具・建具・じゅう器小売業,2022100000,2022年度,1,,,,,***,***,,,***,***,***,***,14,71
医薬品・化粧品小売業,2022100000,2022年度,24,958381,3620,1410,2210,1695,***,0.38,20,9,***,5,48,85,1160
燃料小売業,2022100000,2022年度,3,34831,56,56,***,***,***,0.16,***,***,***,1,,130,1133
その他の小売業,2022100000,2022年度,28,,,,,1501,***,,,6,157,4,37,137,1400
無店舗小売業,2022100000,2022年度,16,675543,3439,1897,1542,566,***,0.51,***,***,***,1,,31,930
クレジットカード業、割賦金融業,2022100000,2022年度,6,,,,,,***,,***,***,***,1,,31,1244
物品賃貸業,2022100000,2022年度,26,305640,707,658,49,10,***,0.23,***,***,***,1,,121,1872
産業用機械器具賃貸業（レンタルを含む）,2022100000,2022年度,20,211427,493,454,39,***,***,0.23,***,***,***,1,,58,796
事務用機械器具賃貸業（レンタルを含む）,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,15,273
自動車賃貸業（レンタルを除く）,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,25,389
スポーツ・娯楽用品賃貸業（レンタルを含む）,2022100000,2022年度,1,,,,***,***,***,,***,***,***,***,***,***,***
その他の物品賃貸業（レンタルを含む）,2022100000,2022年度,5,,,,10,10,***,,***,***,***,***,***,23,414
学術研究、専門・技術サービス業,2022100000,2022年度,179,5711155,265663,243869,21794,1656,11674,4.65,160062,18896,3801,45,27055,298,6016
学術・開発研究機関,2022100000,2022年度,44,610065,166108,149283,16825,476,10896,27.23,94750,14063,305,19,19683,49,1278
デザイン業,2022100000,2022年度,1,,,,***,***,***,,***,***,***,***,***,4,11
エンジニアリング業,2022100000,2022年度,76,4010066,45058,41070,3988,1119,641,1.12,10132,4833,125,15,6369,95,2505
広告業,2022100000,2022年度,11,,,,168,***,***,,33638,***,***,***,***,81,1342
機械設計業,2022100000,2022年度,19,138573,52025,51258,767,27,137,37.54,21542,***,3371,5,922,29,512
商品・非破壊検査業,2022100000,2022年度,12,76614,909,903,6,5,***,1.19,***,***,***,4,,13,145
計量証明業,2022100000,2022年度,16,106328,978,938,40,29,***,0.92,***,***,***,2,,24,209
写真業,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,3,14
飲食サービス業,2022100000,2022年度,82,758478,589,551,38,37,***,0.08,***,***,***,1,,128,1187
一般飲食店,2022100000,2022年度,69,641872,479,478,1,***,***,0.07,***,***,***,1,,104,835
持ち帰り・配達飲食サービス業,2022100000,2022年度,13,116606,110,73,37,37,***,0.09,***,***,***,***,***,24,352
生活関連サービス業、娯楽業,2022100000,2022年度,13,228613,260,222,38,***,23,0.11,***,***,***,***,***,165,1648
洗濯業,2022100000,2022年度,1,,,,***,***,***,,***,***,***,***,***,33,338
その他の洗濯・理容・美容・浴場業,2022100000,2022年度,3,45074,30,15,15,***,***,0.07,***,***,***,***,***,16,203
冠婚葬祭業（冠婚葬祭互助会を含む）,2022100000,2022年度,4,56690,33,10,23,***,23,0.06,***,***,***,***,***,50,405
写真プリント、現像・焼付業,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,3,8
その他の生活関連サービス業,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,9,
映画館,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,4,68
ゴルフ場,2022100000,2022年度,1,,,,***,***,***,,***,***,***,***,***,13,49
スポーツ施設提供業（809に該当するものを除く）,2022100000,2022年度,3,84842,139,139,***,***,***,0.16,***,***,***,***,***,23,367
公園、遊園地・テーマパーク,2022100000,2022年度,1,,,,***,***,***,,***,***,***,***,***,13,139
ボウリング場,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,1,
個人教授所,2022100000,2022年度,1,,,,,,***,,***,***,***,***,***,1,
サービス業（その他のサービス業を除く）,2022100000,2022年度,136,3628769,26274,17832,8442,575,***,0.72,870,359,***,15,356,634,9539
廃棄物処理業,2022100000,2022年度,28,286791,1103,930,173,162,***,0.38,99,92,***,3,95,79,647
機械等修理業,2022100000,2022年度,48,1127163,14095,13297,798,7,***,1.25,479,7,***,9,202,117,1859
職業紹介業,2022100000,2022年度,***,***,***,***,***,***,***,***,***,***,***,***,***,20,401
労働者派遣業,2022100000,2022年度,7,611991,181,74,107,1,***,0.03,***,***,***,***,***,149,2734
ディスプレイ業,2022100000,2022年度,2,,,,***,***,***,,***,***,***,***,***,6,70
テレマーケティング業,2022100000,2022年度,4,70839,154,105,49,***,***,0.22,***,***,***,***,***,26,577
その他の事業サービス業,2022100000,2022年度,47,,,,7315,405,***,,292,260,***,3,59,237,3251
サービス業（その他のサービス業）,2022100000,2022年度,80,3863125,204683,189146,15537,1086,1011,5.3,8079,485,6861,23,10362,254,4270
その他の産業,2022100000,2022年度,237,16408973,279942,244351,35591,707,17348,1.71,2410,***,***,53,2494,560,16117
