産業__産業分類名称_総合計,__時間軸コード_2018100000,列見出し4_列見出し5_単位（列）_年度_2018年度,_社_8524,_百万円_379239845,_百万円_14995840,_百万円_12410847,_百万円_2584993,うち、関係会社への委託_国内_百万円_1095466,うち、関係会社への委託_海外_百万円_355623,_％_3.95,_百万円_1289173,国内_百万円_138904,海外_百万円_77151,_社_1747,_百万円_706720,_社_9419,_百万円_222478
合計,2022100000,2022年度,9041,430922708,17090530,14026177,3064353,311137,460086,3.97,810591,127206,55362,2438,1052793,10715,236672
鉱業、採石業、砂利採取業,2022100000,2022年度,7,280680,897,781,116,6,***,0.32,1,1,***,1,,8,
製造業,2022100000,2022年度,6581,272071449,14100004,11853655,2246349,224934,341885,5.18,502643,101301,21362,2055,938336,4822,98251
食料品製造業,2022100000,2022年度,732,15449463,161263,150389,10874,2266,222,1.04,2304,499,***,147,10585,528,5798
畜産食料品製造業,2022100000,2022年度,90,3822792,25371,23388,1983,293,***,0.66,53,***,***,21,4285,106,1095
水産食料品製造業,2022100000,2022年度,78,681579,3313,3157,156,37,***,0.49,29,***,***,10,95,48,242
精穀・製粉業,2022100000,2022年度,18,390632,2795,2790,5,2,1,0.72,***,***,***,7,229,19,148
その他の食料品製造業,2022100000,2022年度,546,10554460,129784,121054,8730,1934,221,1.23,2222,499,***,109,5976,355,4313
飲料・たばこ・飼料製造業,2022100000,2022年度,114,5978062,67190,64029,3161,339,***,1.12,224,***,***,41,6013,79,1300
清涼飲料・酒類・茶・たばこ製造業,2022100000,2022年度,87,4672553,62832,60242,2590,30,***,1.34,223,***,***,30,4968,62,1161
飼料・有機質肥料製造業,2022100000,2022年度,27,1305509,4358,3787,571,309,***,0.33,1,***,***,11,1045,17,139
繊維工業,2022100000,2022年度,152,1705407,87716,83935,3781,1295,1715,5.14,1488,55,220,32,5868,77,1201
製糸業、紡績業、化学繊維・ねん糸等製造業,2022100000,2022年度,24,892205,72097,68794,3303,1040,1715,8.08,1346,***,220,9,5012,10,883
織物・ニット生地製造業,2022100000,2022年度,25,170223,5647,5624,23,***,***,3.32,46,36,***,4,180,14,94
染色整理業,2022100000,2022年度,27,137523,1711,1658,53,29,***,1.24,5,***,***,4,63,11,36
その他の繊維工業,2022100000,2022年度,39,272980,4823,4581,242,203,***,1.77,65,***,***,11,,23,97
織物・ニット製衣服製造業,2022100000,2022年度,17,161329,2557,2426,131,3,***,1.58,7,***,***,1,,10,78
身の回り品・その他の繊維製品製造業,2022100000,2022年度,20,71147,881,852,29,20,***,1.24,19,19,***,3,35,9,13
木材・木製品製造業（家具を除く）,2022100000,2022年度,44,1214837,2726,2405,321,140,***,0.22,131,***,***,6,148,41,230
製材・合板製造業,2022100000,2022年度,36,1080268,2333,2036,297,140,***,0.22,126,***,***,5,,33,217
その他の木製品製造業（家具を除く）,2022100000,2022年度,8,134569,393,369,24,***,***,0.29,5,***,***,1,,8,13
家具・装備品製造業,2022100000,2022年度,68,1368353,19622,19306,316,37,***,1.43,5,***,***,9,655,42,549
パルプ・紙・紙加工品製造業,2022100000,2022年度,124,4132538,32459,29933,2526,949,***,0.79,666,391,***,24,1541,110,719
パルプ・紙製造業,2022100000,2022年度,53,2591478,16741,15267,1474,914,***,0.65,660,391,***,12,732,43,233
