産業,,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
総合計,,8520,361522745,14056254,11821045,2235209,946179,295944,3.89,1064379,81437,53539,1929,652596,8958,207770
合計,,8317,354902742,14015608,11791562,2224046,945893,295912,3.95,1061650,81258,53539,1905,651011,8472,198820
鉱業、採石業、砂利採取業,,9,ｘ,ｘ,ｘ,ｘ,ｘ,,ｘ,14,1,,3,ｘ,11,312
製造業,,6205,243948228,11530426,9593437,1936989,915431,226692,4.73,251364,23116,46571,1604,542625,3788,101801
090食料品製造業,,659,13615107,133238,128268,4970,872,105,0.98,347,102,,113,10460,396,3856
091畜産食料品製造業,,92,4255689,36049,35146,903,254,,0.85,18,,,9,4911,79,945
092水産食料品製造業,,73,641209,3698,3551,147,6,,0.58,23,1,,7,47,36,203
093精穀・製粉業,,17,511374,4040,4037,3,,,0.79,4,,,4,25,12,116
099その他の食料品製造業,,477,8206835,89451,85534,3917,612,105,1.09,302,101,,93,5477,269,2592
100飲料・たばこ・飼料製造業,,118,6332927,61355,59079,2276,80,,0.97,414,,,37,2892,66,1103
101清涼飲料・酒類・茶・たばこ製造業,,90,5296170,57476,55268,2208,17,,1.09,386,,,27,2726,54,943
102飼料・有機質肥料製造業,,28,1036757,3879,3811,68,63,,0.37,28,,,10,166,12,160
110繊維工業,,150,1817976,77796,73301,4495,1548,2782,4.28,2372,1032,133,28,7476,69,915
111製糸，紡績，ねん糸等製造業,,21,794917,60130,56022,4108,1321,2780,7.56,2267,1032,133,10,6767,6,648
112織物・ニット生地製造業,,23,308384,7089,7053,36,8,2,2.3,10,,,3,84,11,75
113染色整理業,,25,142300,2375,2312,63,39,,1.67,5,,,3,202,9,18
114その他の繊維工業,,37,268736,4385,4179,206,156,,1.63,52,,,7,ｘ,15,76
115織物・ニット製衣服製造業,,18,175583,3107,3082,25,24,,1.77,,,,2,ｘ,13,69
119身の回り品・その他の繊維製品製造業,,26,128056,710,653,57,,,0.55,38,,,3,11,15,29
120木材・木製品製造業（家具を除く）,,33,564551,2220,2109,111,62,,0.39,,,,6,30,28,160
121製材・合板製造業,,29,490476,2009,1898,111,62,,0.41,,,,6,30,24,142
129その他の木製品製造業（家具を除く）,,4,74075,211,211,,,,0.28,,,,,,4,18
130家具・装備品製造業,,58,892132,6985,6751,234,55,,0.78,,,,2,ｘ,24,ｘ
140パルプ・紙・紙加工品製造業,,113,3982011,26376,25363,1013,814,,0.66,604,122,5,20,3972,93,727
141パルプ・紙製造業,,46,2455825,11984,11286,698,602,,0.49,308,8,5,10,1543,32,313
142紙加工品製造業,,67,1526186,14392,14077,315,212,,0.94,296,114,,10,2429,61,414
150印刷・同関連業,,85,3059201,37021,36522,499,55,,1.21,211,126,,16,1971,134,1889
160化学工業,,766,28475908,2321738,1787059,534679,26677,91095,8.15,70165,2870,40010,396,124092,398,16367
161化学肥料・無機化学工業製品製造業,,79,1716122,54439,47248,7191,2078,,3.17,534,205,,42,4165,40,567
162有機化学工業製品製造業,,150,11998466,467437,418046,49391,8221,8543,3.9,4308,443,,85,47822,77,2255
163油脂加工製品等（注）,,103,2525477,97114,90692,6422,3637,2238,3.85,374,148,,50,11696,46,1705
164医薬品製造業,,191,7905886,1501208,1047316,453892,6203,79445,18.99,57786,915,40010,102,43136,115,10042
169その他の化学工業製品製造業,,243,4329957,201540,183757,17783,6538,869,4.65,7163,1159,,117,17273,120,1798
170石油製品・石炭製品製造業,,34,14903123,26306,25332,974,3,21,0.18,1063,,,13,2007,17,508
171石油精製業,,14,14408905,18933,18037,896,,,0.13,895,,,6,1379,9,444
179その他の石油製品・石炭製品製造業,,20,494218,7373,7295,78,3,21,1.49,168,,,7,628,8,64
180プラスチック製品製造業,,354,5742775,132542,129071,3471,445,1868,2.31,2174,279,158,71,8601,204,1916
190ゴム製品製造業,,85,2795538,166905,150618,16287,204,596,5.97,3,,,19,15507,39,788
191タイヤ・チューブ製造業,,7,2086582,149793,134318,15475,,29,7.18,,,,2,ｘ,4,597
199その他のゴム製品製造業,,78,708956,17112,16300,812,204,567,2.41,3,,,17,ｘ,35,191
200なめし革・同製品・毛皮製造業,,12,47526,791,791,,,,1.66,,,,1,ｘ,1,ｘ
210窯業・土石製品製造業,,235,3334005,59049,58029,1020,257,49,1.77,2770,42,2186,54,4008,119,921
211ガラス・同製品製造業,,45,721306,16926,16653,273,90,3,2.35,2210,24,2186,12,693,23,283
212セメント・同製品製造業,,61,937083,7755,7460,295,44,,0.83,152,15,,5,320,41,249
219その他の窯業・土石製品製造業,,129,1675616,34368,33916,452,123,46,2.05,408,3,,37,2995,55,389
220鉄鋼業,,147,12478904,148091,143454,4637,2646,,1.19,3931,282,15,30,10319,161,2304
221銑鉄・粗鋼・鋼材製造業,,92,11925696,143947,139488,4459,2485,,1.21,3686,268,15,20,10125,89,1998
222鋳鍛造品・その他の鉄鋼製品製造業,,55,553208,4144,3966,178,161,,0.75,245,14,,10,194,72,306
230非鉄金属製造業,,189,8934246,158422,151222,7200,1564,864,1.77,6028,2291,28,48,15027,126,10908
231非鉄金属製錬・精製業,,47,3713661,50702,50115,587,62,25,1.37,534,,,13,3156,30,490
232非鉄金属加工品製造業,,142,5220585,107720,101107,6613,1502,839,2.06,5494,2291,28,35,11871,96,10418
240金属製品製造業,,449,6177536,89373,86611,2762,2272,27,1.45,510,66,,61,3798,288,2059
241建設用・建築用金属製品製造業,,128,3167774,45534,45200,334,63,,1.44,120,66,,21,1480,90,770
249その他の金属製品製造業,,321,3009762,43839,41411,2428,2209,27,1.46,390,,,40,2318,198,1289
