産業,,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
250はん用機械器具製造業,,289,5055703,117205,112184,5021,438,1132,2.32,1020,,435,60,5846,197,2006
251ボイラ・原動機製造業,,18,1134050,30053,27361,2692,28,20,2.65,271,,259,7,1687,18,158
252ポンプ・圧縮機器製造業,,75,1311760,31537,30458,1079,,509,2.4,271,,,12,672,45,437
253一般産業用機械・装置製造業,,96,1198445,24817,24001,816,89,503,2.07,241,,176,21,926,62,689
259その他のはん用機械・同部品製造業,,100,1411448,30798,30364,434,321,100,2.18,237,,,20,2561,72,722
260生産用機械器具製造業,,542,10124537,436943,409321,27622,2556,4707,4.32,15388,1515,7,115,19025,308,4938
261金属加工機械製造業,,150,1962799,65592,61426,4166,300,1499,3.34,19,,,27,1743,75,722
262特殊産業用機械製造業,,392,8161738,371351,347895,23456,2256,3208,4.55,15369,1515,7,88,17282,233,4216
270業務用機械器具製造業,,288,10162825,962929,914192,48737,17610,7521,9.48,5574,469,639,92,44520,133,2940
271事務用・サービス用機械器具製造業,,67,6223910,638855,615568,23287,11823,3153,10.26,4179,461,639,22,33899,33,1464
273計量器・測定器等（注）,,110,1115099,67600,60237,7363,385,340,6.06,660,8,,31,2711,47,801
274医療用機械器具・医療用品製造業,,74,1767123,96660,80046,16614,5265,4028,5.47,619,,,31,4156,39,610
275光学機械器具・レンズ製造業,,31,939541,156459,155380,1079,,,16.65,116,,,5,3608,10,38
276武器製造業,,6,117152,3355,2961,394,137,,2.86,,,,3,146,4,27
280電子部品・デバイス・電子回路製造業,,304,16074364,937569,907991,29578,4603,3546,5.83,22175,7201,2344,92,61601,199,6693
290電気機械器具製造業,,427,14711036,806951,756580,50371,9159,13174,5.49,10339,3553,63,105,34541,224,7912
291産業用電気機械器具製造業,,197,9430019,542872,525518,17354,1344,3830,5.76,3624,2558,63,37,9693,127,5807
292民生用電気機械器具製造業,,50,1914564,54082,48569,5513,4334,30,2.82,1414,,,8,7879,24,432
293電子応用装置製造業,,36,693882,68401,50753,17648,2554,9070,9.86,264,,,8,1386,15,463
299その他の電気機械器具製造業,,144,2672571,141596,131740,9856,927,244,5.3,5037,995,,52,15583,58,1210
300情報通信機械器具製造業,,135,9781520,659164,637311,21853,5214,8615,6.74,8456,363,45,39,21587,81,8081
301通信機械器具・同関連機械器具製造業,,101,6060137,397822,388548,9274,4250,2895,6.56,3971,160,42,27,5575,55,845
302電子計算機・同附属装置製造業,,34,3721383,261342,248763,12579,964,5720,7.02,4485,203,3,12,16012,26,7236
310輸送用機械器具製造業,,545,62457848,4024331,2898874,1125457,831688,76278,6.44,96542,2705,97,153,139087,386,23410
311自動車・同附属品製造業,,409,55095306,3850174,2732311,1117863,831400,76278,6.99,36682,2700,97,126,132108,297,20977
319その他の輸送用機械器具製造業,,136,7362542,174157,166563,7594,288,,2.37,59860,5,,27,6979,89,2433
320その他の製造業,,188,2426929,137126,93404,43722,6609,14312,5.65,1278,98,406,33,6201,97,1068
電気・ガス業,,40,25145113,92157,47472,44685,4053,,0.37,7624,,,15,4657,75,13594
331電気業,,22,20445386,69732,27530,42202,4053,,0.34,7452,,,9,1907,26,10756
341ガス業,,18,4699727,22425,19942,2483,,,0.48,172,,,6,2750,49,2838
情報通信業,,524,13646164,496752,450744,46008,900,879,3.64,47906,23647,6742,25,21002,1055,27360
391ソフトウェア業,,392,10412148,466727,423154,43573,511,428,4.48,47693,23642,6742,18,20726,679,18821
392情報処理・提供サービス業,,72,2169715,19161,18429,732,91,28,0.88,128,5,,5,ｘ,249,6417
401インターネット附随サービス業,,45,913619,9572,7912,1660,298,423,1.05,37,,,2,ｘ,73,1121
411映画・ビデオ制作業（※）,,7,57532,151,144,7,,,0.26,17,,,,,13,131
413新聞業,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,18,650
414出版業,,7,ｘ,ｘ,ｘ,36,,,ｘ,31,,,,,23,220
卸売業,,1029,60170367,1040626,870532,170094,18821,66051,1.73,11665,2232,1,186,46470,1485,22617
511繊維品卸売業,,19,418596,763,565,198,1,,0.18,,,,,,15,119
512衣服・身の回り品卸売業,,60,943064,3805,3527,278,11,,0.4,1,,,1,ｘ,62,547
521農畜産物・水産物卸売業,,33,1624576,2483,2477,6,,,0.15,25,,,5,206,65,387
522食料・飲料卸売業,,91,3710500,24109,20291,3818,1961,15,0.65,1,,,13,495,131,1820
531建築材料卸売業,,54,2025272,24364,24219,145,80,,1.2,141,,,7,2130,88,494
532化学製品卸売業,,94,2491121,17940,13995,3945,1230,,0.72,49,49,,27,1115,101,899
533石油・鉱物卸売業,,25,23176066,16082,13977,2105,43,4,0.07,343,,,5,152,64,3561
534鉄鋼製品卸売業,,21,1054916,378,281,97,68,,0.04,,,,1,ｘ,61,1256
535非鉄金属卸売業,,16,1451308,6940,6448,492,63,14,0.48,85,,,5,1074,24,874
536再生資源卸売業,,6,84636,129,124,5,3,,0.15,5,5,,1,ｘ,14,74
541産業機械器具卸売業,,89,2431222,57213,48953,8260,4855,450,2.35,1027,,,21,1293,117,2851
542自動車卸売業,,27,2274203,85493,74068,11425,1833,1861,3.76,59,,,9,3419,96,1499
543電気機械器具卸売業,,146,7247251,227340,138431,88909,2088,60072,3.14,2156,1423,,28,2444,213,2913
549その他の機械器具卸売業,,81,1667133,46199,37503,8696,3586,2590,2.77,2018,,1,20,2147,130,1093
551家具・建具・じゅう器等卸売業,,44,635562,2791,2200,591,210,3,0.44,,,,1,ｘ,26,192
552医薬品・化粧品等卸売業,,62,4983457,398366,382797,15569,1974,310,7.99,5442,555,,19,25459,94,2289
553紙、紙製品卸売業,,10,109816,73,73,,,,0.07,,,,,,25,111
559その他の卸売業,,151,3841668,126158,100603,25555,815,732,3.28,313,200,,23,6362,159,1638
小売業,,156,3409554,17104,11870,5234,1594,7,0.5,36,31,2,9,515,999,17578
570織物・衣服・身の回り品小売業,,24,702429,2036,1851,185,88,,0.29,,,,2,ｘ,81,1907
580飲食料品小売業,,49,999149,2511,1997,514,291,,0.25,5,2,,2,ｘ,198,6400
591自動車・自転車小売業,,2,ｘ,ｘ,ｘ,ｘ,,,ｘ,,,,,,310,3351
593機械器具小売業,,11,209763,3109,3047,62,25,,1.48,,,,,,55,1928
602家具・建具・じゅう器小売業,,2,ｘ,ｘ,ｘ,,,,ｘ,,,,,,10,75
603医薬品・化粧品小売業,,16,590012,4609,1342,3267,1063,,0.78,,,,2,ｘ,63,1012
605燃料小売業,,4,69540,146,145,1,,,0.21,,,,,,106,510
609その他の小売業,,29,335768,1156,1092,64,28,,0.34,,,,1,ｘ,128,1676
610無店舗小売業,,19,483484,2987,1850,1137,99,7,0.62,31,29,2,2,ｘ,48,719
クレジットカード業、割賦金融業,,1,ｘ,ｘ,,ｘ,,,ｘ,,,,,,42,949
物品賃貸業,,11,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,,,,2,ｘ,77,746
702産業用機械器具賃貸業（レンタルを含む）,,9,74983,330,321,9,6,,0.44,,,,1,ｘ,39,452
703事務用機械器具賃貸業（レンタルを含む）,,,,,,,,,,,,,,,12,62
704自動車賃貸業（レンタルを除く）,,,,,,,,,,,,,,,18,170
705スポーツ・娯楽用品賃貸業（レンタルを含む）,,,,,,,,,,,,,,,1,ｘ
708その他の物品賃貸業（レンタルを含む）,,2,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,,,,1,ｘ,7,ｘ
学術研究、専門・技術サービス業,,150,4876567,814582,797415,17167,ｘ,ｘ,16.7,742028,31259,223,45,35045,253,5345
710学術・開発研究機関,,37,1107834,776276,763484,12792,4276,323,70.07,727805,19473,54,21,33238,45,1559
726デザイン業,,4,8531,39,21,18,11,,0.46,,,,,,2,ｘ
728エンジニアリング業,,65,2773390,31269,29941,1328,168,,1.13,2985,735,,17,1700,91,2084
730広告業,,8,732616,2165,2152,13,,,0.3,394,225,169,,,64,1130
743機械設計業,,18,121616,3620,657,2963,ｘ,ｘ,2.98,10826,10826,,3,40,19,342
744商品・非破壊検査業,,5,ｘ,ｘ,ｘ,ｘ,,,ｘ,12,,,2,ｘ,15,ｘ
745計量証明業,,12,84379,411,383,28,,,0.49,6,,,2,ｘ,17,59
746写真業,,1,ｘ,ｘ,ｘ,ｘ,,,ｘ,,,,,,,
飲食サービス業,,64,636940,896,895,1,,,0.14,,,,,,112,1294
760一般飲食店,,55,484521,556,555,1,,,0.11,,,,,,99,1039
770持ち帰り・配達飲食サービス業,,9,152419,340,340,,,,0.22,,,,,,13,255
生活関連サービス業、娯楽業,,11,116375,338,311,27,,,0.29,,,,,,110,1045
781洗濯業,,4,40668,133,133,,,,0.33,,,,,,26,283
789その他の洗濯・理容・美容業・浴場業,,4,21836,45,18,27,,,0.21,,,,,,18,378
796冠婚葬祭業（冠婚葬祭互助会を含む）,,,,,,,,,,,,,,,32,202
797写真プリント，現像・焼付業,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,1,ｘ
798その他の生活関連サービス業,,,,,,,,,,,,,,,2,ｘ
801映画館,,,,,,,,,,,,,,,2,ｘ
803ゴルフ場,,,,,,,,,,,,,,,9,44
804スポーツ施設提供業（注）,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,13,90
805公園、遊園地・テーマパーク,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,7,25
個人教授所,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,,
サービス業（その他のサービス業を除く）,,116,2086086,19987,16523,3464,509,,0.96,1013,972,,16,497,465,6179
880廃棄物処理業,,24,118881,473,332,141,94,,0.4,23,,,1,ｘ,55,274
900機械等修理業,,46,1426092,15586,13483,2103,23,,1.09,14,,,10,326,110,2478
911職業紹介業,,1,ｘ,ｘ,,ｘ,,,ｘ,ｘ,,,,,7,92
912労働者派遣業,,7,33069,94,58,36,,,0.28,,,,1,ｘ,105,1292
927ディスプレイ業,,4,33805,57,57,,,,0.17,,,,,,6,66
928テレマーケティング業,,1,ｘ,ｘ,,ｘ,,,ｘ,,,,,,17,148
929その他の事業サービス業,,33,ｘ,ｘ,2593,ｘ,392,,ｘ,ｘ,972,,4,ｘ,165,1829
サービス業（その他のサービス業）,,38,862772,14344,14070,274,64,32,1.66,1373,179,,5,359,171,3531
その他の産業,,165,5757231,26302,15413,10889,222,,0.46,1356,,,19,1226,315,5419
