産業,,_企業数,_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
745計量証明業,,12,82448,357,329,28,,,0.43,16,6,,1,ｘ,20,104
746写真業,,2,ｘ,ｘ,ｘ,,,,ｘ,,,,,,1,ｘ
飲食サービス業,,68,930792,1359,1296,63,61,,0.15,,,,,,118,1569
760一般飲食店,,59,742939,922,859,63,61,,0.12,,,,,,105,1311
770持ち帰り・配達飲食サービス業,,9,187853,437,437,,,,0.23,,,,,,13,258
生活関連サービス業、娯楽業,,15,116290,327,295,32,1,,0.28,,,,,,112,1060
781洗濯業,,6,45330,113,112,1,1,,0.25,,,,,,27,330
789その他の洗濯・理容・美容業・浴場業,,4,ｘ,ｘ,ｘ,17,,,ｘ,,,,,,7,172
796冠婚葬祭業（冠婚葬祭互助会を含む）,,3,8016,88,74,14,,,1.1,,,,,,45,338
797写真プリント，現像・焼付業,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,2,ｘ
798その他の生活関連サービス業,,,,,,,,,,,,,,,2,ｘ
801映画館,,,,,,,,,,,,,,,2,ｘ
803ゴルフ場,,,,,,,,,,,,,,,9,16
804スポーツ施設提供業（注）,,,,,,,,,,,,,,,12,141
805公園、遊園地・テーマパーク,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,6,24
個人教授所,,1,ｘ,ｘ,ｘ,,,,ｘ,,,,,,3,7
サービス業（その他のサービス業を除く）,,119,2187547,17403,14199,3204,275,,0.8,1078,16,,13,ｘ,429,5866
880廃棄物処理業,,24,160912,768,686,82,48,,0.48,8,8,,1,ｘ,55,242
900機械等修理業,,50,1595986,13771,11441,2330,23,,0.86,431,8,,9,568,96,2405
911職業紹介業,,,,,,,,,,,,,,,4,37
912労働者派遣業,,6,55452,89,84,5,,,0.16,,,,,,89,1355
927ディスプレイ業,,6,40761,63,63,,,,0.15,,,,,,6,10
928テレマーケティング業,,,,,,,,,,,,,,,15,184
929その他の事業サービス業,,33,334436,2712,1925,787,204,,0.81,639,,,3,165,164,1633
サービス業（その他のサービス業）,,30,796347,14601,14396,205,58,59,1.83,1343,140,,5,407,155,4457
その他の産業,,155,4060409,21582,14160,7422,1682,,0.53,223,44,,22,457,300,3407
