産業__産業分類名称_総合計,__時間軸コード_2016100000,列見出し4_列見出し5_単位（列）_年度_2016年度,_社_8487,_百万円_335361994,_百万円_13994455,_百万円_11724600,_百万円_2269855,うち、関係会社への委託_国内_百万円_928711,うち、関係会社への委託_海外_百万円_445106,_％_4.17,_百万円_1093951,国内_百万円_135305,海外_百万円_50625,_社_1833,_百万円_667698,_社_9203,_百万円_207458
衣服・身の回り品卸売業,2020100000,2020年度,49,786062,3733,2480,1253,466,49,0.47,44,***,***,4,22,50,373
農畜産物・水産物卸売業,2020100000,2020年度,34,2510590,4563,4485,78,8,2,0.18,2,***,***,3,490,75,515
食料・飲料卸売業,2020100000,2020年度,91,7425826,30043,21918,8125,5385,63,0.4,34,***,***,12,1571,131,1810
建築材料卸売業,2020100000,2020年度,60,1549410,25804,25523,281,142,***,1.67,20,19,***,4,1240,78,297
化学製品卸売業,2020100000,2020年度,93,2955673,22956,19065,3891,2017,59,0.78,1958,1055,***,24,1075,93,2136
石油・鉱物卸売業,2020100000,2020年度,18,11030478,75094,73564,1530,***,***,0.68,120,***,***,5,124,50,424
鉄鋼製品卸売業,2020100000,2020年度,36,3873043,1026,923,103,67,***,0.03,***,***,***,2,,58,2325
非鉄金属卸売業,2020100000,2020年度,17,3685734,8143,7781,362,309,***,0.22,140,120,***,5,1267,15,607
再生資源卸売業,2020100000,2020年度,7,262892,652,627,25,***,***,0.25,***,***,***,1,,20,71
産業機械器具卸売業,2020100000,2020年度,93,3002828,187784,183191,4593,1143,***,6.25,950,***,***,19,16544,141,4090
自動車卸売業,2020100000,2020年度,23,1570908,66828,64518,2310,631,1502,4.25,633,***,633,6,2618,85,986
電気機械器具卸売業,2020100000,2020年度,127,6846351,370745,309391,61354,4677,939,5.42,46967,470,25904,25,7425,195,2888
その他の機械器具卸売業,2020100000,2020年度,76,1595073,41324,38831,2493,69,1033,2.59,141,***,***,13,2718,123,871
家具・建具・じゅう器等卸売業,2020100000,2020年度,38,598453,2354,1546,808,405,***,0.39,143,***,***,2,,36,240
医薬品・化粧品等卸売業,2020100000,2020年度,64,7172788,554390,311688,242702,6829,59969,7.73,665,2,***,17,9189,83,2018
紙、紙製品卸売業,2020100000,2020年度,13,382917,3257,3254,3,***,***,0.85,***,***,***,***,***,17,82
その他の卸売業,2020100000,2020年度,146,10901087,88562,57498,31064,1555,12,0.81,750,5,***,12,1126,154,1921
小売業,2020100000,2020年度,140,2959809,14410,10519,3891,1392,78,0.49,728,***,***,9,188,904,13440
織物・衣服・身の回り品小売業,2020100000,2020年度,16,242033,962,824,138,***,78,0.4,***,***,***,1,,59,520
飲食料品小売業,2020100000,2020年度,55,943858,1086,987,99,24,***,0.12,627,***,***,1,,184,4029
自動車・自転車小売業,2020100000,2020年度,3,108141,420,357,63,***,***,0.39,89,***,***,1,,289,2181
機械器具小売業,2020100000,2020年度,8,97844,685,609,76,***,***,0.7,***,***,***,1,,58,2708
家具・建具・じゅう器小売業,2020100000,2020年度,2,,,,***,***,***,,***,***,***,***,***,10,79
医薬品・化粧品小売業,2020100000,2020年度,20,693872,3625,1658,1967,1345,***,0.52,***,***,***,2,,75,1002
燃料小売業,2020100000,2020年度,3,18311,102,47,55,***,***,0.56,***,***,***,1,,94,573
その他の小売業,2020100000,2020年度,17,,,,27,18,***,,12,***,***,1,,90,963
無店舗小売業,2020100000,2020年度,16,391142,4059,2593,1466,5,***,1.04,***,***,***,1,,45,1385
クレジットカード業、割賦金融業,2020100000,2020年度,6,,,,,,***,,***,***,***,1,,29,785
物品賃貸業,2020100000,2020年度,20,295167,774,752,22,***,***,0.26,***,***,***,***,***,92,955
産業用機械器具賃貸業（レンタルを含む）,2020100000,2020年度,15,178807,389,372,17,***,***,0.22,***,***,***,***,***,43,337
事務用機械器具賃貸業（レンタルを含む）,2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,12,99
自動車賃貸業（レンタルを除く）,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,20,239
その他の物品賃貸業（レンタルを含む）,2020100000,2020年度,4,,,,5,***,***,,***,***,***,***,***,17,280
学術研究、専門・技術サービス業,2020100000,2020年度,140,4420331,276051,260993,15058,1574,158,6.25,254006,23910,27508,28,6637,230,3666
学術・開発研究機関,2020100000,2020年度,32,374405,243497,231442,12055,747,158,65.04,226750,15078,11040,13,5218,37,616
デザイン業,2020100000,2020年度,2,,,,,,***,,***,***,***,***,***,3,
エンジニアリング業,2020100000,2020年度,59,2864316,27909,25364,2545,571,***,0.97,6452,4394,102,9,1351,76,1627
広告業,2020100000,2020年度,9,843730,739,,,8,***,0.09,***,***,***,1,,51,730
機械設計業,2020100000,2020年度,12,161079,2556,2545,11,***,***,1.59,20513,4147,16366,1,,24,364
商品・非破壊検査業,2020100000,2020年度,11,65665,830,651,179,171,***,1.26,***,***,***,2,,11,136
計量証明業,2020100000,2020年度,14,103876,433,339,94,***,***,0.42,291,291,***,1,,26,171
写真業,2020100000,2020年度,1,,,***,,,***,,***,***,***,1,,2,
飲食サービス業,2020100000,2020年度,70,765953,479,464,15,5,***,0.06,***,***,***,1,,77,510
一般飲食店,2020100000,2020年度,63,655972,423,413,10,***,***,0.06,***,***,***,1,,64,356
持ち帰り・配達飲食サービス業,2020100000,2020年度,7,109981,56,51,5,5,***,0.05,***,***,***,***,***,13,154
生活関連サービス業、娯楽業,2020100000,2020年度,9,81533,145,145,***,***,***,0.18,***,***,***,***,***,108,809
洗濯業,2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,24,167
その他の洗濯・理容・美容業・浴場業,2020100000,2020年度,3,33987,18,18,***,***,***,0.05,***,***,***,***,***,8,74
冠婚葬祭業（冠婚葬祭互助会を含む）,2020100000,2020年度,3,6808,6,6,***,***,***,0.09,***,***,***,***,***,43,202
"写真プリント,現像・焼付業",2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,2,
その他の生活関連サービス業,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,4,
映画館,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,3,17
ゴルフ場,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,5,10
スポーツ施設提供業（809に該当するものを除く）,2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,12,240
公園、遊園地・テーマパーク,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,7,79
個人教授所,2020100000,2020年度,1,,,,,,***,,***,***,***,***,***,2,
サービス業（その他のサービス業を除く）,2020100000,2020年度,130,2151630,47896,41379,6517,320,***,2.23,23703,248,***,13,357,451,5853
廃棄物処理業,2020100000,2020年度,25,219602,482,368,114,102,***,0.22,59,5,***,2,,50,331
機械等修理業,2020100000,2020年度,52,1517877,16722,14067,2655,41,***,1.1,613,14,***,6,111,98,940
職業紹介業,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,10,187
労働者派遣業,2020100000,2020年度,13,103097,2933,370,2563,9,***,2.84,23031,229,***,2,,104,2161
ディスプレイ業,2020100000,2020年度,3,20796,25851,25163,688,***,***,124.31,***,***,***,1,,9,87
テレマーケティング業,2020100000,2020年度,2,,,***,,,***,,***,***,***,***,***,17,282
その他の事業サービス業,2020100000,2020年度,35,,,1411,,,***,,***,***,***,2,,163,1865
サービス業（その他のサービス業）,2020100000,2020年度,47,2157480,129702,127757,1945,450,63,6.01,***,***,***,6,2567,145,2264
その他の産業,2020100000,2020年度,176,9021068,34138,30714,3424,376,***,0.38,645,***,***,23,1332,308,6443
