産業__7755_7809,__381433333_388068055,計__12511047_12527980,自社研究開発費（百万円）__10564866_10730376,委託研究開発費（百万円）__1946181_1797604,委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）_-_-,委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）_-_-,__3.28_3.23,__431795_403713,_うち、関係会社からの受託_国内（百万円）_-_-,_うち、関係会社からの受託_海外（百万円）_-_-,__2465_2293,__885842_822587,__-_-,__-_-
740,25477936,1965461,1672377,293084,11077,52976,7.71,35070,1521,1863,356,129882,378,21584
78,1814019,66999,62469,4530,179,178,3.69,641,293,100,39,7668,31,554
141,10108563,435345,410254,25091,6745,5844,4.31,3294,569,,78,42198,81,2305
106,2369055,91977,90507,1470,57,868,3.88,111,80,,40,13132,49,1203
189,7685324,1224847,976249,248598,2704,46082,15.94,28094,493,259,95,57947,102,15614
226,3500975,146293,132898,13395,1392,4,4.18,2930,86,1504,104,8937,115,1908
36,11636864,32730,30442,2288,521,261,0.28,2423,1,277,18,3665,24,509
11,11075294,24659,22935,1724,421,,0.22,2373,1,277,7,3125,11,434
25,561570,8071,7507,564,100,261,1.44,50,,,11,540,13,75
331,5599090,165743,159301,6442,1143,1385,2.96,5420,2,,66,10385,197,2117
80,2509671,155288,145199,10089,118,12,6.19,97,,,18,22383,30,1101
9,1806024,139097,129147,9950,,12,7.7,88,,,1,,3,939
71,703647,16191,16052,139,118,,2.3,9,,,17,,27,162
15,41232,477,472,5,,,1.16,,,,,,2,
222,3070541,43780,42590,1190,769,4,1.43,2898,83,2164,47,3364,104,730
42,839799,12400,11591,809,711,4,1.48,2333,80,2164,14,458,24,213
58,784706,6783,6719,64,37,,0.86,406,,,6,235,35,239
122,1446036,24597,24280,317,21,,1.7,159,3,,27,2671,45,278
143,12079663,148261,143962,4299,1201,2,1.23,5910,609,,33,14508,122,1149
88,11369276,137886,133686,4200,1139,2,1.21,5456,405,,23,14151,70,901
55,710387,10375,10276,99,62,,1.46,454,204,,10,357,52,248
181,9539879,144633,136917,7716,1990,803,1.52,13780,3659,,45,11579,109,2645
48,4728670,41012,40002,1010,636,80,0.87,1485,1467,,12,887,31,569
133,4811209,103621,96915,6706,1354,723,2.15,12295,2192,,33,10692,78,2076
440,4929236,51601,48800,2801,2024,44,1.05,873,82,,55,2190,268,1504
118,1847633,12009,11956,53,10,20,0.65,25,12,,12,187,82,294
322,3081603,39592,36844,2748,2014,24,1.28,848,70,,43,2003,186,1210
314,6800366,170062,165584,4478,2277,725,2.5,43379,191,28,64,4130,201,1863
21,694511,16195,15140,1055,360,,2.33,1565,158,28,3,482,13,337
74,1123096,25415,23427,1988,1493,449,2.26,,,,9,204,49,532
107,3642259,99714,98715,999,128,276,2.74,41723,22,,26,995,67,511
112,1340500,28738,28302,436,296,,2.14,91,11,,26,2449,72,483
523,6811931,261807,246366,15441,2087,1934,3.84,9243,4664,,121,18394,281,4070
140,1374171,47188,44486,2702,1288,1395,3.43,862,718,,27,2306,68,644
383,5437760,214619,201880,12739,799,539,3.95,8381,3946,,94,16088,213,3426
311,10400496,1006458,900212,106246,5669,5655,9.68,7638,558,,90,48948,140,3835
80,6564856,724095,646322,77773,530,26,11.03,5187,431,,21,25159,31,1659
111,967861,57516,55358,2158,61,128,5.94,1987,,,29,892,45,296
80,1384993,119820,96338,23482,4573,5501,8.65,215,114,,27,17095,45,1793
36,1405553,101817,98984,2833,505,,7.24,238,13,,12,,15,48
4,77233,3210,3210,,,,4.16,11,,,1,,4,39
352,10950253,543785,512420,31365,10998,3065,4.97,5141,3531,199,100,28394,203,3135
467,11832289,574541,530807,43734,14597,3633,4.86,11075,3796,,110,19131,226,9296
204,6134949,297788,271561,26227,8230,3271,4.85,6221,3177,,47,5254,114,6318
57,1803838,47569,40574,6995,3827,,2.64,257,100,,12,1279,24,389
34,342554,18612,16757,1855,1301,356,5.43,32,18,,4,306,13,466
172,3550948,210572,201915,8657,1239,6,5.93,4565,501,,47,12292,75,2123
189,25413254,1665281,1593016,72265,4448,3858,6.55,31526,409,16465,58,49135,100,17055
141,19584150,1234372,1181520,52852,2980,1584,6.3,23196,112,46,42,30871,76,7884
48,5829104,430909,411496,19413,1468,2274,7.39,8330,297,16419,16,18264,24,9171
512,48893012,2882903,2086495,796408,610422,47270,5.9,73697,15647,13,123,78052,381,13816
