産業,,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
総合計,,8560,362756964,14880134,12369036,2511098,1017225,404116,4.1,1164230,105744,50892,1818,714182,9207,211570
合計,,8349,355763665,14844037,12336000,2508037,1016401,404099,4.17,1163417,105744,50892,1790,712058,8743,201208
鉱業、採石業、砂利採取業,,9,,,,,,,,,,,,,12,277
製造業,,6174,242212152,12170221,10054006,2116215,989826,352179,5.02,318825,64441,27449,1484,613415,3948,91406
090食料品製造業,,691,15021345,138079,129391,8688,2164,93,0.92,293,55,,111,8747,407,5459
091畜産食料品製造業,,96,4832597,30835,29592,1243,278,,0.64,2,,,15,1275,76,1031
092水産食料品製造業,,78,707801,3122,3050,72,1,,0.44,14,,,5,53,31,211
093精穀・製粉業,,20,324148,2111,2106,5,,,0.65,,,,4,55,11,103
099その他の食料品製造業,,497,9156799,102011,94643,7368,1885,93,1.11,277,55,,87,7364,289,4114
100飲料・たばこ・飼料製造業,,119,6554968,83686,81100,2586,82,,1.28,63,28,,27,8272,70,1106
101清涼飲料・酒類・茶・たばこ製造業,,89,5553848,78642,76144,2498,18,,1.42,57,28,,20,7159,56,966
102飼料・有機質肥料製造業,,30,1001120,5044,4956,88,64,,0.5,6,,,7,1113,14,140
110繊維工業,,143,1800022,96856,92385,4471,676,2616,5.38,2099,326,,26,11767,71,1622
111製糸，紡績，ねん糸等製造業,,19,830607,79731,75662,4069,498,2616,9.6,1949,274,,9,10770,7,1234
112織物・ニット生地製造業,,26,207472,5669,5536,133,9,,2.73,6,,,3,95,8,88
113染色整理業,,28,154104,2649,2616,33,9,,1.72,51,,,3,,11,27
114その他の繊維工業,,34,261857,4310,4115,195,142,,1.65,52,52,,6,109,16,81
115織物・ニット製衣服製造業,,13,186384,3268,3251,17,17,,1.75,12,,,2,,13,132
119身の回り品・その他の繊維製品製造業,,23,159598,1229,1205,24,1,,0.77,29,,,3,304,16,60
120木材・木製品製造業（家具を除く）,,34,806991,3190,2857,333,159,,0.4,,,,5,54,26,159
121製材・合板製造業,,33,,,,333,159,,,,,,5,54,25,
129その他の木製品製造業（家具を除く）,,1,,,,,,,,,,,,,1,
130家具・装備品製造業,,64,1103606,15840,15197,643,8,,1.44,20,,,5,462,28,319
140パルプ・紙・紙加工品製造業,,106,3939504,31236,29245,1991,1436,,0.79,638,458,,16,3480,85,710
141パルプ・紙製造業,,42,2438552,17074,15794,1280,1168,,0.7,184,8,,8,3105,31,309
142紙加工品製造業,,64,1500952,14162,13451,711,268,,0.94,454,450,,8,375,54,401
150印刷・同関連業,,86,2904639,36365,35645,720,471,19,1.25,24,24,,11,1873,152,1996
160化学工業,,760,28242957,2215764,1742507,473257,18224,115879,7.85,42867,4860,301,381,111391,398,14759
161化学肥料・無機化学工業製品製造業,,75,1517419,49480,41981,7499,274,,3.26,388,,,39,5561,41,549
162有機化学工業製品製造業,,149,11316611,441624,413878,27746,4005,6492,3.9,7188,566,19,87,44659,80,3085
163油脂加工製品等（注）,,96,1710619,50102,46092,4010,3055,10,2.93,275,212,,41,1733,49,691
164医薬品製造業,,194,8049246,1405427,994733,410694,5253,105446,17.46,31487,1415,282,103,43422,112,7494
169その他の化学工業製品製造業,,246,5649062,269131,245823,23308,5637,3931,4.76,3529,2667,,111,16016,116,2940
170石油製品・石炭製品製造業,,33,8448820,30049,28426,1623,16,26,0.36,392,,,16,3154,20,2344
171石油精製業,,12,7934025,20737,19236,1501,,,0.26,275,,,5,2075,8,476
179その他の石油製品・石炭製品製造業,,21,514795,9312,9190,122,16,26,1.81,117,,,11,1079,12,1868
180プラスチック製品製造業,,335,5263090,128373,125045,3328,584,1147,2.44,1506,494,,67,12453,223,1933
190ゴム製品製造業,,80,2509566,147647,143304,4343,243,641,5.88,65,,,13,16232,31,888
191タイヤ・チューブ製造業,,6,1880406,132434,128955,3479,,36,7.04,65,,,1,,3,687
199その他のゴム製品製造業,,74,629160,15213,14349,864,243,605,2.42,,,,12,,28,201
200なめし革・同製品・毛皮製造業,,10,41642,200,199,1,,,0.48,,,,,,3,41
210窯業・土石製品製造業,,223,3480168,73168,70306,2862,1637,93,2.1,3032,41,2400,53,7319,119,1101
211ガラス・同製品製造業,,40,791116,27428,25729,1699,1555,11,3.47,2507,,2400,9,2271,22,274
212セメント・同製品製造業,,55,1081975,11456,10811,645,18,,1.06,246,1,,10,828,39,350
219その他の窯業・土石製品製造業,,128,1607077,34284,33766,518,64,82,2.13,279,40,,34,4220,58,477
220鉄鋼業,,152,11539972,159193,154655,4538,2149,107,1.38,3220,93,38,26,14320,158,3184
221銑鉄・粗鋼・鋼材製造業,,87,10938083,155778,151370,4408,2101,30,1.42,3025,93,38,20,14248,86,2822
222鋳鍛造品・その他の鉄鋼製品製造業,,65,601889,3415,3285,130,48,77,0.57,195,,,6,72,72,362
230非鉄金属製造業,,189,8179997,120798,114631,6167,1343,979,1.48,4514,1785,44,38,10302,125,2405
231非鉄金属製錬・精製業,,43,3145012,32538,31681,857,201,78,1.03,380,,,14,5125,29,349
