産業,__7830_8068,__361433981_299536235,計__12886297_10438431,自社研究開発費（百万円）__11039871_8893697,委託研究開発費（百万円）__1846426_1544734,委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）_-_669247,委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）_-_77407,__3.57_3.48,__543439_418136,_うち、関係会社からの受託_国内（百万円）_-_125969,_うち、関係会社からの受託_海外（百万円）_-_9636,__2349_1771,__1292531_476616,__-_7645,__-_376301
,,,,,,,,,,,,,,2,Ｘ
,,,,,,,,,,,,,,2,Ｘ
,,,,,,,,,,,,,,4,22
,1,Ｘ,Ｘ,Ｘ,,,,Ｘ,,,,,,9,49
,,,,,,,,,,,,,,11,359
,2,Ｘ,Ｘ,Ｘ,,,,Ｘ,,,,,,3,6
,,,,,,,,,,,,,,1,Ｘ
,130,1983570,18113,15621,2492,74,,0.91,2844,143,400,18,829,446,4902
,21,129189,759,733,26,,,0.59,13,,,1,Ｘ,52,211
,53,1318976,11843,11469,374,10,,0.9,2788,143,400,10,472,103,1871
,2,Ｘ,Ｘ,Ｘ,Ｘ,,,Ｘ,,,,,,3,27
,15,61126,423,127,296,,,0.69,10,,,1,Ｘ,104,1104
,6,87043,152,152,,,,0.17,33,,,,,4,15
,,,,,,,,,,,,,,13,96
,33,Ｘ,Ｘ,Ｘ,Ｘ,64,,Ｘ,,,,6,Ｘ,167,1578
,37,870343,11521,10745,776,127,,1.32,1288,171,,5,542,157,3038
,141,4570385,17199,15711,1488,117,,0.38,1203,733,,13,655,306,4263
