産業,特許権_企業数_社,特許権_件数_所有数,特許権_件数_所有数_使用のもの（含供与）_件,特許権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,実用新案権_企業数_社,実用新案権_件数_所有数_件,実用新案権_件数_所有数_使用のもの（含供与）_件,実用新案権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,意匠権_企業数_社,意匠権_件数_所有数_件,意匠権_件数_所有数_使用のもの（含供与）_件,意匠権_件数_所有数_使用のもの（含供与）_うち、自社開発_件
総合計,8450,1811356,636473,584661,2365,19478,10096,9510,4245,193022,114587,108433
合計,8068,1721671,626975,575764,2250,18986,9823,9252,4039,185907,112685,106730
鉱業、採石業、砂利採取業,10,551,13,11,1,,,,1,,,
製造業,5710,1456612,542556,495593,1651,14434,7821,7372,2874,157181,92657,87898
食料品製造業,355,13056,5554,5033,55,158,122,114,173,2371,1591,1119
畜産食料品製造業,31,1333,462,452,6,7,6,6,20,405,346,64
水産食料品製造業,37,346,179,173,8,35,20,16,20,119,111,84
精穀・製粉業,15,152,103,102,2,,,,2,,,
その他の食料品製造業,272,11225,4810,4306,39,,,,131,,,
飲料・たばこ・飼料製造業,88,4359,1234,1102,17,52,30,24,34,830,375,333
清涼飲料・酒類・茶・たばこ製造業,67,3905,885,755,15,,,,28,804,356,314
飼料・有機質肥料製造業,21,454,349,347,2,,,,6,26,19,19
繊維工業,152,11817,2199,1965,67,303,225,198,76,970,675,635
製糸業、紡績業、化学繊維・ねん糸等製造業,20,8271,236,231,6,28,21,21,9,180,21,21
織物・ニット生地製造業,26,761,433,390,10,46,22,20,9,167,156,154
染色整理業,19,329,184,117,6,11,8,5,4,10,5,4
その他の繊維工業,38,1289,556,491,14,51,41,24,17,158,97,79
織物・ニット製衣服製造業,17,727,449,424,11,71,56,54,13,251,216,213
身の回り品・その他の繊維製品製造業,32,440,341,312,20,96,77,74,24,204,180,164
木材・木製品製造業（家具を除く）,39,932,537,441,14,33,17,17,23,804,485,462
製材・合板製造業,29,826,493,397,8,16,11,11,18,670,424,401
その他の木製品製造業（家具を除く）,10,106,44,44,6,17,6,6,5,134,61,61
家具・装備品製造業,57,5059,4335,4136,30,199,177,157,47,5722,5058,4787
パルプ・紙・紙加工品製造業,131,16521,9934,9849,70,608,416,412,92,1633,1198,949
パルプ・紙製造業,47,8463,3428,3409,15,263,179,178,22,687,466,406
紙加工品製造業,84,8058,6506,6440,55,345,237,234,70,946,732,543
印刷・同関連業,122,24403,2596,2550,57,328,196,175,56,2394,509,438
化学工業,596,170097,68244,55667,92,933,528,503,207,11091,6408,5864
化学肥料・無機化学工業製品製造業,61,5241,2217,1816,6,15,3,3,12,147,101,83
有機化学工業製品製造業,118,92418,36724,26700,20,293,88,70,33,2314,964,865
油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,72,5331,3742,3659,8,16,12,11,16,93,77,73
医薬品製造業,134,20586,7917,6198,17,59,41,40,78,2516,1691,1496
その他の化学工業製品製造業,211,46521,17644,17294,41,550,384,379,68,6021,3575,3347
石油製品・石炭製品製造業,25,4679,1912,1604,6,12,11,11,3,90,88,42
石油精製業,4,2875,1038,1038,1,,,,1,,,
その他の石油製品・石炭製品製造業,21,1804,874,566,5,,,,2,,,
プラスチック製品製造業,369,39163,21397,20643,125,773,425,399,228,14411,11007,10659
ゴム製品製造業,91,24410,6403,6222,25,144,84,82,54,7754,2862,2585
タイヤ・チューブ製造業,7,18289,3462,3461,5,36,18,18,6,6984,2353,2094
その他のゴム製品製造業,84,6121,2941,2761,20,108,66,64,48,770,509,491
なめし革・同製品・毛皮製造業,5,61,30,30,3,8,8,8,3,72,28,28
窯業・土石製品製造業,210,15423,7671,7280,71,320,210,170,114,2201,1341,1224
ガラス・同製品製造業,38,4323,2417,2311,12,40,24,16,23,339,256,214
セメント・同製品製造業,66,4586,1816,1664,33,148,116,86,48,938,652,591
その他の窯業・土石製品製造業,106,6514,3438,3305,26,132,70,68,43,924,433,419
鉄鋼業,141,59550,7255,6882,37,150,79,74,53,2183,759,675
銑鉄・粗鋼・鋼材製造業,75,58413,6698,6341,24,82,22,17,33,1751,493,410
鋳鍛造品・その他の鉄鋼製品製造業,66,1137,557,541,13,68,57,57,20,432,266,265
非鉄金属製造業,158,43784,15322,14954,29,229,100,94,57,2926,1439,1405
非鉄金属製錬・精製業,39,10841,3890,3840,7,44,40,40,12,803,456,456
非鉄金属加工品製造業,119,32943,11432,11114,22,185,60,54,45,2123,983,949
金属製品製造業,496,29267,15222,14605,180,1115,891,796,292,15076,7571,7312
建設用・建築用金属製品製造業,155,13726,6604,6375,62,384,264,243,107,9331,4293,4137
その他の金属製品製造業,341,15541,8618,8230,118,731,627,553,185,5745,3278,3175
はん用機械器具製造業,330,43223,17270,16794,106,684,447,443,165,5280,3957,3875
ボイラ・原動機製造業,8,12300,1454,1446,3,40,,,5,312,131,131
ポンプ・圧縮機器製造業,70,4890,3083,3035,31,151,118,114,43,1921,1810,1810
一般産業用機械・装置製造業,143,16481,9844,9480,41,364,228,228,63,1795,1359,1293
その他のはん用機械・同部分品製造業,109,9552,2889,2833,31,129,101,101,54,1252,657,641
生産用機械器具製造業,577,86211,33900,32710,165,1674,723,679,257,8027,4345,4198
金属加工機械製造業,150,12163,5275,4806,38,297,185,181,71,2232,1075,1015
