産業,特許権_企業数_社,特許権_件数_所有数,特許権_件数_所有数_使用のもの（含供与）_件,特許権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,実用新案権_企業数_社,実用新案権_件数_所有数_件,実用新案権_件数_所有数_使用のもの（含供与）_件,実用新案権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,意匠権_企業数_社,意匠権_件数_所有数_件,意匠権_件数_所有数_使用のもの（含供与）_件,意匠権_件数_所有数_使用のもの（含供与）_うち、自社開発_件
特殊産業用機械製造業,427,74048,28625,27904,127,1377,538,498,186,5795,3270,3183
業務用機械器具製造業,280,250958,93861,89880,77,1089,658,620,172,12127,8047,7907
事務用・サービス用機械器具製造業,58,158510,58337,55991,11,319,129,129,40,4526,3046,3002
計量器・測定器・分析機器・試験機・測量機製造業,107,15830,8298,8169,33,345,271,235,56,1702,1467,1462
医療用機械器具・医療用品製造業,89,67346,25778,24282,30,421,255,253,69,5130,3006,2915
光学機械器具・レンズ製造業,23,9184,1409,1399,3,4,3,3,6,,,
武器製造業,3,88,39,39,,,,,1,,,
電子部品・デバイス・電子回路製造業,256,120022,51372,36835,54,1392,403,371,116,7739,4448,4180
電気機械器具製造業,393,161515,53156,52557,109,1492,740,723,219,23067,13099,12938
産業用電気機械器具製造業,198,98389,30411,30000,55,905,540,525,103,11798,7085,6981
民生用電気機械器具製造業,44,14347,6855,6812,14,111,106,105,39,5604,3160,3135
電子応用装置製造業,32,10506,3294,3252,4,275,14,14,15,813,728,719
その他の電気機械器具製造業,119,38273,12596,12493,36,201,80,79,62,4852,2126,2103
情報通信機械器具製造業,98,77276,31937,30630,28,211,105,96,66,8860,4722,4659
通信機械器具・同関連機械器具製造業,75,41537,7336,6086,19,156,70,61,50,6883,3450,3387
電子計算機・同附属装置製造業,23,35739,24601,24544,9,55,35,35,16,1977,1272,1272
輸送用機械器具製造業,535,237613,83168,75494,142,1658,636,623,237,13897,7950,6983
自動車・同附属品製造業,411,215352,76501,69124,101,1260,297,284,178,10461,6053,5136
その他の輸送用機械器具製造業,124,22261,6667,6370,41,398,339,339,59,3436,1897,1847
その他の製造業,206,17213,8047,7730,92,869,590,583,130,7656,4695,4641
電気・ガス業,53,12538,3044,2604,8,25,13,13,19,519,118,107
電気業,34,8093,2284,1975,4,21,10,10,14,101,51,46
ガス業,19,4445,760,629,4,4,3,3,5,418,67,61
情報通信業,636,69481,12353,11642,44,94,67,64,125,1961,1258,1004
ソフトウェア業,370,56157,8042,7927,23,45,27,26,73,1409,765,758
情報処理・提供サービス業,170,2901,1317,1216,7,11,10,8,23,366,348,103
インターネット附随サービス業,79,10300,2918,2424,5,6,,,17,138,101,101
映画・ビデオ制作業（※）,2,,,,1,,,,2,,,
新聞業,7,,,,2,,,,6,18,15,14
出版業,8,65,50,49,6,26,24,24,4,,,
卸売業,991,154440,56697,54863,368,3592,1466,1371,638,20811,14190,13657
繊維品卸売業,17,324,219,183,5,24,15,12,12,417,377,374
衣服・身の回り品卸売業,62,838,505,455,51,175,158,146,66,1193,789,738
農畜産物・水産物卸売業,29,388,171,162,4,12,9,9,18,93,79,60
食料・飲料卸売業,44,1035,565,537,8,106,5,5,28,449,259,255
建築材料卸売業,78,4532,1027,938,25,87,66,63,47,1502,544,533
化学製品卸売業,118,4587,1987,1780,24,116,83,80,41,308,250,229
石油・鉱物卸売業,17,1936,60,27,5,13,6,2,5,54,10,9
鉄鋼製品卸売業,45,877,503,358,17,73,44,41,25,113,82,63
非鉄金属卸売業,18,1691,1378,1372,3,3,3,2,7,93,91,89
再生資源卸売業,8,32,16,13,1,,,,2,,,
産業機械器具卸売業,103,31248,26546,26383,37,310,234,227,50,2258,1966,1943
自動車卸売業,21,7846,3077,2578,11,16,14,13,17,1524,629,563
電気機械器具卸売業,109,62074,8478,8329,25,1759,81,80,63,3524,1894,1750
その他の機械器具卸売業,63,15016,4265,4243,17,89,67,67,40,1503,1388,1382
家具・建具・じゅう器等卸売業,32,650,529,502,18,83,72,70,30,1025,901,870
医薬品・化粧品等卸売業,42,7506,1548,1407,11,168,158,138,30,741,466,403
紙・紙製品卸売業,21,136,103,98,7,13,9,6,15,145,126,117
その他の卸売業,164,13724,5720,5498,99,,,,142,,,
小売業,178,3134,2058,1852,64,328,217,209,158,3576,3254,2983
織物・衣服・身の回り品小売業,27,448,321,177,14,85,42,41,25,449,400,356
飲食料品小売業,43,523,431,406,11,71,61,61,41,119,98,68
自動車・自転車小売業,12,29,23,20,3,6,4,4,3,4,3,3
機械器具小売業,26,882,301,277,8,17,10,9,13,325,255,253
家具・建具・じゅう器小売業,2,,,,2,,,,6,1284,1197,1042
医薬品・化粧品小売業,10,32,32,29,2,,,,11,57,28,27
燃料小売業,9,71,68,67,3,15,14,14,7,49,45,38
その他の小売業,35,,,,13,62,55,49,43,1170,1111,1081
無店舗小売業,14,56,46,45,8,68,29,29,9,119,117,115
クレジットカード業、割賦金融業,10,,,,,,,,3,,13,11
物品賃貸業,49,655,510,432,18,55,44,41,33,265,180,155
産業用機械器具賃貸業（レンタルを含む）,37,459,382,358,14,48,39,36,24,94,79,69
事務用機械器具賃貸業（レンタルを含む）,,,,,1,,,,1,,,
自動車賃貸業（レンタルを除く）,2,,,,,,,,,,,
スポーツ・娯楽用品賃貸業（レンタルを含む）,1,,,,,,,,1,,,
その他の物品賃貸業（レンタルを含む）,9,184,117,63,3,,5,5,7,,,
学術研究、専門・技術サービス業,180,17111,7435,6622,34,115,71,70,53,747,522,515
学術・開発研究機関,37,5635,1244,978,1,,,,5,69,29,29
デザイン業,,,,,,,,,1,,,
エンジニアリング業,76,10433,5715,5211,18,70,42,42,29,478,327,321
広告業,20,251,180,172,4,23,15,15,10,173,141,141
機械設計業,12,312,68,68,2,,,,3,9,9,9
商品・非破壊検査業,16,370,138,105,4,6,5,4,1,,,
計量証明業,16,103,87,86,5,6,6,6,2,,,
写真業,3,7,3,2,,,,,2,,,
飲食サービス業,24,177,42,40,3,,18,17,43,256,148,110
一般飲食店,21,174,40,38,3,,18,17,39,224,134,96
持ち帰り・配達飲食サービス業,3,3,2,2,,,,,4,32,14,14
生活関連サービス業、娯楽業,33,477,458,438,12,28,26,20,33,142,132,103
洗濯業,5,150,150,150,3,9,9,9,7,81,81,79
その他の洗濯・理容・美容・浴場業,6,19,7,1,2,,,,4,14,9,2
冠婚葬祭業（冠婚葬祭互助会を含む）,8,13,9,5,3,4,,1,2,,,
写真プリント、現像・焼付業,1,,,,,,,,,,,
その他の生活関連サービス業,2,,,,,,,,2,,,
映画館,,,,,,,,,1,,,
ゴルフ場,3,11,10,1,1,,,,9,10,8,6
スポーツ施設提供業（809に該当するものを除く）,4,14,12,11,,,,,5,20,18,5
公園、遊園地・テーマパーク,4,253,253,253,3,10,10,10,3,4,4,4
個人教授所,1,,,,,,,,,,,
サービス業（その他のサービス業を除く）,193,6306,1742,1600,47,296,80,75,59,435,213,187
廃棄物処理業,36,198,155,123,8,19,18,14,5,35,33,30
機械等修理業,53,5219,1186,1138,12,217,16,16,18,258,78,76
職業紹介業,6,15,10,10,,,,,1,,,
労働者派遣業,19,82,61,57,4,7,3,3,10,24,21,14
ディスプレイ業,3,18,3,3,5,7,4,4,3,15,12,11
テレマーケティング業,7,30,24,24,,,,,1,,,
その他の事業サービス業,69,744,303,245,18,46,39,38,21,,,
サービス業（その他のサービス業）,100,76682,3491,3236,35,262,90,83,70,5509,986,896
その他の産業,282,13003,6007,5661,80,230,183,175,136,1606,916,807
