産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち自社開発
総合計,6464,1222900,454571,414236,2370,18051,10003,9271,3604,229878,90908,86405
合計,6287,1213245,451976,411845,2308,16783,9862,9144,3517,228727,90520,86065
鉱業、採石業、砂利採取業,7,115,20,14,1,,,,,,,
製造業,4894,1119357,408012,371091,1803,14317,8282,7754,2638,210123,78777,75304
090食料品製造業,280,9379,3613,3263,58,204,161,148,157,1722,1215,1043
091畜産食料品製造業,35,2080,350,276,4,13,11,11,24,391,310,193
092水産食料品製造業,32,485,221,204,8,35,30,30,23,146,94,86
093精穀・製粉業,13,352,160,153,2,,,,3,9,4,4
099その他の食料品製造業,200,6462,2882,2630,44,,,,107,1176,807,760
100飲料・たばこ・飼料製造業,73,1924,983,900,13,37,29,28,35,942,483,461
101清涼飲料・酒類・茶・たばこ製造業,57,1730,905,824,12,,,,28,915,471,449
102飼料・有機質肥料製造業,16,194,78,76,1,,,,7,27,12,12
110繊維工業,120,4143,2318,2244,61,237,199,195,70,1102,631,608
111製糸，紡績，ねん糸等製造業,15,1553,1043,1041,4,13,11,11,5,233,136,136
112織物・ニット生地製造業,17,488,196,181,6,23,22,22,8,53,32,32
113染色整理業,18,161,128,104,4,6,6,3,5,35,33,14
114その他の繊維工業,22,1077,409,407,9,57,43,43,11,54,25,23
115織物・ニット製衣服製造業,15,532,330,307,17,69,63,63,18,557,260,259
119身の回り品・その他の繊維製品製造業,33,332,212,204,21,69,54,53,23,170,145,144
120木材・木製品製造業（家具を除く）,22,650,257,250,13,20,17,17,14,560,302,290
121製材・合板製造業,18,629,238,231,11,,,,11,551,296,284
129その他の木製品製造業（家具を除く）,4,21,19,19,2,,,,3,9,6,6
130家具・装備品製造業,50,4234,2824,2737,36,369,148,146,51,8160,6104,5666
140パルプ・紙・紙加工品製造業,104,5310,2521,2435,72,435,242,234,63,748,357,336
141パルプ・紙製造業,32,4039,1951,1901,14,95,39,35,17,480,150,137
142紙加工品製造業,72,1271,570,534,58,340,203,199,46,268,207,199
150印刷・同関連業,87,14908,1264,1199,58,216,150,131,47,1493,267,222
160化学工業,534,109175,50762,46653,106,728,481,471,182,8824,3681,3362
161化学肥料・無機化学工業製品製造業,67,8086,3717,3337,9,33,17,17,14,137,108,100
162有機化学工業製品製造業,108,65446,34418,31577,18,98,34,31,25,1642,921,919
163油脂加工製品等（注）,70,17108,5215,4903,17,125,46,46,22,1687,696,686
164医薬品製造業,119,8314,2552,2250,27,89,54,49,66,1947,680,575
169その他の化学工業製品製造業,170,10221,4860,4586,35,383,330,328,55,3411,1276,1082
170石油製品・石炭製品製造業,25,2530,1001,985,4,11,10,10,3,25,23,23
171石油精製業,12,2134,738,731,2,,,,3,25,23,23
179その他の石油製品・石炭製品製造業,13,396,263,254,2,,,,,,,
180プラスチック製品製造業,267,25035,11137,10776,111,1064,685,657,170,13647,8136,8054
190ゴム製品製造業,57,14641,7356,6572,24,223,139,138,34,3272,1925,1906
191タイヤ・チューブ製造業,5,11314,5687,5049,3,43,1,1,5,2949,1692,1692
199その他のゴム製品製造業,52,3327,1669,1523,21,180,138,137,29,323,233,214
200なめし革・同製品・毛皮製造業,6,100,43,39,3,83,33,24,5,190,84,69
210窯業・土石製品製造業,191,15510,8362,7826,102,1004,736,674,107,6111,2568,2466
211ガラス・同製品製造業,35,2244,1373,1240,14,37,26,26,18,340,269,266
212セメント・同製品製造業,67,3198,1417,1204,42,487,295,243,51,4417,1505,1422
219その他の窯業・土石製品製造業,89,10068,5572,5382,46,480,415,405,38,1354,794,778
220鉄鋼業,125,28129,11585,7764,40,183,148,138,56,2181,748,666
221銑鉄・粗鋼・鋼材製造業,73,26646,10948,7190,23,107,78,71,34,1557,527,448
222鋳鍛造品・その他の鉄鋼製品製造業,52,1483,637,574,17,76,70,67,22,624,221,218
230非鉄金属製造業,146,20275,6416,6179,29,94,64,61,56,2380,1138,1087
231非鉄金属製錬・精製業,34,4665,1315,1298,5,14,10,10,11,724,295,284
232非鉄金属加工品製造業,112,15610,5101,4881,24,80,54,51,45,1656,843,803
240金属製品製造業,420,18222,10880,9886,200,1176,725,634,283,14276,8223,7882
241建設用・建築用金属製品製造業,135,6147,3638,3299,72,396,286,253,99,6788,4890,4781
249その他の金属製品製造業,285,12075,7242,6587,128,780,439,381,184,7488,3333,3101
250はん用機械器具製造業,294,33131,14760,13802,117,1331,866,820,161,4703,2845,2786
251ボイラ・原動機製造業,18,7393,1503,1485,3,4,4,4,9,862,256,256
252ポンプ・圧縮機器製造業,61,4178,2852,2707,31,201,154,143,37,867,759,751
253一般産業用機械・装置製造業,116,14470,7326,7203,49,385,295,263,63,1243,939,911
