産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
総合計,6998,1412250,500842,452774,2458,18558,11492,9989,3783,240620,91942,86796
合計,6804,1405774,498247,450406,2383,18324,11327,9835,3683,239893,91475,86363
鉱業、採石業、砂利採取業,8,198,33,30,2,,,,1,,,
製造業,5155,1250084,445369,405280,1835,15717,9683,8353,2707,214102,78033,74222
090食料品製造業,298,8812,3683,3383,54,147,128,121,153,1494,1058,716
091畜産食料品製造業,35,1923,346,338,4,,,,24,393,254,112
092水産食料品製造業,31,442,155,149,7,29,27,27,22,,,
093精穀・製粉業,15,331,178,171,2,,,,2,,,
099その他の食料品製造業,217,6116,3004,2725,41,110,95,88,105,1004,732,540
100飲料・たばこ・飼料製造業,72,2494,1542,1473,18,41,37,37,30,1000,559,520
101清涼飲料・酒類・茶・たばこ製造業,57,2399,1471,1402,16,,,,25,991,550,511
102飼料・有機質肥料製造業,15,95,71,71,2,,,,5,9,9,9
110繊維工業,127,8370,4126,4024,68,294,245,225,80,1113,739,697
111製糸，紡績，ねん糸等製造業,18,5207,2472,2458,6,36,28,28,6,100,54,54
112織物・ニット生地製造業,22,715,309,304,8,44,38,37,13,72,42,42
113染色整理業,18,239,115,68,5,8,7,3,5,35,33,14
114その他の繊維工業,23,1174,515,515,10,45,34,34,12,82,27,24
115織物・ニット製衣服製造業,15,606,392,371,18,68,60,60,21,296,229,212
119身の回り品・その他の繊維製品製造業,31,429,323,308,21,93,78,63,23,528,354,351
120木材・木製品製造業（家具を除く）,23,757,328,326,12,28,22,22,15,639,391,379
121製材・合板製造業,19,583,282,281,10,,,,12,370,260,248
129その他の木製品製造業（家具を除く）,4,174,46,45,2,,,,3,269,131,131
130家具・装備品製造業,44,4534,3216,3114,30,132,110,107,52,7334,5911,5604
140パルプ・紙・紙加工品製造業,110,6675,3382,3277,77,387,250,240,62,876,458,448
141パルプ・紙製造業,32,4935,2313,2253,16,100,36,35,14,543,212,210
142紙加工品製造業,78,1740,1069,1024,61,287,214,205,48,333,246,238
150印刷・同関連業,100,19966,1819,1645,60,305,176,140,52,2155,451,384
