産業,特許権_企業数_社,特許権_件数_所有数,特許権_件数_所有数_使用のもの（含供与）_件,特許権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,実用新案権_企業数_社,実用新案権_件数_所有数_件,実用新案権_件数_所有数_使用のもの（含供与）_件,実用新案権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,意匠権_企業数_社,意匠権_件数_所有数_件,意匠権_件数_所有数_使用のもの（含供与）_件,意匠権_件数_所有数_使用のもの（含供与）_うち、自社開発_件
総合計,8163,1816213,653710,591211,2409,22490,10834,10000,4136,199687,113307,107248
合計,7815,1734491,646431,585156,2296,21988,10572,9756,3961,193596,111722,105973
鉱業、採石業、砂利採取業,9,688,18,17,,,,,,,,
製造業,5613,1471320,562300,505508,1696,17652,8580,7908,2846,164340,92416,87573
食料品製造業,354,12460,5301,4726,56,156,100,90,180,2381,1611,1163
畜産食料品製造業,32,1291,422,407,6,7,5,5,24,425,360,88
水産食料品製造業,39,358,189,174,10,61,22,17,22,96,74,69
精穀・製粉業,14,131,80,74,3,3,3,2,3,6,6,4
その他の食料品製造業,269,10680,4610,4071,37,85,70,66,131,1854,1171,1002
飲料・たばこ・飼料製造業,80,3819,1154,1012,19,57,29,23,34,850,388,348
清涼飲料・酒類・茶・たばこ製造業,61,3351,849,720,17,,,,29,832,372,332
飼料・有機質肥料製造業,19,468,305,292,2,,,,5,18,16,16
繊維工業,149,7069,2294,2039,73,302,239,193,77,874,664,624
製糸，紡績，ねん糸等製造業,18,3462,188,180,4,25,21,21,8,78,10,7
織物・ニット生地製造業,25,743,437,390,10,23,16,14,8,139,138,138
染色整理業,21,393,214,142,8,15,13,10,4,12,9,9
その他の繊維工業,38,1362,626,556,14,53,43,30,19,186,133,117
織物・ニット製衣服製造業,14,671,497,474,15,85,65,64,11,226,174,171
身の回り品・その他の繊維製品製造業,33,438,332,297,22,101,81,54,27,233,200,182
木材・木製品製造業（家具を除く）,39,992,566,474,14,35,27,26,22,780,495,474
製材・合板製造業,29,808,479,388,10,21,16,15,18,631,392,371
その他の木製品製造業（家具を除く）,10,184,87,86,4,14,11,11,4,149,103,103
家具・装備品製造業,53,4950,4249,4050,29,200,153,151,44,5584,4881,4661
パルプ・紙・紙加工品製造業,131,15043,8904,8846,76,693,467,462,88,1820,1317,1296
パルプ・紙製造業,40,7414,2914,2909,11,256,141,140,17,843,575,569
紙加工品製造業,91,7629,5990,5937,65,437,326,322,71,977,742,727
印刷・同関連業,115,23828,2385,2321,59,297,163,155,57,2426,522,516
化学工業,592,160833,73855,60808,99,972,542,512,210,9454,5866,5359
