産業,特許権_企業数_社,特許権_件数_所有数,特許権_件数_所有数_使用のもの（含供与）_件,特許権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,実用新案権_企業数_社,実用新案権_件数_所有数_件,実用新案権_件数_所有数_使用のもの（含供与）_件,実用新案権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,意匠権_企業数_社,意匠権_件数_所有数_件,意匠権_件数_所有数_使用のもの（含供与）_件,意匠権_件数_所有数_使用のもの（含供与）_うち、自社開発_件
化学肥料・無機化学工業製品製造業,65,9124,3562,3103,6,14,3,3,16,173,103,78
有機化学工業製品製造業,114,85826,45153,34096,22,327,109,86,28,1499,1038,917
油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,78,6980,3862,3749,11,49,13,12,18,310,181,176
医薬品製造業,130,16162,6291,5161,19,47,34,33,75,1922,1176,1052
その他の化学工業製品製造業,205,42741,14987,14699,41,535,383,378,73,5550,3368,3136
石油製品・石炭製品製造業,24,6210,2628,2476,6,11,11,11,3,170,170,170
石油精製業,4,3113,1243,1243,1,,,,1,,,
その他の石油製品・石炭製品製造業,20,3097,1385,1233,5,,,,2,,,
プラスチック製品製造業,358,40854,20232,19773,126,920,422,372,224,13213,9851,9562
ゴム製品製造業,87,25766,6686,6560,25,155,90,77,55,7746,3223,2932
タイヤ・チューブ製造業,7,19759,3802,3801,5,39,17,17,6,6886,2660,2393
その他のゴム製品製造業,80,6007,2884,2759,20,116,73,60,49,860,563,539
なめし革・同製品・毛皮製造業,7,86,43,41,5,15,14,14,6,81,36,36
窯業・土石製品製造業,216,15280,7356,6941,77,684,430,388,119,2438,1570,1207
ガラス・同製品製造業,39,4222,2219,2162,13,39,24,19,24,299,248,242
セメント・同製品製造業,67,4708,1880,1707,31,500,327,293,49,1195,864,524
その他の窯業・土石製品製造業,110,6350,3257,3072,33,145,79,76,46,944,458,441
鉄鋼業,142,49852,7581,7150,39,151,89,84,57,1988,997,893
銑鉄・粗鋼・鋼材製造業,75,48069,6747,6380,24,77,27,23,33,1498,696,604
鋳鍛造品・その他の鉄鋼製品製造業,67,1783,834,770,15,74,62,61,24,490,301,289
非鉄金属製造業,146,30779,13149,12985,26,185,102,96,55,2387,1308,1280
非鉄金属製錬・精製業,36,9983,6329,6278,7,45,39,39,13,717,540,540
非鉄金属加工品製造業,110,20796,6820,6707,19,140,63,57,42,1670,768,740
金属製品製造業,521,30234,17089,16251,186,1079,815,747,298,15481,9397,9176
建設用・建築用金属製品製造業,158,13171,8426,8111,64,385,239,217,100,9286,6257,6117
その他の金属製品製造業,363,17063,8663,8140,122,694,576,530,198,6195,3140,3059
はん用機械器具製造業,319,40638,17999,17488,103,1149,477,472,165,5297,3824,3774
ボイラ・原動機製造業,11,9566,1708,1637,2,,,,5,141,61,61
ポンプ・圧縮機器製造業,69,8020,4712,4666,31,586,111,108,41,2254,1837,1837
一般産業用機械・装置製造業,133,15042,8813,8480,41,390,255,253,63,1653,1239,1195
その他のはん用機械・同部品製造業,106,8010,2766,2705,29,,,,56,1249,687,681
生産用機械器具製造業,567,79216,33097,31497,173,1910,708,682,244,7594,4199,4085
金属加工機械製造業,141,10659,4974,4444,35,273,171,162,63,1883,917,859
特殊産業用機械製造業,426,68557,28123,27053,138,1637,537,520,181,5711,3282,3226
業務用機械器具製造業,277,244152,90347,85725,81,1235,600,561,166,12033,7810,7676
事務用・サービス用機械器具製造業,58,153314,57462,54553,14,531,153,153,37,4492,3011,2975
計量器・測定器・分析機器・試験機・測量機製造業,105,16203,8917,8744,36,339,263,225,57,1640,1415,1400
医療用機械器具・医療用品製造業,86,64135,22331,20808,27,358,182,181,63,4976,2829,2748
光学機械器具・レンズ製造業,25,10415,1595,1581,4,7,2,2,8,,,
武器製造業,3,85,42,39,,,,,1,,,
電子部品・デバイス・電子回路製造業,238,125858,57011,39064,53,1405,470,434,110,7394,4279,4040
電気機械器具製造業,377,239652,51795,50019,112,2350,944,937,215,33643,11083,10932
産業用電気機械器具製造業,191,109671,30206,29759,59,1094,734,730,104,12653,5883,5784
民生用電気機械器具製造業,45,81766,6499,6459,18,768,113,112,38,15622,2548,2527
電子応用装置製造業,30,10545,3270,3214,6,291,20,20,16,774,674,666
その他の電気機械器具製造業,111,37670,11820,10587,29,197,77,75,57,4594,1978,1955
情報通信機械器具製造業,98,74459,40217,39073,31,241,111,105,66,7670,4106,4060
通信機械器具・同関連機械器具製造業,72,32690,6181,5085,19,109,65,59,48,5835,2723,2677
電子計算機・同附属装置製造業,26,41769,34036,33988,12,132,46,46,18,1835,1383,1383
輸送用機械器具製造業,522,220627,88743,76903,137,2532,955,769,225,13971,8139,6858
自動車・同附属品製造業,403,193061,81680,70256,94,1399,486,301,166,10503,6158,4998
その他の輸送用機械器具製造業,119,27566,7063,6647,43,1133,469,468,59,3468,1981,1860
その他の製造業,201,18663,9619,9286,91,918,622,547,126,9065,6680,6451
電気・ガス業,48,12350,3070,2304,11,29,15,8,22,558,125,102
電気業,30,7900,2326,1681,6,24,13,6,16,109,56,38
ガス業,18,4450,744,623,5,5,2,2,6,449,69,64
情報通信業,554,70886,11892,11314,45,321,178,177,117,1424,749,742
ソフトウェア業,343,57409,8070,7939,24,45,33,32,71,1181,551,545
情報処理・提供サービス業,139,3877,1414,1352,5,10,8,8,20,119,102,102
インターネット附随サービス業,57,9434,2366,1993,5,236,115,115,12,46,23,23
映画・ビデオ制作業（※）,3,122,5,5,2,,,,3,6,3,2
新聞業,5,9,6,6,2,,,,5,38,36,36
出版業,7,35,31,19,7,22,20,20,6,34,34,34
卸売業,974,152928,57971,55799,376,3380,1390,1282,639,22179,14279,13815
繊維品卸売業,12,128,94,92,5,12,10,10,12,359,264,264
衣服・身の回り品卸売業,59,836,421,355,46,178,159,150,62,1387,956,926
農畜産物・水産物卸売業,26,380,172,166,5,13,8,8,18,161,74,65
食料・飲料卸売業,40,986,589,554,9,16,4,4,30,407,249,242
建築材料卸売業,80,3857,1010,919,31,110,82,75,51,1541,577,564
化学製品卸売業,106,5397,2307,2080,26,139,50,45,48,511,388,364
石油・鉱物卸売業,19,2375,112,72,6,17,9,5,6,122,65,64
鉄鋼製品卸売業,45,849,557,429,12,56,35,33,21,100,73,57
非鉄金属卸売業,19,1643,1348,1348,4,47,12,12,5,225,183,183
再生資源卸売業,7,32,15,12,1,,,,,,,
産業機械器具卸売業,104,55752,29114,28507,33,1521,165,155,51,2349,1860,1816
自動車卸売業,28,8609,3088,2635,11,19,17,16,16,1577,635,581
電気機械器具卸売業,104,32949,4033,3926,24,337,78,77,61,4010,1447,1404
その他の機械器具卸売業,76,15832,4785,4764,23,88,61,60,42,1518,1375,1371
家具・建具・じゅう器等卸売業,32,578,463,417,21,91,68,60,32,958,839,790
医薬品・化粧品等卸売業,43,10335,3961,3756,17,180,157,134,32,1086,813,749
紙、紙製品卸売業,17,319,278,275,6,20,8,5,13,114,112,106
その他の卸売業,157,12071,5624,5492,96,,,,139,5754,4369,4269
小売業,163,2581,1678,1527,61,243,176,169,138,3442,3101,2791
織物・衣服・身の回り品小売業,25,363,238,195,13,72,32,32,26,454,396,351
飲食料品小売業,33,336,279,263,9,37,26,26,30,104,77,60
自動車・自転車小売業,12,38,21,18,5,8,5,5,4,5,4,3
機械器具小売業,20,708,253,231,5,9,6,4,8,158,98,98
家具・建具・じゅう器小売業,2,,,,2,,,,5,1273,1190,1040
医薬品・化粧品小売業,12,78,68,26,4,4,3,2,9,70,56,55
燃料小売業,10,102,94,93,2,,,,9,56,53,46
その他の小売業,34,,,,15,63,55,51,37,1148,1067,1002
無店舗小売業,15,48,38,33,6,34,34,34,10,174,160,136
クレジットカード業、割賦金融業,9,171,55,55,1,,,,5,19,14,12
物品賃貸業,37,587,465,305,12,41,27,17,25,210,143,124
産業用機械器具賃貸業（レンタルを含む）,28,378,331,229,9,38,,,15,45,42,39
事務用機械器具賃貸業（レンタルを含む）,2,,,,1,,,,2,,,
自動車賃貸業（レンタルを除く）,1,,,,,,,,,,,
スポーツ・娯楽用品賃貸業（レンタルを含む）,1,,,,,,,,1,,,
その他の物品賃貸業（レンタルを含む）,5,194,119,64,2,,,,7,144,82,69
学術研究、専門・技術サービス業,178,15791,7140,6643,35,164,76,76,48,730,436,418
学術・開発研究機関,36,5119,1095,914,1,,,,7,80,40,40
デザイン業,2,,,,2,,,,3,8,6,6
エンジニアリング業,80,9934,5540,5243,19,126,44,44,24,406,208,200
広告業,20,229,211,209,4,21,18,18,10,226,172,162
機械設計業,10,98,88,88,,,,,2,,,
商品・非破壊検査業,14,321,125,109,4,6,5,5,1,,,
計量証明業,14,82,74,73,5,6,5,5,1,,,
写真業,2,,,,,,,,,,,
飲食サービス業,18,71,64,59,3,,5,5,35,191,136,127
一般飲食店,17,,,,3,,5,5,31,175,120,111
持ち帰り・配達飲食サービス業,1,,,,,,,,4,16,16,16
生活関連サービス業、娯楽業,30,479,477,448,14,32,31,28,35,153,149,117
洗濯業,5,157,156,156,3,9,9,9,6,85,85,85
その他の洗濯・理容・美容業・浴場業,4,19,19,6,1,,,,4,16,14,11
冠婚葬祭業（冠婚葬祭互助会を含む）,5,7,7,6,4,5,5,2,3,9,9,5
"写真プリント,現像・焼付業",1,,,,,,,,,,,
その他の生活関連サービス業,3,,,,1,,,,2,,,
映画館,,,,,,,,,1,,,
ゴルフ場,3,11,10,,2,,,,10,11,9,7
スポーツ施設提供業（809に該当するものを除く）,5,8,8,3,,,,,5,18,18,2
公園、遊園地・テーマパーク,4,251,251,251,3,10,10,10,3,4,4,4
ボウリング場,,,,,,,,,1,,,
サービス業（その他のサービス業を除く）,182,6639,1301,1177,42,119,94,86,51,350,174,152
廃棄物処理業,39,255,203,147,8,19,18,13,5,26,24,18
機械等修理業,51,5962,813,765,13,50,34,34,17,211,57,55
職業紹介業,1,,,,,,,,,,,
労働者派遣業,21,86,55,51,5,8,3,3,7,9,7,7
ディスプレイ業,2,,,,4,4,4,4,2,,,
テレマーケティング業,8,27,25,24,,,,,1,,,
その他の事業サービス業,60,305,201,186,12,38,35,32,19,90,73,60
サービス業（その他のサービス業）,90,71206,2127,1585,33,234,73,64,53,4350,469,305
その他の産業,258,10516,5152,4470,80,268,189,180,122,1741,1116,970
