産業,_特許権_企業数,_特許権_件数_所有数,_特許権_件数_使用のもの（含供与）_件,_特許権_件数_使用のもの（含供与）_うち自社開発,_実用新案権_企業数,_実用新案権_件数_所有数,_実用新案権__使用のもの（含供与）_件,_実用新案権__うち自社開発,_意匠権_企業数,_意匠権_件数_所有数,_意匠権__使用のもの（含供与）_件,_意匠権__うち自社開発
800専門サービス業,34,4059,2487,2420,10,24,14,14,14,165,136,136
806デザイン・機械設計業,12,,,,1,,,,4,18,3,3
807写真業,1,,,,,,,,,,,
808エンジニアリング業,21,3229,2407,2396,9,,,,10,147,133,133
810学術・開発研究機関,19,1795,345,258,5,26,1,1,3,12,6,6
820洗濯・理容・美容・浴場業,3,4,4,3,1,,,,5,25,23,16
821洗濯業,3,4,4,3,,,,,3,,,
830その他の生活関連サービス業,3,6,6,6,4,7,7,7,4,22,20,20
836冠婚葬祭業（冠婚葬祭互助会を含む）,2,,,,3,,,,4,22,20,20
837写真現像・焼付業,1,,,,1,,,,,,,
840娯楽業,2,,,,2,,,,2,,,
845公園、遊園地・テーマパーク,2,,,,2,,,,1,,,
850廃棄物処理業,14,54,44,36,3,41,41,40,2,,,
870機械等修理業,19,915,272,261,12,56,37,37,10,44,41,39
880物品賃貸業（レンタル業を除く）,12,180,137,119,7,29,25,24,7,94,71,71
882産業用機械器具賃貸業,11,,,,6,,,,6,,,
883事務用機械器具賃貸業,1,,,,,,,,,,,
890広告業,7,,,,7,13,12,12,8,17,16,16
900その他の事業サービス業,38,419,150,99,18,56,24,22,16,40,21,21
901商品検査業（非破壊検査業を除く）,3,43,41,8,,,,,1,,,
902計量証明業,7,18,16,16,3,3,3,3,3,3,2,2
904民営職業紹介業,3,,,,2,,,,,,,
906ディスプレイ業,1,,,,2,,,,2,,,
907労働者派遣業,7,23,7,6,3,5,2,2,4,17,,
909その他の事業サービス業,17,302,80,68,8,42,14,14,6,13,12,12
サービス業(その他のサービス業),52,2715,1223,1142,25,74,69,66,20,2807,1483,1278
その他の産業,159,12440,3532,3178,71,1349,228,198,79,1392,442,408
