産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
191タイヤ・チューブ製造業,7,21829,2856,2851,4,53,9,9,6,5977,781,777
199その他のゴム製品製造業,62,3194,1688,1646,20,78,48,47,40,492,341,322
200なめし革・同製品・毛皮製造業,5,123,100,92,4,67,53,43,6,115,95,85
210窯業・土石製品製造業,210,13327,5794,5503,90,448,246,202,114,3129,1888,1560
211ガラス・同製品製造業,36,4582,2195,2120,11,37,28,26,21,385,295,283
212セメント・同製品製造業,70,3853,1499,1364,36,207,141,103,53,1574,1177,862
219その他の窯業・土石製品製造業,104,4892,2100,2019,43,204,77,73,40,1170,416,415
220鉄鋼業,152,41357,7950,7419,41,185,102,98,57,2457,851,747
221銑鉄・粗鋼・鋼材製造業,85,40233,7333,6867,21,107,42,39,33,1996,547,445
222鋳鍛造品・その他の鉄鋼製品製造業,67,1124,617,552,20,78,60,59,24,461,304,302
230非鉄金属製造業,151,27708,8822,8263,34,149,76,69,61,2394,1108,952
231非鉄金属製錬・精製業,37,8865,2935,2507,10,24,17,17,13,558,329,219
232非鉄金属加工品製造業,114,18843,5887,5756,24,125,59,52,48,1836,779,733
240金属製品製造業,466,28097,16498,15660,204,1749,1373,500,275,15172,9384,9178
241建設用・建築用金属製品製造業,141,11897,7714,7325,68,422,216,190,96,9171,5935,5811
249その他の金属製品製造業,325,16200,8784,8335,136,1327,1157,310,179,6001,3449,3367
250はん用機械器具製造業,273,37969,16715,16219,107,1151,643,638,156,4973,3403,3291
251ボイラ・原動機製造業,15,12463,3406,3324,6,14,5,5,9,610,428,410
252ポンプ・圧縮機器製造業,57,3214,2707,2673,24,114,96,92,30,911,870,870
253一般産業用機械・装置製造業,100,11230,6694,6627,40,203,116,116,53,1040,753,742
259その他のはん用機械・同部品製造業,101,11062,3908,3595,37,820,426,425,64,2412,1352,1269
260生産用機械器具製造業,572,66850,30757,26783,199,1727,747,728,261,6598,4051,3593
261金属加工機械製造業,145,12226,6338,5176,41,373,201,197,75,2062,1315,1005
262特殊産業用機械製造業,427,54624,24419,21607,158,1354,546,531,186,4536,2736,2588
270業務用機械器具製造業,244,231690,67097,61314,90,1637,753,744,158,9961,5926,5820
271事務用・サービス用機械器具製造業,48,158630,39684,35625,12,264,152,145,34,4411,2706,2665
273計量器・測定器等（注）,106,19964,9520,9384,47,607,313,313,67,1648,1231,1229
274医療用機械器具・医療用品製造業,70,44531,16667,15097,24,662,256,254,48,3363,1642,1579
275光学機械器具・レンズ製造業,17,8457,1189,1171,6,,32,32,7,,,
276武器製造業,3,108,37,37,1,,,,2,,,
280電子部品・デバイス・電子回路製造業,237,124463,56736,32806,62,923,383,318,115,7349,3090,3021
290電気機械器具製造業,340,197117,37603,36524,124,1471,441,285,197,29355,7723,6945
291産業用電気機械器具製造業,171,64338,19720,19214,69,403,283,128,95,6857,3202,3102
292民生用電気機械器具製造業,38,95403,6044,5978,17,816,82,81,31,18122,2481,1949
293電子応用装置製造業,29,8671,3167,3088,7,99,33,33,16,631,444,426
299その他の電気機械器具製造業,102,28705,8672,8244,31,153,43,43,55,3745,1596,1468
300情報通信機械器具製造業,111,81507,52349,49533,38,296,123,118,70,7101,3286,2987
301通信機械器具・同関連機械器具製造業,82,24989,5715,4971,29,147,43,39,52,4718,1889,1801
302電子計算機・同附属装置製造業,29,56518,46634,44562,9,149,80,79,18,2383,1397,1186
310輸送用機械器具製造業,502,231768,76627,71279,158,2490,949,912,245,14663,8349,7169
311自動車・同附属品製造業,385,197255,67659,62414,111,1208,383,349,179,10345,5977,4809
319その他の輸送用機械器具製造業,117,34513,8968,8865,47,1282,566,563,66,4318,2372,2360
320その他の製造業,167,57095,8285,8058,88,750,391,377,113,10891,4378,4287
電気・ガス業,43,14729,3898,2944,14,46,27,13,21,706,194,164
331電気業,25,9601,2798,2014,7,30,17,8,11,113,65,42
341ガス業,18,5128,1100,930,7,16,10,5,10,593,129,122
情報通信業,419,54565,24196,23604,58,131,60,56,102,1499,768,761
391ソフトウェア業,288,43429,21392,21234,34,73,19,17,59,1019,473,468
392情報処理・提供サービス業,81,3584,1077,1048,9,12,6,5,17,139,100,98
401インターネット附随サービス業,37,7458,1651,1247,6,,,,14,300,162,162
411映画・ビデオ制作業（※）,3,20,9,9,1,,,,4,7,2,2
413新聞業,4,5,3,2,,,,,3,11,9,9
414出版業,6,69,64,64,8,33,29,28,5,23,22,22
卸売業,967,144547,55287,51880,415,2961,1503,1394,658,23210,11522,11093
511繊維品卸売業,10,241,176,175,9,31,27,27,13,341,93,77
512衣服・身の回り品卸売業,50,699,326,286,41,180,111,98,57,771,443,432
521農畜産物・水産物卸売業,21,338,114,101,8,38,24,8,23,139,117,97
522食料・飲料卸売業,43,819,517,458,13,53,25,24,33,483,213,195
531建築材料卸売業,86,4639,1132,1089,41,502,278,276,51,2287,889,873
532化学製品卸売業,107,2627,1456,1216,24,55,33,28,40,218,177,166
533石油・鉱物卸売業,25,3099,192,168,9,27,21,11,8,127,87,87
534鉄鋼製品卸売業,40,389,268,235,13,30,29,28,20,188,152,148
535非鉄金属卸売業,19,1798,1179,1174,4,,,,7,,,
536再生資源卸売業,7,17,10,9,2,,,,2,,,
541産業機械器具卸売業,112,49444,29649,27606,39,469,103,96,62,1950,1311,1271
542自動車卸売業,29,8477,3837,3447,9,23,20,19,21,1053,880,829
543電気機械器具卸売業,113,40295,4190,3941,40,416,124,122,66,4144,1197,1105
549その他の機械器具卸売業,77,15348,6985,6942,25,128,73,64,41,2005,1724,1696
551家具・建具・じゅう器等卸売業,29,625,439,433,18,100,60,56,36,993,805,785
552医薬品・化粧品等卸売業,42,5388,1027,920,15,127,115,93,30,528,376,338
553紙、紙製品卸売業,19,339,332,327,11,32,16,16,14,49,31,29
559その他の卸売業,138,9965,3458,3353,94,725,422,406,134,7862,2987,2925
小売業,143,1232,688,644,62,212,135,130,159,1400,1061,978
570織物・衣服・身の回り品小売業,25,246,162,155,12,27,16,16,26,469,387,350
580飲食料品小売業,28,324,234,226,12,41,28,27,43,288,172,144
591自動車・自転車小売業,6,24,22,17,4,8,5,5,7,9,5,5
593機械器具小売業,11,130,50,37,2,,,,9,13,8,5
602家具・建具・じゅう器小売業,5,10,9,7,4,8,6,4,5,54,54,53
603医薬品・化粧品小売業,5,37,15,15,7,8,5,5,11,66,49,49
605燃料小売業,13,62,45,44,1,,,,6,14,8,8
609その他の小売業,34,280,120,114,13,38,29,29,44,403,313,307
610無店舗小売業,16,119,31,29,7,79,44,42,8,84,65,57
クレジットカード業、割賦金融業,5,142,36,36,1,,,,6,26,19,19
物品賃貸業,49,470,304,278,21,63,51,39,21,126,81,81
702産業用機械器具賃貸業（レンタルを含む）,44,382,294,268,18,54,42,30,18,98,,
704自動車賃貸業（レンタルを除く）,3,,,,1,,,,1,,,
708その他の物品賃貸業（レンタルを含む）,2,,,,2,,,,2,,,
学術研究、専門・技術サービス業,157,17938,4145,3694,34,133,72,68,57,462,288,281
710学術・開発研究機関,33,9806,1431,1153,5,12,7,7,9,45,24,24
726デザイン業,1,,,,,,,,1,,,
728エンジニアリング業,70,6193,2363,2228,17,100,54,51,27,220,144,139
730広告業,20,228,202,202,6,11,5,5,14,184,109,107
743機械設計業,6,1362,5,5,,,,,1,,,
744商品・非破壊検査業,10,253,86,49,4,,,,,,,
745計量証明業,15,89,52,51,2,,,,3,3,2,2
746写真業,2,,,,,,,,2,,,
飲食サービス業,36,159,97,91,8,,,,36,271,205,85
760一般飲食店,31,153,96,90,7,,,,32,260,198,78
770持ち帰り・配達飲食サービス業,5,6,1,1,1,,,,4,11,7,7
生活関連サービス業、娯楽業,20,191,182,176,11,24,18,17,23,142,124,105
781洗濯業,4,149,146,146,3,8,8,7,8,108,100,83
789その他の洗濯・理容・美容業・浴場業,2,,,,1,,,,4,14,5,5
796冠婚葬祭業（冠婚葬祭互助会を含む）,4,6,6,6,4,4,2,2,3,,,
797写真プリント，現像・焼付業,1,,,,,,,,,,,
798その他の生活関連サービス業,3,11,11,10,1,,,,,,,
803ゴルフ場,3,5,3,1,1,,,,6,9,8,6
804スポーツ施設提供業（注）,1,,,,,,,,,,,
805公園、遊園地・テーマパーク,2,,,,1,,,,2,,,
サービス業（その他のサービス業を除く）,150,3923,800,690,37,112,47,46,48,277,140,120
880廃棄物処理業,38,190,152,120,4,,10,9,8,26,23,21
900機械等修理業,49,3526,534,473,14,65,17,17,20,173,63,50
911職業紹介業,1,,,,,,,,,,,
912労働者派遣業,17,31,5,3,2,,,,5,8,4,4
927ディスプレイ業,4,6,4,4,5,6,3,3,4,40,37,37
928テレマーケティング業,3,,,,,,,,,,,
929その他の事業サービス業,38,156,92,80,12,28,17,17,11,30,13,8
サービス業（その他のサービス業）,54,2864,1377,1183,23,144,57,53,35,246,159,147
その他の産業,210,5348,3011,2353,75,186,112,101,94,964,490,431
