産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
総合計,7536,1649330,580055,515576,2615,20646,10212,8651,4036,189349,93445,86515
合計,7272,1641118,575667,512040,2517,20316,10043,8497,3907,188139,92796,85937
鉱業、採石業、砂利採取業,7,108,7,7,1,,,,,,,
製造業,5276,1403114,486027,427996,1855,16623,8123,6727,2776,160020,78394,72250
090食料品製造業,324,10338,4442,4150,65,168,83,76,178,1809,1223,920
091畜産食料品製造業,40,1747,408,397,7,,8,8,25,,,
092水産食料品製造業,27,378,85,82,8,45,17,16,30,142,71,68
093精穀・製粉業,14,126,60,58,2,,,,2,,,
099その他の食料品製造業,243,8087,3889,3613,48,107,58,52,121,1256,798,722
100飲料・たばこ・飼料製造業,79,2540,794,770,16,32,17,16,32,992,461,460
101清涼飲料・酒類・茶・たばこ製造業,63,2405,683,664,15,,17,16,26,977,451,450
102飼料・有機質肥料製造業,16,135,111,106,1,,,,6,15,10,10
110繊維工業,143,12766,4653,4436,76,360,267,223,82,1168,793,767
111製糸，紡績，ねん糸等製造業,17,8710,2420,2410,5,27,18,18,7,189,83,83
112織物・ニット生地製造業,21,723,387,350,10,24,14,13,8,76,68,68
113染色整理業,23,418,278,221,6,11,10,5,6,35,22,13
114その他の繊維工業,32,1373,593,571,15,99,67,65,16,168,103,94
115織物・ニット製衣服製造業,14,843,556,499,17,92,78,77,16,288,239,236
119身の回り品・その他の繊維製品製造業,36,699,419,385,23,107,80,45,29,412,278,273
120木材・木製品製造業（家具を除く）,30,829,392,379,11,33,8,8,18,619,311,310
121製材・合板製造業,29,,392,379,10,,8,8,17,,311,310
129その他の木製品製造業（家具を除く）,1,,,,1,,,,1,,,
130家具・装備品製造業,47,4169,3406,3257,25,76,54,49,40,6926,5642,5035
140パルプ・紙・紙加工品製造業,120,11322,6992,6873,76,469,291,272,75,1399,683,658
141パルプ・紙製造業,37,6119,2846,2798,18,82,46,45,20,746,320,311
142紙加工品製造業,83,5203,4146,4075,58,387,245,227,55,653,363,347
150印刷・同関連業,115,28772,4657,4217,70,249,124,103,62,2497,519,427
160化学工業,564,138013,57264,47204,106,1076,531,508,212,11264,4724,4300
161化学肥料・無機化学工業製品製造業,57,7845,1862,1780,8,19,8,8,15,147,77,77
162有機化学工業製品製造業,123,75562,32366,24169,21,330,105,90,32,1809,625,553
163油脂加工製品等（注）,74,9537,5656,4525,12,73,16,15,18,600,326,321
164医薬品製造業,129,10927,3798,3573,25,83,47,46,79,2353,1033,896
169その他の化学工業製品製造業,181,34142,13582,13157,40,571,355,349,68,6355,2663,2453
170石油製品・石炭製品製造業,26,4318,1751,1638,4,6,4,4,3,40,40,40
171石油精製業,8,3144,1123,1104,2,,,,2,,,
179その他の石油製品・石炭製品製造業,18,1174,628,534,2,,,,1,,,
180プラスチック製品製造業,329,25953,11799,11122,143,980,407,380,200,12679,9344,8599
190ゴム製品製造業,69,25023,4544,4497,24,131,57,56,46,6469,1122,1099
