産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち自社開発
総合計,6181,1188879,448896,412040,2399,19050,11085,10293,3432,241538,97775,92978
合計,6019,1179252,446150,409643,2336,17794,10925,10150,3348,240571,97427,92662
鉱業、採石業、砂利採取業,7,114,20,17,1,,,,,,,
製造業,4768,1093599,419914,385682,1836,14823,9192,8634,2566,215463,80860,76977
090食料品製造業,261,11273,5171,4840,60,189,162,150,147,1667,1169,970
091畜産食料品製造業,33,1315,309,216,6,,,,19,165,108,104
092水産食料品製造業,27,568,146,136,9,36,36,34,17,117,95,91
093精穀・製粉業,11,362,169,164,2,,,,4,12,8,8
099その他の食料品製造業,190,9028,4547,4324,43,128,110,100,107,1373,958,767
100飲料・たばこ・飼料製造業,71,2088,1130,1027,12,25,21,21,36,951,521,467
101清涼飲料・酒類・茶・たばこ製造業,55,1907,1060,960,11,,,,29,929,509,455
102飼料・有機質肥料製造業,16,181,70,67,1,,,,7,22,12,12
110繊維工業,126,7302,3883,3793,77,339,226,220,77,1465,810,791
111製糸，紡績，ねん糸等製造業,16,4481,2526,2512,5,18,12,12,6,600,365,365
112織物・ニット生地製造業,25,741,376,364,12,66,52,52,13,82,49,48
113染色整理業,19,166,123,97,5,14,11,8,6,47,45,36
114その他の繊維工業,22,1029,391,384,13,59,35,33,13,66,38,31
115織物・ニット製衣服製造業,12,472,291,268,18,108,64,64,18,564,237,236
119身の回り品・その他の繊維製品製造業,32,413,176,168,24,74,52,51,21,106,76,75
120木材・木製品製造業（家具を除く）,19,677,228,217,9,14,12,12,11,524,198,198
121製材・合板製造業,18,,228,217,8,,,,10,,,
129その他の木製品製造業（家具を除く）,1,,,,1,,,,1,,,
130家具・装備品製造業,46,4498,2693,2617,34,237,174,161,49,9119,6378,5916
140パルプ・紙・紙加工品製造業,103,5196,2552,2472,72,358,239,231,62,746,488,470
141パルプ・紙製造業,32,3989,1964,1932,12,68,28,25,16,387,214,201
142紙加工品製造業,71,1207,588,540,60,290,211,206,46,359,274,269
150印刷・同関連業,81,10256,503,469,49,197,156,133,42,1041,153,126
160化学工業,501,102118,46154,42543,108,850,574,552,168,8890,4058,3724
161化学肥料・無機化学工業製品製造業,53,4363,1606,1453,10,41,26,26,13,322,193,175
162有機化学工業製品製造業,108,62677,31505,28929,17,99,44,28,26,1852,1031,996
163油脂加工製品等（注）,68,4793,2117,1911,18,102,45,45,21,415,282,282
164医薬品製造業,112,6093,2032,1704,28,168,74,68,59,2127,967,866
169その他の化学工業製品製造業,160,24192,8894,8546,35,440,385,385,49,4174,1585,1405
170石油製品・石炭製品製造業,28,2818,983,973,5,12,10,10,3,37,18,18
171石油精製業,13,2384,768,767,3,,,,3,37,18,18
179その他の石油製品・石炭製品製造業,15,434,215,206,2,,,,,,,
180プラスチック製品製造業,259,20971,11412,9524,104,852,644,601,166,13781,8643,7597
190ゴム製品製造業,62,13384,6641,5946,25,228,138,133,35,2728,1600,1577
191タイヤ・チューブ製造業,5,10284,5098,4496,2,,,,5,2414,1372,1372
199その他のゴム製品製造業,57,3100,1543,1450,23,,138,133,30,314,228,205
