産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち自社開発
804スポーツ施設提供業（注）,1,,,,,,,,2,,,
805公園、遊園地・テーマパーク,2,,,,2,,,,3,35,35,35
サービス業（その他のサービス業を除く）,121,2244,941,808,25,84,66,59,35,255,127,118
880廃棄物処理業,31,136,104,92,3,10,9,8,3,,,
900機械等修理業,41,1640,435,417,10,42,34,32,14,188,67,63
912労働者派遣業,13,24,21,17,1,,,,4,7,4,4
927ディスプレイ業,3,,,,2,,,,2,,,
928テレマーケティング業,1,,,,,,,,,,,
929その他の事業サービス業,32,434,373,274,9,25,16,13,12,30,28,24
サービス業（その他のサービス業）,47,1407,683,655,23,98,60,56,35,265,180,160
その他の産業,145,4569,1683,1465,52,170,114,102,71,448,296,253
