産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
総合計,7458,1628078,591318,528397,2610,20819,10684,9128,4024,218287,95776,89781
合計,7203,1620584,587685,525156,2520,20500,10538,8996,3897,217015,95158,89228
鉱業、採石業、砂利採取業,6,99,7,7,1,,,,,,,
製造業,5253,1377428,494083,437924,1846,16754,8438,7048,2773,188717,81122,76071
090食料品製造業,329,10706,4839,4440,58,138,71,65,176,1762,1195,876
091畜産食料品製造業,39,1809,422,412,4,,,,25,,,
092水産食料品製造業,29,368,86,80,7,20,7,6,28,120,70,64
093精穀・製粉業,13,120,67,66,2,,,,2,,,
099その他の食料品製造業,248,8409,4264,3882,45,109,61,56,121,1233,811,662
100飲料・たばこ・飼料製造業,80,2452,922,901,18,36,16,16,33,1019,506,463
101清涼飲料・酒類・茶・たばこ製造業,61,2290,800,786,15,32,16,16,28,1010,501,458
102飼料・有機質肥料製造業,19,162,122,115,3,4,,,5,9,5,5
110繊維工業,139,12132,4641,4430,75,399,269,187,86,1094,720,676
111製糸，紡績，ねん糸等製造業,17,8133,2406,2394,6,55,21,21,8,177,93,92
112織物・ニット生地製造業,22,1020,584,568,10,20,12,11,11,93,78,78
113染色整理業,22,402,208,151,6,10,9,5,6,33,20,11
114その他の繊維工業,29,1172,558,540,14,87,67,65,14,120,87,84
115織物・ニット製衣服製造業,13,755,486,411,16,114,88,48,18,250,186,160
119身の回り品・その他の繊維製品製造業,36,650,399,366,23,113,72,37,29,421,256,251
120木材・木製品製造業（家具を除く）,27,853,432,418,12,27,18,18,16,657,351,351
121製材・合板製造業,26,,432,418,12,27,18,18,16,657,351,351
129その他の木製品製造業（家具を除く）,1,,,,,,,,,,,
130家具・装備品製造業,50,4284,3541,3379,26,74,49,47,44,6794,5696,5116
140パルプ・紙・紙加工品製造業,122,10397,5909,5813,72,463,285,279,73,1254,591,577
141パルプ・紙製造業,37,5328,2540,2488,16,73,35,34,20,634,262,259
142紙加工品製造業,85,5069,3369,3325,56,390,250,245,53,620,329,318
150印刷・同関連業,113,24153,2223,1955,72,274,150,129,60,2542,488,407
160化学工業,559,127926,48332,38733,103,1090,512,489,220,10947,4089,3699
161化学肥料・無機化学工業製品製造業,54,7327,2064,1804,7,15,9,9,14,108,45,45
162有機化学工業製品製造業,121,68962,26289,17762,18,331,84,69,33,1588,320,291
163油脂加工製品等（注）,71,7215,3312,3151,13,79,17,15,19,398,227,222
164医薬品製造業,131,11084,3460,3229,24,84,51,48,80,2162,772,720
169その他の化学工業製品製造業,182,33338,13207,12787,41,581,351,348,74,6691,2725,2421
170石油製品・石炭製品製造業,25,4173,1786,1660,3,6,5,5,3,40,40,40
171石油精製業,7,3167,1188,1163,1,,,,2,,,
179その他の石油製品・石炭製品製造業,18,1006,598,497,2,,,,1,,,
180プラスチック製品製造業,328,30726,14591,14106,143,988,474,444,206,13287,9392,9302
190ゴム製品製造業,73,23373,11701,10705,24,121,78,77,44,6062,3547,3416
191タイヤ・チューブ製造業,7,20098,10027,9077,2,,,,6,5675,3267,3158
199その他のゴム製品製造業,66,3275,1674,1628,22,,,,38,387,280,258
200なめし革・同製品・毛皮製造業,5,142,116,111,3,64,57,50,5,164,124,119
210窯業・土石製品製造業,216,13336,5951,5515,90,422,262,206,113,3388,2384,1986
211ガラス・同製品製造業,38,4805,2132,2059,11,26,24,23,21,476,385,377
212セメント・同製品製造業,71,2508,1322,1087,36,193,123,70,55,1686,1277,895
219その他の窯業・土石製品製造業,107,6023,2497,2369,43,203,115,113,37,1226,722,714
220鉄鋼業,155,41842,8105,7533,42,154,76,72,59,2398,924,804
221銑鉄・粗鋼・鋼材製造業,88,40134,7384,6900,20,78,22,19,33,1825,589,483
222鋳鍛造品・その他の鉄鋼製品製造業,67,1708,721,633,22,76,54,53,26,573,335,321
230非鉄金属製造業,150,32013,9145,8526,33,148,64,58,63,2775,1337,1181
231非鉄金属製錬・精製業,36,8340,2416,2034,11,23,14,14,13,464,299,179
232非鉄金属加工品製造業,114,23673,6729,6492,22,125,50,44,50,2311,1038,1002
240金属製品製造業,462,28465,16178,15472,203,1889,1423,556,271,15512,9166,8835
241建設用・建築用金属製品製造業,137,12576,7859,7449,66,460,221,202,96,9337,6222,6074
249その他の金属製品製造業,325,15889,8319,8023,137,1429,1202,354,175,6175,2944,2761
250はん用機械器具製造業,273,36530,14784,14326,111,1277,712,703,153,4403,2850,2742
251ボイラ・原動機製造業,14,9911,1912,1911,3,5,1,1,7,80,73,73
252ポンプ・圧縮機器製造業,56,5211,2573,2526,27,175,106,102,32,1021,815,815
253一般産業用機械・装置製造業,99,10727,6411,6331,42,214,121,120,50,1061,748,739
259その他のはん用機械・同部品製造業,104,10681,3888,3558,39,883,484,480,64,2241,1214,1115
260生産用機械器具製造業,569,67460,31920,29429,186,1353,696,684,257,6801,3919,3591
261金属加工機械製造業,142,10008,5299,5091,38,375,168,167,70,1502,893,873
262特殊産業用機械製造業,427,57452,26621,24338,148,978,528,517,187,5299,3026,2718
270業務用機械器具製造業,254,237360,71659,66184,96,1702,826,813,162,11160,6436,6313
271事務用・サービス用機械器具製造業,56,162268,42680,38922,14,234,147,140,41,5282,2922,2893
273計量器・測定器等（注）,108,23188,11604,11509,51,693,379,376,68,1946,1504,1498
274医療用機械器具・医療用品製造業,67,43472,16295,14725,22,670,266,265,44,3305,1621,1533
275光学機械器具・レンズ製造業,18,8199,972,962,8,,34,32,7,,,
276武器製造業,5,233,108,66,1,,,,2,,,
280電子部品・デバイス・電子回路製造業,229,163337,67875,42295,61,969,356,288,109,37311,2900,2742
290電気機械器具製造業,333,185066,40208,39022,131,1474,477,344,200,30262,7850,7501
291産業用電気機械器具製造業,165,48548,15635,15146,72,426,279,155,93,6488,2914,2884
292民生用電気機械器具製造業,39,94916,6145,6020,18,764,61,60,32,18921,2510,2334
293電子応用装置製造業,29,8000,6922,6835,7,86,81,81,19,541,500,484
299その他の電気機械器具製造業,100,33602,11506,11021,34,198,56,48,56,4312,1926,1799
300情報通信機械器具製造業,107,77441,45339,45096,37,515,177,176,67,6449,3213,3124
301通信機械器具・同関連機械器具製造業,81,25781,6310,6173,29,396,125,124,48,4287,2096,2087
302電子計算機・同附属装置製造業,26,51660,39029,38923,8,119,52,52,19,2162,1117,1037
310輸送用機械器具製造業,489,219702,74752,68851,159,2412,941,906,240,14322,8145,6983
311自動車・同附属品製造業,374,186805,66110,60307,111,1144,390,357,175,10059,5760,4610
319その他の輸送用機械器具製造業,115,32897,8642,8544,48,1268,551,549,65,4263,2385,2373
320その他の製造業,166,23559,9134,9024,88,759,444,436,113,8314,5259,5227
電気・ガス業,43,14602,3803,2799,13,39,20,14,19,729,193,159
331電気業,24,9358,2708,1872,7,28,16,10,10,121,68,42
341ガス業,19,5244,1095,927,6,11,4,4,9,608,125,117
情報通信業,402,60262,24125,23607,54,155,89,85,100,1579,754,715
391ソフトウェア業,287,50524,21688,21550,30,70,15,14,59,1097,496,488
392情報処理・提供サービス業,68,3194,945,898,9,12,11,8,13,124,89,87
401インターネット附随サービス業,33,6489,1463,1130,5,,6,6,14,299,117,88
411映画・ビデオ制作業（※）,3,17,8,8,1,,,,3,6,2,2
413新聞業,4,5,2,2,,,,,3,11,9,9
414出版業,7,33,19,19,9,62,57,57,8,42,41,41
卸売業,953,143281,55239,51868,430,3038,1672,1557,657,23279,11299,10729
511繊維品卸売業,8,112,63,62,7,25,22,22,14,326,75,59
