産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
総合計,7209,1583897,551379,504532,2541,20242,11049,9430,3875,232331,90980,86203
合計,6967,1578124,547674,501075,2461,19938,10882,9277,3757,231731,90523,85794
鉱業、採石業、砂利採取業,6,133,12,9,2,,,,,,,
製造業,5168,1421648,486070,444686,1852,16754,9014,7563,2709,209299,77466,73584
090食料品製造業,312,11161,4750,4312,58,137,111,102,155,1919,1032,751
091畜産食料品製造業,38,1901,396,387,7,8,7,7,23,472,239,113
092水産食料品製造業,33,425,157,151,8,30,25,25,23,113,72,61
093精穀・製粉業,14,295,186,182,2,,,,2,,,
099その他の食料品製造業,227,8540,4011,3592,41,,,,107,,,
100飲料・たばこ・飼料製造業,70,2995,940,865,18,42,36,36,29,1492,424,419
101清涼飲料・酒類・茶・たばこ製造業,55,2864,841,767,15,38,34,34,25,1484,416,411
102飼料・有機質肥料製造業,15,131,99,98,3,4,2,2,4,8,8,8
110繊維工業,136,9593,4682,4464,74,353,292,247,79,1198,882,852
111製糸，紡績，ねん糸等製造業,16,5797,2697,2665,7,31,26,26,6,106,79,79
112織物・ニット生地製造業,23,863,423,395,9,27,22,22,9,90,71,71
113染色整理業,22,342,179,125,7,22,7,3,5,33,30,11
114その他の繊維工業,28,1201,512,498,12,79,61,57,15,93,47,44
115織物・ニット製衣服製造業,11,802,422,372,11,61,59,59,14,222,165,162
119身の回り品・その他の繊維製品製造業,36,588,449,409,28,133,117,80,30,654,490,485
120木材・木製品製造業（家具を除く）,28,851,402,398,14,30,23,23,18,728,421,409
121製材・合板製造業,23,660,337,334,12,,,,15,501,336,324
129その他の木製品製造業（家具を除く）,5,191,65,64,2,,,,3,227,85,85
130家具・装備品製造業,45,4727,3512,3207,26,156,114,111,50,6747,5715,5241
140パルプ・紙・紙加工品製造業,104,8209,4582,4474,70,366,232,223,62,811,429,423
141パルプ・紙製造業,32,4598,2052,1995,17,51,33,32,17,534,218,214
142紙加工品製造業,72,3611,2530,2479,53,315,199,191,45,277,211,209
150印刷・同関連業,105,23963,2065,1842,68,348,198,167,49,2681,527,438
160化学工業,565,144709,60229,47745,102,1057,629,617,192,9071,3943,3585
161化学肥料・無機化学工業製品製造業,63,7370,2594,2308,8,24,12,12,12,136,75,71
162有機化学工業製品製造業,120,87281,38114,27163,18,420,164,155,21,1448,841,830
163油脂加工製品等（注）,73,15934,6369,6059,17,106,37,36,21,1002,268,264
164医薬品製造業,132,16088,4080,3622,27,132,74,72,77,1981,1029,915
169その他の化学工業製品製造業,177,18036,9072,8593,32,375,342,342,61,4504,1730,1505
170石油製品・石炭製品製造業,22,3804,1697,1652,4,11,9,9,3,37,33,32
171石油精製業,8,2963,1215,1187,1,,,,2,,,
179その他の石油製品・石炭製品製造業,14,841,482,465,3,,,,1,,,
180プラスチック製品製造業,315,28205,13376,12668,140,1207,804,769,190,12569,8663,8451
190ゴム製品製造業,70,19972,8940,8549,27,190,145,144,37,4993,2443,2417
191タイヤ・チューブ製造業,7,16321,6884,6632,4,18,2,2,6,4554,2147,2140
199その他のゴム製品製造業,63,3651,2056,1917,23,172,143,142,31,439,296,277
200なめし革・同製品・毛皮製造業,3,42,14,14,1,,,,5,78,23,23
210窯業・土石製品製造業,213,11375,6064,5716,97,480,305,247,118,4035,2858,2436
211ガラス・同製品製造業,37,2430,1542,1495,12,36,31,24,19,484,399,397
212セメント・同製品製造業,70,3031,1643,1470,39,189,140,96,59,2119,1579,1195
219その他の窯業・土石製品製造業,106,5914,2879,2751,46,255,134,127,40,1432,880,844
220鉄鋼業,132,38012,8020,7591,40,139,77,62,55,2288,869,768
221銑鉄・粗鋼・鋼材製造業,74,36359,7258,6873,19,80,23,20,30,1678,539,457
222鋳鍛造品・その他の鉄鋼製品製造業,58,1653,762,718,21,59,54,42,25,610,330,311
230非鉄金属製造業,156,29470,8036,7197,30,132,86,84,61,2653,1239,1073
231非鉄金属製錬・精製業,39,8222,1977,1602,9,23,18,18,12,621,329,192
232非鉄金属加工品製造業,117,21248,6059,5595,21,109,68,66,49,2032,910,881
240金属製品製造業,462,25035,14713,13722,201,2133,1496,632,282,15203,9233,8759
241建設用・建築用金属製品製造業,151,12601,7492,6997,74,605,310,289,105,9588,6192,6020
249その他の金属製品製造業,311,12434,7221,6725,127,1528,1186,343,177,5615,3041,2739
250はん用機械器具製造業,280,32346,14222,12973,113,1237,714,693,152,4435,2865,2803
251ボイラ・原動機製造業,17,8017,1556,1550,5,10,4,4,9,296,143,141
252ポンプ・圧縮機器製造業,61,5851,3455,3349,28,156,112,108,31,1267,1022,1013
253一般産業用機械・装置製造業,97,8547,4786,4619,44,294,176,173,52,996,643,627
259その他のはん用機械・同部品製造業,105,9931,4425,3455,36,777,422,408,60,1876,1057,1022
260生産用機械器具製造業,526,60456,30071,29119,190,1217,789,761,234,6107,3440,3348
261金属加工機械製造業,135,9504,4345,4202,43,318,143,140,67,1903,870,849
262特殊産業用機械製造業,391,50952,25726,24917,147,899,646,621,167,4204,2570,2499
270業務用機械器具製造業,276,200073,72662,67611,104,1884,527,516,168,10884,5714,5547
271事務用・サービス用機械器具製造業,68,157355,52091,47429,20,213,97,94,50,6230,2949,2851
273計量器・測定器等（注）,111,20674,11871,11776,53,724,304,297,67,1647,1265,1259
274医療用機械器具・医療用品製造業,68,13676,5955,5703,25,916,115,114,40,2357,1066,1003
275光学機械器具・レンズ製造業,24,7893,2369,2327,5,,11,11,9,,,
276武器製造業,5,475,376,376,1,,,,2,,,
