産業,,_特許権_企業数,_特許権_件数_所有数,_特許権_件数_使用のもの（他社に供与しているものを含む）_件,_特許権_件数__うち自社開発のもの,_実用新案件_企業数,_件数_所有数,__使用のもの（他社に供与しているものを含む）_件,___うち自社開発のもの,_意匠権_企業数,_意匠権_件数_所有数,_意匠権__使用のもの（他社に供与しているものを含む）_件,_意匠権__うち自社開発のもの
273電子応用装置製造業,,39,5859,2647,2641,27,1259,826,825,21,892,229,221
279その他の電気機械器具製造業,,102,18390,8130,7902,73,3159,1607,1573,72,5773,3527,3469
,,,,,,,,,,,,,
280情報通信機械器具製造業,,148,216148,73820,48581,113,7820,3219,2917,100,62430,8375,7217
281通信機械器具・同関連機械器具製造業,,102,140201,42998,17999,81,6746,2565,2268,67,57044,5867,4722
282電子計算機・同附属装置製造業,,46,75947,30822,30582,32,1074,654,649,33,5386,2508,2495
,,,,,,,,,,,,,
291電子部品・デバイス製造業,,225,25708,8525,7714,149,5007,2271,1914,111,5634,3045,2854
,,,,,,,,,,,,,
300輸送用機械器具製造業,,381,83432,29861,23440,305,15922,7082,6728,210,10121,6014,5254
301自動車・同附属品製造業,,311,74117,27364,20994,242,13357,6094,5750,166,8591,5508,4780
309その他の輸送用機械器具製造業,,70,9315,2497,2446,63,2565,988,978,44,1530,506,474
,,,,,,,,,,,,,
310精密機械器具製造業,,186,26147,10357,10136,155,5133,2380,2289,120,4860,2960,2877
311医療用機械器具・医療用品製造業,,62,9560,3801,3693,55,1378,739,715,42,1708,997,972
312光学機械器具・レンズ製造業,,27,4992,2623,2606,21,963,604,598,15,664,510,508
313時計・同部分品製造業,,7,1312,594,582,6,358,185,173,5,805,544,544
319その他の精密機械器具製造業,,90,10283,3339,3255,73,2434,852,803,58,1683,909,853
,,,,,,,,,,,,,
320その他の製造業,,115,10834,5434,5197,110,2659,1746,1516,89,5760,3351,2905
,,,,,,,,,,,,,
卸売・小売業,,717,95867,34112,18565,550,10209,5830,5516,646,26520,17278,16660
,,,,,,,,,,,,,
卸売業,,652,95151,33555,18024,492,9766,5452,5144,537,23594,14481,13925
501繊維品卸売業,,4,214,114,113,2,,,,11,240,215,208
502衣服・身の回り品卸売業,,40,719,306,289,49,557,395,384,55,995,502,461
511農畜産物・水産物卸売業,,14,294,187,146,10,,,,20,70,53,45
512食料・飲料卸売業,,31,1141,154,143,16,62,24,23,34,257,121,95
521建築材料卸売業,,68,2760,1869,1783,55,916,675,610,56,3254,2201,2047
522化学製品卸売業,,76,4884,1701,1558,30,233,108,105,34,267,227,216
523鉱物・金属材料卸売業,,55,2144,884,797,38,312,205,179,38,411,317,286
531一般機械器具卸売業,,73,10505,4751,4589,61,1508,774,739,51,1140,672,654
532自動車卸売業,,13,4818,2601,2592,13,1453,749,743,15,2360,1311,1298
533電気機械器具卸売業,,80,57541,17150,3002,50,1461,572,564,51,3256,1194,1147
539その他の機械器具卸売業,,49,3647,987,304,33,499,306,213,28,321,290,279
541家具・建具・じゅう器等卸売業,,24,1732,809,772,23,776,375,354,23,2996,2227,2107
542医薬品・化粧品等卸売業,,28,954,384,333,15,115,87,84,16,273,182,180
549その他の卸売業,,97,3798,1658,1603,97,1771,1114,1094,105,7754,4969,4902
,,,,,,,,,,,,,
小売業,,65,716,557,541,58,443,378,372,109,2926,2797,2735
560織物・衣服・身の回り品小売業,,13,428,358,352,11,88,69,68,23,684,640,625
570飲食料品小売業,,12,45,28,26,14,22,15,14,29,278,256,248
580自動車・自転車小売業,,2,,,,3,3,3,2,6,16,16,16
591家具・建具・じゅう器小売業,,2,,,,5,9,8,7,5,,,
592機械器具小売業,,4,8,3,2,1,,,,1,,,
601医薬品・化粧品小売業,,7,26,21,17,3,,,,7,17,13,5
603燃料小売業,,5,59,42,42,3,41,40,40,8,13,6,5
609その他の小売業,,20,139,97,96,18,267,237,235,30,1891,1849,1824
,,,,,,,,,,,,,
飲食店,,13,38,27,21,2,,,,30,301,162,149
701一般飲食店,,12,,,,2,,,,26,290,155,143
711その他の飲食店,,1,,,,,,,,4,11,7,6
,,,,,,,,,,,,,
電気・ガス業,,26,7970,3939,3209,19,926,534,444,17,780,551,528
331電気業,,14,5003,2618,2060,10,523,279,220,10,308,217,207
341ガス業,,12,2967,1321,1149,9,403,255,224,7,472,334,321
,,,,,,,,,,,,,
643クレジットカード業・割賦金融業,,2,,,,2,,,,6,91,22,22
,,,,,,,,,,,,,
情報サービス・情報制作業,,162,7890,1470,1309,42,347,230,223,58,444,252,249
,,,,,,,,,,,,,
情報サービス業,,151,7660,1281,1121,34,159,77,70,44,352,182,179
391ソフトウェア業,,122,7473,1147,991,28,141,64,57,37,337,167,164
392情報処理・提供サービス業,,29,187,134,130,6,18,13,13,7,15,15,15
410情報制作業,,11,230,189,188,8,188,153,153,14,92,70,70
411映画・ビデオ制作業,,2,,,,1,,,,1,,,
413新聞業,,4,,,,1,,,,3,,,
414出版業,,5,49,29,29,6,,,,10,79,59,59
,,,,,,,,,,,,,
774個人教授所,,2,,,,,,,,2,,,
,,,,,,,,,,,,,
サービス業,,127,4958,2369,2180,92,811,504,470,71,833,659,528
,,,,,,,,,,,,,
サービス業(その他のサービス業を除く),,72,2490,1017,920,48,361,194,176,38,211,146,135
809エンジニアリング業,,26,1978,698,668,12,226,98,91,7,95,57,55
836冠婚葬祭業（互助会を除く）,,1,,,,2,,,,2,,,
839写真現像・焼付業,,1,,,,,,,,1,,,
843ゴルフ場,,,,,,1,,,,3,7,7,7
845遊園地・テーマパーク,,3,,,,1,,,,2,,,
871機械修理業,,24,317,157,129,24,100,65,56,15,64,43,36
891広告代理業,,6,,,,1,,,,4,6,3,3
物品賃貸業（レンタル業を除く）,,11,159,139,101,7,29,25,23,4,25,23,23
882産業用機械器具賃貸業,,8,123,104,97,5,,,,3,,,
883事務用機械器具賃貸業,,2,,,,,,,,,,,
888その他の物品賃貸業,,1,,,,2,,,,1,,,
,,,,,,,,,,,,,
サービス業(その他のサービス業),,55,2468,1352,1260,44,450,310,294,33,622,513,393
,,,,,,,,,,,,,
その他の産業,,127,3408,1976,1726,86,626,360,323,65,555,393,298
