産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
総合計,7124,1508223,511073,459509,2528,19846,11609,10046,3866,244062,92943,87795
合計,6896,1500837,508018,456658,2443,19563,11415,9867,3759,243129,92442,87332
鉱業、採石業、砂利採取業,8,371,31,15,2,,,,,,,
製造業,5168,1360977,448249,402001,1847,16816,9642,8244,2729,220898,79471,75277
090食料品製造業,311,10432,4328,3950,57,229,150,140,157,1793,1320,983
091畜産食料品製造業,37,1886,372,367,6,6,5,5,24,427,281,142
092水産食料品製造業,33,424,172,162,7,23,20,20,27,170,152,140
093精穀・製粉業,13,311,165,162,2,,,,3,50,33,33
099その他の食料品製造業,228,7811,3619,3259,42,,,,103,1146,854,668
100飲料・たばこ・飼料製造業,70,2100,1121,1059,19,46,40,40,27,1176,609,590
101清涼飲料・酒類・茶・たばこ製造業,56,2003,1039,977,16,41,37,37,23,1168,601,582
102飼料・有機質肥料製造業,14,97,82,82,3,5,3,3,4,8,8,8
110繊維工業,130,8784,4431,4260,69,305,257,210,82,1205,820,774
111製糸，紡績，ねん糸等製造業,17,5339,2630,2616,6,28,22,22,6,101,61,60
112織物・ニット生地製造業,22,832,384,379,9,35,28,27,10,43,23,23
113染色整理業,20,330,170,123,6,10,7,3,5,33,31,12
114その他の繊維工業,23,1040,411,399,8,58,42,38,13,74,35,31
115織物・ニット製衣服製造業,13,697,415,364,14,49,44,44,18,275,197,180
119身の回り品・その他の繊維製品製造業,35,546,421,379,26,125,114,76,30,679,473,468
120木材・木製品製造業（家具を除く）,26,721,333,330,14,31,22,22,15,601,370,358
121製材・合板製造業,22,558,271,269,13,,,,13,,,
129その他の木製品製造業（家具を除く）,4,163,62,61,1,,,,2,,,
130家具・装備品製造業,45,4656,3446,3125,27,115,99,96,47,6941,5825,5370
140パルプ・紙・紙加工品製造業,105,7321,3917,3794,69,353,246,229,57,814,443,374
141パルプ・紙製造業,30,4150,1876,1810,15,37,29,28,13,488,193,192
142紙加工品製造業,75,3171,2041,1984,54,316,217,201,44,326,250,182
150印刷・同関連業,100,22094,1948,1744,64,336,191,149,48,2380,414,343
160化学工業,562,139988,55769,44105,101,1060,630,615,201,9701,4296,3691
161化学肥料・無機化学工業製品製造業,63,8429,2940,2693,11,44,15,15,12,181,62,38
162有機化学工業製品製造業,123,83878,36031,25657,17,388,156,144,25,1411,823,812
163油脂加工製品等（注）,73,13883,5602,5386,17,109,43,43,24,1720,748,743
164医薬品製造業,126,15294,3902,3408,28,149,84,83,77,1587,737,639
169その他の化学工業製品製造業,177,18504,7294,6961,28,370,332,330,63,4802,1926,1459
170石油製品・石炭製品製造業,23,3325,1507,1422,4,9,7,7,4,39,35,34
171石油精製業,8,2550,1055,1043,2,,,,3,,,
179その他の石油製品・石炭製品製造業,15,775,452,379,2,,,,1,,,
180プラスチック製品製造業,317,27202,13043,12116,136,1195,765,727,193,12655,8580,8435
190ゴム製品製造業,67,18737,8702,8005,30,193,146,145,41,4818,2601,2582
191タイヤ・チューブ製造業,6,15036,6831,6270,3,14,,,6,4238,2189,2189
199その他のゴム製品製造業,61,3701,1871,1735,27,179,146,145,35,580,412,393
200なめし革・同製品・毛皮製造業,3,53,32,32,2,,,,5,116,76,76
210窯業・土石製品製造業,210,11813,6460,6145,95,1251,1078,1026,119,4494,2894,2754
211ガラス・同製品製造業,38,2293,1369,1330,11,29,23,23,19,576,449,431
212セメント・同製品製造業,70,3127,1746,1584,36,696,625,581,58,2040,1379,1267
219その他の窯業・土石製品製造業,102,6393,3345,3231,48,526,430,422,42,1878,1066,1056
220鉄鋼業,135,33740,7503,7043,40,142,79,70,56,2183,1264,1158
221銑鉄・粗鋼・鋼材製造業,78,32172,6767,6342,19,79,27,22,31,1673,999,912
