産業,_特許権_企業数,_特許権_件数_所有数,_特許権_件数_使用のもの（含供与）_件,_特許権_件数_使用のもの（含供与）_うち自社開発,_実用新案権_企業数,_実用新案権_件数_所有数,_実用新案権__使用のもの（含供与）_件,_実用新案権__うち自社開発,_意匠権_企業数,_意匠権_件数_所有数,_意匠権__使用のもの（含供与）_件,_意匠権__うち自社開発
平成19年度,5456,1045942,402136,380626,2565,22980,13665,13157,3124,253599,99040,96321
総合計,5456,1045942,402136,380626,2565,22980,13665,13157,3124,253599,99040,96321
合計,5329,1037905,400141,378814,2505,21730,13498,12996,3058,252746,98755,96044
鉱業、採石業、砂利採取業,4,20,11,8,,,,,,,,
製造業,4298,847772,370323,354739,2046,18363,11180,10797,2380,210987,82497,80459
090食料品製造業,245,9011,3999,3714,62,220,185,182,126,1379,1020,839
091畜産食料品製造業,27,1218,373,254,8,,,,15,347,301,156
092水産食料品製造業,29,560,311,288,11,39,35,34,16,72,64,64
093精穀・製粉業,12,352,157,152,2,,,,4,11,6,6
099その他の食料品製造業,177,6881,3158,3020,41,153,131,131,91,949,649,613
100飲料・たばこ・飼料製造業,57,1861,949,821,14,29,20,17,31,911,434,392
101清涼飲料・酒類・茶・たばこ製造業,45,1758,884,772,13,,,,26,900,423,383
102飼料・有機質肥料製造業,12,103,65,49,1,,,,5,11,11,9
110繊維工業,103,6654,3731,3644,62,284,236,235,63,1135,660,619
111製糸，紡績，ねん糸等製造業,15,4509,2568,2552,5,16,13,13,8,493,339,339
112織物・ニット生地製造業,22,490,235,215,11,53,44,44,11,77,53,51
113染色整理業,18,185,130,107,6,45,37,36,5,37,29,20
114その他の繊維工業,11,523,210,208,9,53,40,40,6,21,15,15
115織物・ニット製衣服製造業,8,417,255,235,14,70,64,64,15,434,170,141
119身の回り品・その他の繊維製品製造業,29,530,333,327,17,47,38,38,18,73,54,53
120木材・木製品製造業（家具を除く）,18,593,268,267,14,43,28,28,10,207,114,114
121製材・合板製造業,12,459,180,179,10,21,15,15,7,200,109,109
129その他の木製品製造業（家具を除く）,6,134,88,88,4,22,13,13,3,7,5,5
130家具・装備品製造業,35,3032,1878,1812,31,227,162,156,39,7526,5554,5251
140パルプ・紙・紙加工品製造業,99,5281,2629,2574,75,582,461,458,56,1007,602,581
141パルプ・紙製造業,33,4037,2029,2000,16,333,292,289,16,409,233,220
142紙加工品製造業,66,1244,600,574,59,249,169,169,40,598,369,361
150印刷・同関連業,65,9968,682,652,41,209,167,165,32,962,164,163
160化学工業,446,72266,30367,28535,97,493,255,244,158,8015,3793,3543
161化学肥料・無機化学工業製品製造業,57,5391,2409,2033,12,37,24,23,13,336,212,208
162有機化学工業製品製造業,94,37309,16893,16191,12,70,25,24,22,482,316,292
163油脂加工製品等（注）,57,3769,1721,1561,14,69,48,48,16,345,232,231
164医薬品製造業,101,5664,2076,1964,29,133,52,50,59,3219,1551,1520
169その他の化学工業製品製造業,137,20133,7268,6786,30,184,106,99,48,3633,1482,1292
170石油製品・石炭製品製造業,20,2435,838,831,5,9,8,8,5,57,43,43
171石油精製業,11,2209,707,706,2,,,,3,,,
179その他の石油製品・石炭製品製造業,9,226,131,125,3,,,,2,,,
180プラスチック製品製造業,245,17686,9554,9192,131,1326,890,862,154,12932,8295,8155
