産業,特許権_企業数_社,特許権_件数_所有数,特許権_件数_所有数_使用のもの（含供与）_件,特許権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,実用新案権_企業数_社,実用新案権_件数_所有数_件,実用新案権_件数_所有数_使用のもの（含供与）_件,実用新案権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,意匠権_企業数_社,意匠権_件数_所有数_件,意匠権_件数_所有数_使用のもの（含供与）_件,意匠権_件数_所有数_使用のもの（含供与）_うち、自社開発_件
総合計,6997,1649632,582931,542419,2177,18752,9006,7732,3593,182291,91920,85826
合計,6764,1595932,577839,538383,2103,18336,8857,7605,3483,177005,91146,85159
鉱業、採石業、砂利採取業,6,40,9,9,,,,,,,,
製造業,4973,1355877,487535,453343,1584,14906,6867,5730,2554,151710,76073,70976
食料品製造業,306,10340,4498,3809,54,153,77,67,158,1753,1220,905
畜産食料品製造業,33,1478,690,393,6,7,5,5,19,406,358,93
水産食料品製造業,22,273,97,86,8,58,19,14,21,107,82,74
精穀・製粉業,13,134,61,60,2,,,,1,,,
その他の食料品製造業,238,8455,3650,3270,38,,,,117,,,
飲料・たばこ・飼料製造業,81,4578,659,641,15,48,9,9,33,1977,393,389
清涼飲料・酒類・茶・たばこ製造業,63,4422,529,513,14,,9,9,29,1968,386,382
飼料・有機質肥料製造業,18,156,130,128,1,,,,4,9,7,7
繊維工業,147,12560,2331,2107,66,335,247,195,76,1156,727,699
製糸，紡績，ねん糸等製造業,17,8559,126,119,3,18,11,11,8,188,4,4
織物・ニット生地製造業,21,730,391,355,7,15,8,7,6,74,66,66
染色整理業,22,394,221,180,7,12,10,6,3,17,17,17
その他の繊維工業,36,1476,647,601,16,89,55,51,20,201,129,120
織物・ニット製衣服製造業,16,759,546,507,13,92,75,74,14,270,216,213
身の回り品・その他の繊維製品製造業,35,642,400,345,20,109,88,46,25,406,295,279
木材・木製品製造業（家具を除く）,30,1071,449,449,9,17,15,15,17,912,303,303
製材・合板製造業,28,,,,8,,,,16,,,
その他の木製品製造業（家具を除く）,2,,,,1,,,,1,,,
家具・装備品製造業,46,3343,2588,2439,25,111,84,77,38,5390,4183,3833
パルプ・紙・紙加工品製造業,111,13193,8193,8073,60,558,392,345,68,1587,945,887
パルプ・紙製造業,36,6986,3006,2969,13,210,116,75,19,1022,504,458
紙加工品製造業,75,6207,5187,5104,47,348,276,270,49,565,441,429
印刷・同関連業,102,23942,2210,1859,55,222,107,105,52,2429,459,370
化学工業,525,145263,65717,54770,97,1103,292,266,188,11131,5038,4467
化学肥料・無機化学工業製品製造業,54,7463,2917,2525,6,18,5,5,13,152,111,85
有機化学工業製品製造業,111,85255,41876,32556,23,412,163,143,27,1707,702,618
油脂加工製品等（注）,69,7156,3803,3671,11,67,13,12,14,401,178,174
医薬品製造業,115,10138,3413,2920,19,41,27,25,72,2024,1017,890
その他の化学工業製品製造業,176,35251,13708,13098,38,565,84,81,62,6847,3030,2700
石油製品・石炭製品製造業,20,4772,1930,1783,2,,,,2,,,
石油精製業,6,3515,1193,1193,1,,,,1,,,
