産業,特許権_企業数_社,特許権_件数_所有数,特許権_件数_所有数_使用のもの（含供与）_件,特許権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,実用新案権_企業数_社,実用新案権_件数_所有数_件,実用新案権_件数_所有数_使用のもの（含供与）_件,実用新案権_件数_所有数_使用のもの（含供与）_うち、自社開発_件,意匠権_企業数_社,意匠権_件数_所有数_件,意匠権_件数_所有数_使用のもの（含供与）_件,意匠権_件数_所有数_使用のもの（含供与）_うち、自社開発_件
総合計,7057,1667378,615567,555003,2149,19707,9615,8297,3635,187952,99857,94005
合計,6810,1615853,610939,551176,2070,19467,9456,8154,3521,182827,99123,93351
鉱業、採石業、砂利採取業,7,48,18,16,,,,,,,,
製造業,5009,1376676,516842,462676,1553,16255,7588,6392,2568,155586,81583,76609
食料品製造業,306,10830,4778,4059,50,168,91,82,151,1807,1275,963
畜産食料品製造業,34,1483,697,398,6,7,5,5,20,398,354,84
水産食料品製造業,21,226,82,76,8,58,19,14,20,93,68,63
精穀・製粉業,13,121,57,56,2,,,,,,,
その他の食料品製造業,238,9000,3942,3529,34,,,,111,1316,853,816
飲料・たばこ・飼料製造業,81,3222,834,801,16,30,13,11,35,1107,501,480
清涼飲料・酒類・茶・たばこ製造業,62,3059,693,676,15,,13,11,29,1089,487,472
飼料・有機質肥料製造業,19,163,141,125,1,,,,6,18,14,8
繊維工業,139,7664,2322,2093,68,353,290,245,68,837,609,579
製糸，紡績，ねん糸等製造業,14,3967,238,227,3,15,12,12,8,75,5,5
織物・ニット生地製造業,22,745,444,405,7,15,8,7,5,58,58,58
染色整理業,17,396,207,168,8,15,13,9,2,,,
その他の繊維工業,34,1333,555,509,13,66,51,48,17,,,
織物・ニット製衣服製造業,17,661,481,457,16,126,106,105,12,245,193,183
身の回り品・その他の繊維製品製造業,35,562,397,327,21,116,100,64,24,312,277,261
木材・木製品製造業（家具を除く）,31,845,514,511,10,15,15,15,18,697,422,422
製材・合板製造業,28,834,507,504,8,,,,17,,,
その他の木製品製造業（家具を除く）,3,11,7,7,2,,,,1,,,
家具・装備品製造業,47,3269,2457,2300,25,170,141,134,38,5391,4099,3684
パルプ・紙・紙加工品製造業,112,14034,8789,8708,60,572,412,404,66,1656,1037,1024
パルプ・紙製造業,35,7249,3062,3049,11,220,139,138,18,1051,595,594
紙加工品製造業,77,6785,5727,5659,49,352,273,266,48,605,442,430
印刷・同関連業,97,23385,2330,2187,55,230,138,135,53,2376,497,471
化学工業,537,147467,69296,58224,98,1130,558,506,193,9433,4327,3738
化学肥料・無機化学工業製品製造業,53,7326,2943,2549,5,17,5,5,13,120,87,63
有機化学工業製品製造業,112,82976,44157,34793,23,325,127,113,28,1098,617,526
油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,70,7183,3895,3776,10,66,13,12,14,302,180,175
医薬品製造業,114,10380,3640,3146,18,47,27,26,67,2023,989,856
その他の化学工業製品製造業,188,39602,14661,13960,42,675,386,350,71,5890,2454,2118
石油製品・石炭製品製造業,20,4590,2088,1915,4,9,9,9,3,76,76,76
石油精製業,6,3222,1343,1341,2,,,,2,,,
その他の石油製品・石炭製品製造業,14,1368,745,574,2,,,,1,,,
プラスチック製品製造業,313,32628,13786,13159,125,933,409,373,208,13258,9705,9195
ゴム製品製造業,71,24147,5266,5193,17,127,62,62,43,6111,1491,1165
タイヤ・チューブ製造業,7,19288,3011,3011,4,42,5,5,5,5402,1113,798
その他のゴム製品製造業,64,4859,2255,2182,13,85,57,57,38,709,378,367
なめし革・同製品・毛皮製造業,4,92,30,29,3,23,16,16,4,80,33,32
窯業・土石製品製造業,205,12921,6484,6135,78,364,216,169,117,2310,1462,1116
ガラス・同製品製造業,36,3607,2191,2093,12,35,17,13,25,316,212,209
セメント・同製品製造業,61,3941,1353,1157,35,195,127,87,52,1150,898,562
その他の窯業・土石製品製造業,108,5373,2940,2885,31,134,72,69,40,844,352,345
鉄鋼業,136,40404,6777,6257,30,142,77,70,51,2213,562,478
銑鉄・粗鋼・鋼材製造業,76,39461,6233,5744,19,85,27,20,30,1845,308,225
鋳鍛造品・その他の鉄鋼製品製造業,60,943,544,513,11,57,50,50,21,368,254,253
非鉄金属製造業,135,30664,9365,9180,29,179,105,97,51,2496,1025,996
非鉄金属製錬・精製業,33,9561,2992,2950,9,47,41,41,12,729,302,302
非鉄金属加工品製造業,102,21103,6373,6230,20,132,64,56,39,1767,723,694
金属製品製造業,448,26128,14429,13778,171,1417,1153,457,270,12160,7114,6993
建設用・建築用金属製品製造業,136,9973,6051,5730,60,316,194,169,94,6375,4035,3969
その他の金属製品製造業,312,16155,8378,8048,111,1101,959,288,176,5785,3079,3024
はん用機械器具製造業,267,31765,14680,14402,95,1151,458,444,148,4317,3108,3078
ボイラ・原動機製造業,11,4998,1448,1442,2,,,,7,145,76,76
ポンプ・圧縮機器製造業,53,4322,2647,2574,24,572,103,95,31,1598,1448,1447
一般産業用機械・装置製造業,108,12994,7378,7258,38,307,187,181,57,1249,851,840
その他のはん用機械・同部品製造業,95,9451,3207,3128,31,,,,53,1325,733,715
生産用機械器具製造業,548,73914,32310,30415,157,1520,711,688,233,6573,3660,3558
金属加工機械製造業,129,11805,5627,5125,31,378,194,192,62,2141,1142,1084
特殊産業用機械製造業,419,62109,26683,25290,126,1142,517,496,171,4432,2518,2474
業務用機械器具製造業,245,233934,81945,77117,76,1183,589,562,149,11374,7212,7021
事務用・サービス用機械器具製造業,50,153140,53914,50858,13,257,138,132,34,4758,3044,2946
計量器・測定器・分析機器・試験機・測量機製造業,103,16449,8752,8427,36,444,286,266,57,1619,1348,1337
医療用機械器具・医療用品製造業,70,45216,16517,15086,22,301,133,132,51,4027,2184,2102
光学機械器具・レンズ製造業,18,12553,2035,2019,3,,,,5,,,
武器製造業,4,6576,727,727,2,,,,2,,,
電子部品・デバイス・電子回路製造業,215,120491,51999,32626,52,982,331,286,103,8619,3808,3605
電気機械器具製造業,327,231023,54105,50968,101,2324,583,451,188,34370,11757,11370
産業用電気機械器具製造業,174,100397,31608,29926,63,1319,425,298,96,12504,6331,6164
民生用電気機械器具製造業,38,83193,7202,7156,12,799,101,100,31,16953,2752,2745
電子応用装置製造業,23,10253,3228,3165,4,87,9,9,12,719,677,665
その他の電気機械器具製造業,92,37180,12067,10721,22,119,48,44,49,4194,1997,1796
情報通信機械器具製造業,100,64440,42348,39926,28,161,86,83,59,7115,4349,4267
通信機械器具・同関連機械器具製造業,78,23190,8291,5924,21,111,41,38,47,5007,2591,2509
電子計算機・同附属装置製造業,22,41250,34057,34002,7,50,45,45,12,2108,1758,1758
輸送用機械器具製造業,472,222631,82693,75803,130,2449,637,609,207,14258,8901,7841
自動車・同附属品製造業,362,193862,75702,68850,93,1324,284,260,157,10611,6890,5834
その他の輸送用機械器具製造業,110,28769,6991,6953,37,1125,353,349,50,3647,2011,2007
その他の製造業,153,16188,7217,6890,75,623,488,484,112,6952,4553,4457
電気・ガス業,46,12937,3444,2608,10,29,18,11,20,589,145,124
電気業,27,8384,2417,1716,5,24,15,8,13,107,50,34
ガス業,19,4553,1027,892,5,5,3,3,7,482,95,90
情報通信業,419,53446,25700,24925,50,113,93,92,101,1121,876,859
ソフトウェア業,284,43038,22371,22261,27,48,38,38,60,898,705,697
情報処理・提供サービス業,87,2618,838,777,7,14,11,11,18,116,102,102
インターネット附随サービス業,35,7707,2465,1861,5,8,8,7,12,58,26,19
映画・ビデオ制作業（※）,3,54,6,6,2,,,,3,8,4,4
新聞業,4,6,3,3,2,,,,3,15,15,15
出版業,6,23,17,17,7,35,34,34,5,26,24,22
卸売業,851,145125,55567,52348,336,2641,1450,1360,569,20988,13203,12683
繊維品卸売業,10,134,119,99,6,18,17,16,11,338,252,245
衣服・身の回り品卸売業,40,662,342,274,31,90,74,65,36,687,439,427
農畜産物・水産物卸売業,20,307,147,112,4,13,8,5,17,81,68,56
食料・飲料卸売業,35,1037,545,527,7,11,3,3,26,409,135,117
建築材料卸売業,76,4458,1366,1265,31,473,295,290,48,1952,1068,1035
化学製品卸売業,90,4319,1574,1365,21,94,51,46,39,397,274,262
石油・鉱物卸売業,16,3029,149,120,5,14,7,3,6,158,72,72
鉄鋼製品卸売業,41,529,344,315,11,22,21,20,15,81,43,42
非鉄金属卸売業,11,1492,1231,1229,1,,,,4,54,52,52
再生資源卸売業,3,20,6,5,1,,,,1,,,
産業機械器具卸売業,91,45484,26558,24986,32,426,117,114,47,2181,1542,1464
自動車卸売業,23,8835,3355,2920,9,19,18,17,16,1597,734,681
電気機械器具卸売業,101,36134,4253,4078,27,455,143,143,57,3703,1827,1767
その他の機械器具卸売業,70,15757,5865,5703,27,123,87,83,33,1562,1435,1378
家具・建具・じゅう器等卸売業,32,591,466,435,14,72,66,63,34,1010,911,864
医薬品・化粧品等卸売業,35,10174,3691,3507,12,143,128,106,30,851,598,528
紙、紙製品卸売業,15,326,323,318,6,23,12,9,11,44,42,36
その他の卸売業,142,11837,5233,5090,91,,,,138,,3711,3657
小売業,116,1785,1331,1271,38,176,115,111,106,2638,2225,2085
織物・衣服・身の回り品小売業,14,166,123,112,7,52,10,10,20,367,320,316
飲食料品小売業,24,279,102,68,8,33,25,24,31,183,170,50
自動車・自転車小売業,9,28,17,16,3,5,3,2,4,7,7,6
機械器具小売業,11,25,20,18,,,,,3,12,12,12
家具・建具・じゅう器小売業,2,,,,2,,,,2,,,
医薬品・化粧品小売業,6,48,22,22,3,3,2,2,7,58,8,8
燃料小売業,6,19,16,14,1,,,,4,4,4,4
その他の小売業,26,,,,8,50,,,25,,,
無店舗小売業,18,123,100,100,6,30,30,30,10,138,127,125
クレジットカード業、割賦金融業,6,159,50,50,,,,,4,19,14,12
物品賃貸業,35,498,422,368,13,34,32,30,21,225,153,128
産業用機械器具賃貸業（レンタルを含む）,29,372,326,303,12,,,,16,75,72,67
事務用機械器具賃貸業（レンタルを含む）,2,,,,,,,,2,,,
自動車賃貸業（レンタルを除く）,1,,,,,,,,,,,
その他の物品賃貸業（レンタルを含む）,3,112,84,53,1,,,,3,,,
学術研究、専門・技術サービス業,144,15107,5699,5484,25,94,67,67,38,618,479,467
学術・開発研究機関,28,5370,932,821,1,,,,3,,,
デザイン業,2,,,,1,,,,1,,,
エンジニアリング業,59,8070,4185,4096,14,63,40,40,20,367,275,270
広告業,19,228,210,209,4,20,18,18,10,203,158,151
機械設計業,11,1062,198,197,,,,,3,25,25,25
商品・非破壊検査業,11,291,100,,3,5,4,4,,,,
計量証明業,13,80,68,68,2,,,,1,,,
写真業,1,,,,,,,,,,,
飲食サービス業,18,105,44,36,1,,,,29,543,137,115
一般飲食店,15,101,42,36,1,,,,27,,,115
持ち帰り・配達飲食サービス業,3,4,2,,,,,,2,,,
生活関連サービス業、娯楽業,19,198,189,176,10,,,,22,111,105,102
洗濯業,4,155,149,149,4,9,8,8,7,83,80,80
その他の洗濯・理容・美容業・浴場業,3,3,1,1,,,,,2,,,
冠婚葬祭業（冠婚葬祭互助会を含む）,4,6,5,5,3,4,1,1,3,8,5,5
"写真プリント,現像・焼付業",1,,,,,,,,,,,
その他の生活関連サービス業,1,,,,1,,,,,,,
ゴルフ場,1,,,,1,,,,5,6,6,4
スポーツ施設提供業（809に該当するものを除く）,3,6,6,2,,,,,2,,,
公園、遊園地・テーマパーク,2,,,,1,,,,3,5,5,4
サービス業（その他のサービス業を除く）,140,9769,1633,1218,34,105,77,75,43,389,203,167
廃棄物処理業,33,202,140,103,5,13,12,11,6,28,26,20
機械等修理業,49,5828,922,850,10,49,37,37,17,255,108,90
労働者派遣業,14,36,18,18,2,,,,5,7,5,5
ディスプレイ業,4,3476,413,113,7,14,8,7,4,47,38,37
テレマーケティング業,1,,,,,,,,,,,
その他の事業サービス業,39,,,,10,,,,11,52,26,15
サービス業（その他のサービス業）,48,45327,1457,1234,21,84,53,52,25,3908,173,156
その他の産業,199,6198,3171,2593,58,156,106,91,89,1217,561,498
