産業,_特許権_企業数,_特許権_件数_所有数,_特許権_件数_使用のもの（含供与）_件,_特許権_件数_使用のもの（含供与）_うち自社開発,_実用新案件_企業数,_件数_所有数,__使用のもの（含供与）_件,___うち自社開発,_意匠権_企業数,_意匠権_件数_所有数,_意匠権__使用のもの（含供与）_件,_意匠権__うち自社開発
570飲食料品小売業,14,62,46,42,12,36,28,28,30,341,311,309
580自動車・自転車小売業,4,,,,2,,,,6,7,7,5
591家具・建具・じゅう器小売業,4,17,14,14,2,,,,6,60,59,54
592機械器具小売業,5,16,2,1,3,6,4,4,5,29,12,12
601医薬品・化粧品小売業,6,55,36,32,,,,,7,14,13,13
603燃料小売業,2,,,,1,,,,7,11,11,9
609その他の小売業,19,101,71,56,12,113,47,44,30,262,186,155
飲食店,16,53,44,42,4,,,,23,196,185,120
701一般飲食店,15,,,,4,,,,20,148,140,117
711その他の飲食店,1,,,,,,,,3,48,45,3
電気・ガス業,27,8373,3234,2184,19,436,211,142,16,685,406,319
331電気業,14,4912,1679,801,11,236,80,33,9,204,135,54
341ガス業,13,3461,1555,1383,8,200,131,109,7,481,271,265
643クレジットカード業・割賦金融業,2,,,,1,,,,3,56,6,6
情報サービス・情報制作業,182,9289,2030,1716,39,415,223,205,67,522,310,295
情報サービス業,174,9032,1803,1489,32,250,71,61,53,400,246,233
391ソフトウェア業,132,8368,1541,1253,22,212,47,40,39,369,235,224
392情報処理・提供サービス業,42,664,262,236,10,38,24,21,14,31,11,9
410情報制作業,8,257,227,227,7,165,152,144,14,122,64,62
411映画・ビデオ制作業,1,,,,,,,,2,,,
413新聞業,3,,,,1,,,,2,,,
414出版業,4,48,32,32,6,,,,10,,,
774個人教授所,2,,,,,,,,2,,,
サービス業,165,5871,2579,2178,90,973,809,791,69,413,278,232
サービス業(その他のサービス業を除く),98,3269,1355,1079,49,215,107,102,38,133,96,91
806デザイン・機械設計業,14,1460,226,16,2,,,,5,20,8,6
809エンジニアリング業,33,1142,738,720,17,83,17,16,7,28,22,21
836冠婚葬祭業（互助会を除く）,,,,,,,,,3,,,
839写真現像・焼付業,2,,,,,,,,,,,
843ゴルフ場,,,,,1,,,,1,,,
845遊園地・テーマパーク,3,9,9,8,1,,,,,,,
871機械修理業,18,451,231,199,13,62,34,31,9,30,25,25
891広告代理業,6,,,,4,,,,4,6,6,6
物品賃貸業（レンタル業を除く）,14,167,128,116,9,50,40,40,6,39,29,29
882産業用機械器具賃貸業,10,143,113,103,7,,,,5,,,
883事務用機械器具賃貸業,3,,,,,,,,,,,
888その他の物品賃貸業,1,,,,2,,,,1,,,
902商品検査業,2,,,,,,,,,,,
903計量証明業,6,21,7,4,2,,,,1,,,
909ディスプレイ業,,,,,,,,,2,,,
サービス業(その他のサービス業),67,2602,1224,1099,41,758,702,689,31,280,182,141
その他の産業,129,8723,2502,2368,76,1590,294,265,64,1556,426,401
