産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
190ゴム製品製造業,71,22280,11012,10085,22,124,84,83,46,5830,3290,3172
191タイヤ・チューブ製造業,6,18845,9154,8354,2,,,,6,5367,2936,2840
199その他のゴム製品製造業,65,3435,1858,1731,20,,,,40,463,354,332
200なめし革・同製品・毛皮製造業,3,107,99,99,2,,,,3,146,114,114
210窯業・土石製品製造業,209,10907,5046,4609,87,394,236,180,112,3080,2122,1988
211ガラス・同製品製造業,36,2433,1259,1203,10,29,18,17,20,445,365,355
212セメント・同製品製造業,69,2628,1270,1057,33,181,103,56,55,1449,985,876
219その他の窯業・土石製品製造業,104,5846,2517,2349,44,184,115,107,37,1186,772,757
220鉄鋼業,146,41040,8178,7695,44,170,85,79,58,2420,941,838
221銑鉄・粗鋼・鋼材製造業,81,39383,7454,7016,22,87,27,24,31,1869,600,499
222鋳鍛造品・その他の鉄鋼製品製造業,65,1657,724,679,22,83,58,55,27,551,341,339
230非鉄金属製造業,149,31794,9505,8909,33,164,77,69,64,2806,1393,1247
231非鉄金属製錬・精製業,34,8181,2262,1908,8,23,17,17,11,467,278,168
232非鉄金属加工品製造業,115,23613,7243,7001,25,141,60,52,53,2339,1115,1079
240金属製品製造業,465,28494,17135,16254,203,2006,1536,605,270,16259,9585,9184
241建設用・建築用金属製品製造業,141,12531,8015,7667,67,400,221,199,94,10003,6499,6376
249その他の金属製品製造業,324,15963,9120,8587,136,1606,1315,406,176,6256,3086,2808
250はん用機械器具製造業,273,37112,17112,16374,107,1206,637,627,151,4936,3161,3031
251ボイラ・原動機製造業,17,11198,3471,3395,6,17,10,9,9,473,369,355
252ポンプ・圧縮機器製造業,53,5445,3175,3077,24,147,102,98,31,1177,895,882
253一般産業用機械・装置製造業,100,10392,5754,5621,44,241,114,113,53,1125,733,724
259その他のはん用機械・同部品製造業,103,10077,4712,4281,33,801,411,407,58,2161,1164,1070
260生産用機械器具製造業,561,62177,29256,26525,188,1334,726,711,254,5626,3362,3030
261金属加工機械製造業,135,9680,4926,4764,35,355,159,153,66,1497,870,860
262特殊産業用機械製造業,426,52497,24330,21761,153,979,567,558,188,4129,2492,2170
270業務用機械器具製造業,260,230642,71034,65953,101,1652,803,802,173,12023,6697,6567
271事務用・サービス用機械器具製造業,56,151421,37099,33605,14,212,113,113,43,5676,2777,2769
273計量器・測定器等（注）,105,23374,11779,11709,53,702,377,376,70,1889,1374,1371
274医療用機械器具・医療用品製造業,71,47104,20515,19015,24,698,294,294,47,3755,2074,1995
275光学機械器具・レンズ製造業,22,8160,1149,1133,7,35,15,15,10,678,456,416
276武器製造業,6,583,492,491,3,5,4,4,3,25,16,16
280電子部品・デバイス・電子回路製造業,231,131101,68411,40753,64,769,354,314,115,7836,3237,3170
290電気機械器具製造業,337,214292,39175,38102,132,1548,475,461,212,34900,7914,7729
291産業用電気機械器具製造業,167,46761,15273,14725,73,349,193,183,97,6345,2802,2769
292民生用電気機械器具製造業,39,120575,5291,5144,19,891,132,131,32,23281,2192,2096
293電子応用装置製造業,30,10460,3434,3316,7,88,36,35,21,635,477,453
299その他の電気機械器具製造業,101,36496,15177,14917,33,220,114,112,62,4639,2443,2411
300情報通信機械器具製造業,112,121451,52209,51965,41,312,99,98,72,41296,3399,3383
301通信機械器具・同関連機械器具製造業,85,65622,9254,9085,32,267,59,58,53,39703,2141,2125
302電子計算機・同附属装置製造業,27,55829,42955,42880,9,45,40,40,19,1593,1258,1258
310輸送用機械器具製造業,494,212133,64819,59813,154,2456,780,716,231,13763,7120,6908
311自動車・同附属品製造業,374,181409,55565,50591,107,1200,424,362,170,9726,4698,4494
319その他の輸送用機械器具製造業,120,30724,9254,9222,47,1256,356,354,61,4037,2422,2414
320その他の製造業,168,23956,10138,10044,91,633,449,440,119,6675,4257,4224
電気・ガス業,43,14299,3741,2782,14,38,21,16,20,766,179,146
331電気業,25,9063,2618,1832,7,26,15,10,11,127,55,30
341ガス業,18,5236,1123,950,7,12,6,6,9,639,124,116
情報通信業,402,58061,23773,23139,51,167,93,76,103,1482,768,706
391ソフトウェア業,282,48758,21222,21049,27,61,14,12,58,1016,478,457
392情報処理・提供サービス業,75,2899,879,818,9,12,10,8,17,126,101,90
401インターネット附随サービス業,32,6346,1646,1259,5,,9,9,14,255,111,90
411映画・ビデオ制作業（※）,3,17,8,8,1,,,,3,6,2,2
413新聞業,4,5,1,1,,,,,3,11,9,9
414出版業,6,36,17,4,9,65,60,47,8,68,67,58
卸売業,943,134676,50022,46518,430,2510,1418,1114,650,21330,11443,10877
511繊維品卸売業,6,100,59,58,6,26,24,24,12,308,72,56
512衣服・身の回り品卸売業,46,610,317,290,47,174,123,108,62,940,526,408
521農畜産物・水産物卸売業,25,256,132,109,8,37,29,11,21,115,96,82
522食料・飲料卸売業,45,1422,563,543,17,59,27,25,40,594,184,145
531建築材料卸売業,85,5112,1449,1074,47,371,280,98,60,2785,1257,1216
532化学製品卸売業,99,2077,1217,1053,26,59,33,27,35,197,160,153
533石油・鉱物卸売業,25,3792,145,107,10,38,24,9,9,119,78,78
534鉄鋼製品卸売業,41,370,261,209,15,26,23,20,17,67,55,50
535非鉄金属卸売業,21,1767,1126,1117,6,27,26,26,8,31,17,17
536再生資源卸売業,9,18,11,10,2,,,,3,3,2,2
541産業機械器具卸売業,101,48615,28850,27118,40,430,67,62,58,2073,1474,1452
542自動車卸売業,26,8436,3828,3477,11,30,26,24,21,1077,853,805
543電気機械器具卸売業,113,34437,2650,2414,34,288,115,107,64,3450,1095,988
549その他の機械器具卸売業,71,12830,4337,4246,23,167,71,60,37,1899,1668,1638
551家具・建具・じゅう器等卸売業,34,803,489,485,22,124,90,84,35,1206,944,932
552医薬品・化粧品等卸売業,43,4600,1093,983,17,128,119,98,30,503,309,274
553紙、紙製品卸売業,17,56,43,39,13,79,57,55,13,49,28,27
559その他の卸売業,136,9375,3452,3186,86,,,,125,5914,2625,2554
小売業,138,1278,787,679,53,149,104,101,152,1175,897,742
570織物・衣服・身の回り品小売業,22,190,116,109,12,23,14,14,20,372,287,284
580飲食料品小売業,30,214,160,132,11,40,33,31,47,268,210,98
591自動車・自転車小売業,4,8,6,2,1,,,,6,7,6,5
593機械器具小売業,20,558,289,272,3,3,2,2,10,30,14,13
602家具・建具・じゅう器小売業,3,7,6,6,2,,,,6,10,6,6
603医薬品・化粧品小売業,8,17,13,8,6,7,4,4,11,24,8,5
605燃料小売業,9,28,15,13,3,3,1,1,8,16,4,3
609その他の小売業,25,203,151,107,11,29,25,24,36,310,255,227
610無店舗小売業,17,53,31,30,4,40,22,22,8,138,107,101
クレジットカード業、割賦金融業,5,117,32,24,1,,,,8,40,22,16
物品賃貸業,43,348,236,212,19,45,34,34,22,129,50,46
702産業用機械器具賃貸業（レンタルを含む）,38,308,228,204,16,36,25,25,19,106,,
704自動車賃貸業（レンタルを除く）,3,,,,1,,,,1,,,
708その他の物品賃貸業（レンタルを含む）,2,,,,2,,,,2,,,
学術研究、専門・技術サービス業,158,19049,8428,7881,40,110,78,77,55,483,333,293
710学術・開発研究機関,34,10533,5017,4803,5,12,8,8,7,37,24,23
726デザイン業,1,,,,1,,,,2,,,
728エンジニアリング業,71,6876,3164,2843,15,62,47,46,26,261,188,169
730広告業,18,118,74,69,11,24,14,14,14,166,106,87
743機械設計業,8,1238,,,2,,,,2,,,
744商品・非破壊検査業,12,218,103,100,3,6,6,6,,,,
745計量証明業,12,59,39,37,3,3,,,2,,,
746写真業,2,,,,,,,,2,,,
飲食サービス業,27,254,159,109,5,,,,31,171,101,94
760一般飲食店,25,,,,5,,,,29,,101,94
770持ち帰り・配達飲食サービス業,2,,,,,,,,2,,,
生活関連サービス業、娯楽業,19,230,209,206,11,23,16,16,23,133,116,109
781洗濯業,5,154,149,149,2,,,,6,99,97,92
789その他の洗濯・理容・美容業・浴場業,4,11,2,2,2,,,,4,12,3,3
796冠婚葬祭業（冠婚葬祭互助会を含む）,3,4,4,4,2,,,,5,8,3,3
"797写真プリント,現像・焼付業",1,,,,,,,,,,,
798その他の生活関連サービス業,3,,,,2,,,,,,,
803ゴルフ場,,,,,1,,,,5,6,5,3
805公園、遊園地・テーマパーク,3,47,40,40,2,,,,3,8,8,8
サービス業（その他のサービス業を除く）,145,4515,1291,1094,40,100,53,52,47,287,112,93
880廃棄物処理業,40,203,158,128,6,15,10,9,8,30,27,25
900機械等修理業,44,3594,533,494,9,32,13,13,15,167,29,19
912労働者派遣業,17,33,8,6,3,5,4,4,7,11,10,10
927ディスプレイ業,3,6,2,2,3,6,1,1,2,,,
928テレマーケティング業,3,24,16,15,,,,,2,,,
929その他の事業サービス業,38,655,574,449,19,42,25,25,13,64,36,29
サービス業（その他のサービス業）,46,4593,742,724,26,143,47,47,30,246,182,173
その他の産業,215,5042,3399,3016,73,171,106,97,100,510,384,340
