産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
総合計,7411,1625606,586948,521198,2609,19651,10328,8647,3991,221586,93919,89465
合計,7150,1615971,582807,517458,2510,19337,10175,8503,3861,220830,93353,88952
鉱業、採石業、砂利採取業,5,121,,,1,,,,,,,
製造業,5222,1383023,494129,434814,1845,16184,8351,7011,2750,194834,79332,75830
090食料品製造業,317,10733,4905,4564,57,140,88,82,168,1891,1155,903
091畜産食料品製造業,37,1771,419,410,4,5,2,2,26,502,356,202
092水産食料品製造業,28,371,146,141,7,20,18,18,24,110,63,58
093精穀・製粉業,12,122,65,63,2,,,,2,,,
099その他の食料品製造業,240,8469,4275,3950,44,,,,116,,,
100飲料・たばこ・飼料製造業,80,2373,1054,1021,17,34,17,17,32,1023,480,442
101清涼飲料・酒類・茶・たばこ製造業,61,2221,939,913,14,30,16,16,28,1015,476,438
102飼料・有機質肥料製造業,19,152,115,108,3,4,1,1,4,8,4,4
110繊維工業,144,12956,5018,4676,74,327,252,195,81,1159,847,801
111製糸，紡績，ねん糸等製造業,19,8999,2757,2742,7,48,25,25,7,183,87,87
112織物・ニット生地製造業,23,1011,617,584,9,19,11,10,11,93,85,85
113染色整理業,22,335,182,124,5,10,9,4,5,32,20,11
114その他の繊維工業,31,1305,595,582,15,81,63,58,16,139,85,81
115織物・ニット製衣服製造業,12,701,412,357,14,55,43,43,15,211,152,149
119身の回り品・その他の繊維製品製造業,37,605,455,287,24,114,101,55,27,501,418,388
120木材・木製品製造業（家具を除く）,25,710,399,397,13,31,21,21,15,714,415,415
121製材・合板製造業,24,,,,13,31,21,21,15,714,415,415
129その他の木製品製造業（家具を除く）,1,,,,,,,,,,,
130家具・装備品製造業,45,3771,3167,3001,26,99,78,70,41,6190,5190,4590
140パルプ・紙・紙加工品製造業,112,9557,5675,5513,71,468,304,269,67,974,510,490
141パルプ・紙製造業,33,5024,2473,2386,16,63,40,39,19,602,255,249
142紙加工品製造業,79,4533,3202,3127,55,405,264,230,48,372,255,241
150印刷・同関連業,112,23941,1695,1667,74,327,192,174,55,2615,534,497
160化学工業,560,117395,52707,41116,99,905,506,479,209,9358,3734,3357
161化学肥料・無機化学工業製品製造業,61,7737,2524,2317,7,14,5,5,14,117,55,49
162有機化学工業製品製造業,120,58637,28688,18205,18,164,79,61,31,616,271,253
163油脂加工製品等（注）,75,17929,7148,6905,16,104,28,26,21,1991,960,954
164医薬品製造業,123,11104,3990,3731,20,87,48,42,74,1595,719,644
169その他の化学工業製品製造業,181,21988,10357,9958,38,536,346,345,69,5039,1729,1457
170石油製品・石炭製品製造業,23,3763,1613,1498,2,,,,3,36,36,36
171石油精製業,8,2866,1076,1057,,,,,2,,,
179その他の石油製品・石炭製品製造業,15,897,537,441,2,,,,1,,,
180プラスチック製品製造業,325,30338,14767,14181,143,1025,495,464,199,13278,9839,9714
