産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
"797写真プリント,現像・焼付業",1,,,,,,,,,,,
798その他の生活関連サービス業,4,11,11,10,2,,,,,,,
803ゴルフ場,1,,,,1,,,,4,,,
804スポーツ施設提供業（注）,2,,,,,,,,,,,
805公園、遊園地・テーマパーク,3,11,11,11,2,,,,3,6,6,5
サービス業（その他のサービス業を除く）,128,5443,947,855,30,100,63,61,40,316,202,187
880廃棄物処理業,35,193,134,102,5,13,12,11,6,28,26,25
900機械等修理業,43,5075,675,631,10,54,25,25,17,225,118,105
911職業紹介業,1,,,,,,,,,,,
912労働者派遣業,8,22,10,8,1,,,,5,7,5,5
927ディスプレイ業,5,14,13,13,6,7,7,6,3,35,34,34
928テレマーケティング業,2,,,,,,,,1,,,
929その他の事業サービス業,34,127,103,92,8,,19,19,8,,,18
サービス業（その他のサービス業）,55,44620,2698,2394,22,250,52,48,33,4067,206,184
その他の産業,178,5596,2675,2053,57,141,92,84,78,873,407,369
